Senate - 1996 Election: Northern Territory																																																				
First Preference Votes by Candidate																																																				
by Polling Place																																																				
 																																																				

Northern Territory (98800)																																																				

	   		 A Northern Territory Country Liberal Party												 B Australian Greens												 C Australian Labor Party (Northern Territory) Branch												Ungrouped													
    			TICKET VOTES			# TAMBLING			COOK			Group Total			TICKET VOTES			FRIEL			ELDRIDGE			Group Total			TICKET VOTES			# COLLINS			BRADLEY			Group Total			CARR			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Grant			Kym									Margie			Ilana									Bob			Susan						Geoff													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alice Springs		                              	560	40.61	 	106	7.69	 	15	1.09	 	681	49.38	 	90	6.53	 	42	3.05	 	2	0.15	 	134	9.72	 	415	30.09	 	109	7.9	 	8	0.58	 	532	38.58	 	32	2.32	 	32	2.32	 	1379	97.32	 	38	2.68	 	1417	1.61
Alyangula		                                  	146	35.18	 	25	6.02	 	2	0.48	 	173	41.69	 	23	5.54	 	5	1.2	 	2	0.48	 	30	7.23	 	175	42.17	 	23	5.54	 	3	0.72	 	201	48.43	 	11	2.65	 	11	2.65	 	415	96.96	 	13	3.04	 	428	0.49
Anula		                                      	854	35.97	 	165	6.95	 	15	0.63	 	1034	43.56	 	103	4.34	 	23	0.97	 	11	0.46	 	137	5.77	 	954	40.19	 	194	8.17	 	15	0.63	 	1163	48.99	 	40	1.68	 	40	1.68	 	2374	97.78	 	54	2.22	 	2428	2.76
Batchelor		                                  	119	37.78	 	27	8.57	 	0	0	 	146	46.35	 	11	3.49	 	8	2.54	 	1	0.32	 	20	6.35	 	115	36.51	 	27	8.57	 	1	0.32	 	143	45.4	 	6	1.9	 	6	1.9	 	315	97.52	 	8	2.48	 	323	0.37
Berrimah		                                   	349	47.23	 	71	9.61	 	3	0.41	 	423	57.24	 	25	3.38	 	6	0.81	 	2	0.27	 	33	4.47	 	220	29.77	 	41	5.55	 	4	0.54	 	265	35.86	 	18	2.44	 	18	2.44	 	739	97.49	 	19	2.51	 	758	0.86
Berry Springs		                              	232	41.06	 	40	7.08	 	3	0.53	 	275	48.67	 	39	6.9	 	7	1.24	 	0	0	 	46	8.14	 	187	33.1	 	45	7.96	 	2	0.35	 	234	41.42	 	10	1.77	 	10	1.77	 	565	97.75	 	13	2.25	 	578	0.66
Braitling		                                  	864	46.58	 	176	9.49	 	8	0.43	 	1048	56.5	 	72	3.88	 	16	0.86	 	7	0.38	 	95	5.12	 	561	30.24	 	107	5.77	 	9	0.49	 	677	36.5	 	35	1.89	 	35	1.89	 	1855	97.53	 	47	2.47	 	1902	2.16
Casuarina		                                  	1231	34.59	 	305	8.57	 	17	0.48	 	1553	43.64	 	215	6.04	 	44	1.24	 	11	0.31	 	270	7.59	 	1388	39	 	266	7.47	 	14	0.39	 	1668	46.87	 	68	1.91	 	68	1.91	 	3559	97.21	 	102	2.79	 	3661	4.15
