Senate - 1996 Election 															
First Preference Votes by Group															
By Vote Type by State															
															
															
National Summary															
Enrolment 11740568															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	18	12	1499705	16.00	113478	17.61	14032	13.82	78299	18.30	64867	18.34	105	1770486	16.24
NP	7	1	266500	2.84	18123	2.81	1618	1.59	9276	2.17	17223	4.87	29	312769	2.87
LNP	10	6	2306131	24.61	139146	21.60	17533	17.26	109634	25.62	96912	27.40	21	2669377	24.49
CLP	2	1	34849	0.37	0	0.00	427	0.42	3169	0.74	1605	0.45	0	40050	0.37
ALP	25	14	3415227	36.44	221723	34.42	46182	45.47	142899	33.39	113831	32.19	288	3940150	36.15
DEM	24	5	1022917	10.92	74494	11.56	8755	8.62	41129	9.61	30488	8.62	39	1177822	10.81
GRN	13	0	144832	1.55	17495	2.72	3224	3.17	10823	2.53	4034	1.14	-4	180404	1.66
CTA	17	0	101250	1.08	7175	1.11	752	0.74	4489	1.05	3607	1.02	1	117274	1.08
DLP	6	0	30694	0.33	2450	0.38	466	0.46	1401	0.33	1131	0.32	14	36156	0.33
GWA	2	0	46138	0.49	6101	0.95	1090	1.07	2473	0.58	1175	0.33	29	57006	0.52
Other	131	1	502856	5.37	44075	6.84	7485	7.37	24371	5.69	18796	5.31	-40	597543	5.48
FORMAL			9371099	96.24	644260	97.98	101564	96.64	427963	98.42	353669	98.35	482	10899037	96.50
INFORMAL			366128	3.76	13279	2.02	3527	3.36	6878	1.58	5935	1.65	-305	395442	3.50
TOTAL			9737227	86.21	657539	5.82	105091	0.93	434841	3.85	359604	3.18	177	11294479	96.20
															
															
New South Wales															
Enrolment 3955782															
															
Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LNP	4	3	1312089	41.19	83034	39.26	10003	30.04	67712	45.66	49900	48.24	-16	1522722	41.35
