Senate - 1996 Election						
First Preference Votes by Candidate						
By State						


New South Wales						
Enrolment 3955782						
State Quota 526041						

Candidates			Party	Votes	%	Quota
A		TICKET VOTES	RARI	38556	1.05	0.07
		"KITSON, David"	RARI	5643	0.15	0.01
		"O'CALLAGHAN, Carolyn"	RARI	346	0.01	0.00
		Group Total	RARI	44545	1.21	0.08
B		TICKET VOTES	LNP	1490990	40.49	2.83
	#	"WOODS, Bob"	LP	27188	0.74	0.05
	#	"BROWNHILL, David"	NP	1826	0.05	0.00
	#	"COONAN, Helen"	LP	1950	0.05	0.00
		"CONSTANTIN, Abraham"	LP	768	0.02	0.00
		Group Total	LNP	1522722	41.35	2.89
C		TICKET VOTES	GRN	83921	2.28	0.16
		"SPERLING, Karla"	GRN	12924	0.35	0.02
		"DENTON, Peter"	GRN	351	0.01	0.00
		"ELIX, Jane"	GRN	416	0.01	0.00
		"MATSON, Murray"	GRN	316	0.01	0.00
		Group Total	GRN	97928	2.66	0.19
D		TICKET VOTES	NAN	13688	0.37	0.03
		"NASH, Chris"	NAN	3178	0.09	0.01
		"HALE, Sylvia"	NAN	177	0.00	0.00
		Group Total	NAN	17043	0.46	0.03
E		TICKET VOTES	SEN	7355	0.20	0.01
		"EVANS, Beryl"	SEN	861	0.02	0.00
		"WELSH, Lorraine"	SEN	52	0.00	0.00
		Group Total	SEN	8268	0.22	0.02
F		TICKET VOTES	AFI	54424	1.48	0.10
		"PHILLIPS, John"	AFI	7143	0.19	0.01
		"O'REGAN, Bevan"	AFI	244	0.01	0.00
		Group Total	AFI	61811	1.68	0.12
G		TICKET VOTES	ALP	1344095	36.50	2.56
	#	"WEST, Sue"	ALP	23293	0.63	0.04
	#	"CHILDS, Bruce"	ALP	1522	0.04	0.00
		"WHEELWRIGHT, Tom"	ALP	1195	0.03	0.00
		"BARGHOUT, Rima"	ALP	813	0.02	0.00
		Group Total	ALP	1370918	37.23	2.61
H		TICKET VOTES	DEM	313333	8.51	0.60
	#	"BOURNE, Vicki"	DEM	36529	0.99	0.07
		"CHESTERFIELD-EVANS, Arthur"	DEM	615	0.02	0.00
		"LARCOS, Andrew"	DEM	223	0.01	0.00
		"ANDERSON, Troy"	DEM	791	0.02	0.00
		Group Total	DEM	351491	9.55	0.67
I		TICKET VOTES		3481	0.09	0.01
		"SCHOLLBACH, Robert Frederick"		78	0.00	0.00
		"STIRLING, Amanda Jane"		73	0.00	0.00
		Group Total		3632	0.10	0.01
J		TICKET VOTES	ASP	69541	1.89	0.13
		"SIMS, Richard"	ASP	4167	0.11	0.01
		"BOURKE, Robyn"	ASP	181	0.00	0.00
		"REDFERN, Daniel"	ASP	73	0.00	0.00
		"FRANICH, Rodney"	ASP	70	0.00	0.00
		Group Total	ASP	74032	2.01	0.14
K		TICKET VOTES		1054	0.03	0.00
		"GALATI, Tony"		55	0.00	0.00
		"GALATI, Sam"		19	0.00	0.00
		Group Total		1128	0.03	0.00
L		TICKET VOTES	AWP	15767	0.43	0.03
		"DUNCAN, Darelle"	AWP	1525	0.04	0.00
		"THEW, Sarah"	AWP	125	0.00	0.00
		Group Total	AWP	17417	0.47	0.03
M		TICKET VOTES		585	0.02	0.00
		"BUTLER, Robert H"		54	0.00	0.00
		"COSGROVE, Lindsay D"		18	0.00	0.00
		Group Total		657	0.02	0.00
N		TICKET VOTES	RBR	2333	0.06	0.00
		"BREEN, Peter"	ABR	348	0.01	0.00
		"McNALLY, Kerry"	RPA	92	0.00	0.00
		"HOUSEGO, Valerie"	ABR	16	0.00	0.00
		"BEKELE, Assefa"	ABR	7	0.00	0.00
		"FAHEY, Antoinette"	ABR	50	0.00	0.00
		Group Total	RBR	2846	0.08	0.01
O		TICKET VOTES	GRY	4591	0.12	0.01
		"VERHEYEN, John"	GRY	524	0.01	0.00
		"HETTERSCHEID, Theo"	GRY	4	0.00	0.00
		"SEGERSTROM, Bob"	GRY	12	0.00	0.00
		"PICKERING, Olga"	GRY	42	0.00	0.00
		Group Total	GRY	5173	0.14	0.01
P		TICKET VOTES	NLP	3165	0.09	0.01
		"KNOLES, Catherine"	NLP	491	0.01	0.00
		"JUDD, Ines"	NLP	46	0.00	0.00
		Group Total	NLP	3702	0.10	0.01
Q		TICKET VOTES	ABF	18137	0.49	0.03
		"FINDLAY-BARNES, Teresa"	ABF	735	0.02	0.00
		"TRIBE, David"	ABF	88	0.00	0.00
		Group Total	ABF	18960	0.51	0.04
R		TICKET VOTES	CTA	62327	1.69	0.12
		"WEBSTER, Alasdair"	CTA	10146	0.28	0.02
		"WEBSTER, Elaine"	CTA	176	0.00	0.00
		"McLENNAN, Graham Clarke"	CTA	72	0.00	0.00
		"BIRD, Bill"	CTA	81	0.00	0.00
		"COLEMAN, Bruce"	CTA	167	0.00	0.00
		Group Total	CTA	72969	1.98	0.14
UNGROUPED						
		"JONES, Morris"	IND	485	0.01	0.00
		"IVOR, F"	IND	210	0.01	0.00
		"BARBARA, John"	IND	57	0.00	0.00
		"HURLEY, Jade"	IND	4765	0.13	0.01
		"PINNIGER, Gretel"	IND	382	0.01	0.00
		"UNDERWOOD, Dian"	IND	433	0.01	0.00
		"PATTERSON, Ray"	IND	295	0.01	0.00
