Senate - 1996 Election 																
First Preference Votes by Candidate																
By Vote Type by State																
																
New South Wales																
																
Enrolment 3955782																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	33347	1.05	2380	1.13	478	1.44	1376	0.93	988	0.96	-13	38556	1.05
		"KITSON, David"	RARI	4809	0.15	357	0.17	77	0.23	208	0.14	189	0.18	3	5643	0.15
		"O'CALLAGHAN, Carolyn"	RARI	288	0.01	20	0.01	4	0.01	16	0.01	22	0.02	-4	346	0.01
		Group Total	RARI	38444	1.21	2757	1.30	559	1.68	1600	1.08	1199	1.16	-14	44545	1.21
B		TICKET VOTES	LNP	1285529	40.35	81133	38.36	9829	29.51	66370	44.76	48173	46.57	-44	1490990	40.49
	#	"WOODS, Bob"	LP	22961	0.72	1566	0.74	135	0.41	1118	0.75	1368	1.32	40	27188	0.74
	#	"BROWNHILL, David"	NP	1416	0.04	133	0.06	14	0.04	87	0.06	175	0.17	1	1826	0.05
	#	"COONAN, Helen"	LP	1554	0.05	152	0.07	21	0.06	92	0.06	140	0.14	-9	1950	0.05
		"CONSTANTIN, Abraham"	LP	629	0.02	50	0.02	4	0.01	45	0.03	44	0.04	-4	768	0.02
		Group Total	LNP	1312089	41.19	83034	39.26	10003	30.04	67712	45.66	49900	48.24	-16	1522722	41.35
C		TICKET VOTES	GRN	67987	2.13	8380	3.96	1633	4.90	4288	2.89	1628	1.57	5	83921	2.28
		"SPERLING, Karla"	GRN	10668	0.33	1139	0.54	131	0.39	641	0.43	344	0.33	1	12924	0.35
		"DENTON, Peter"	GRN	262	0.01	44	0.02	6	0.02	22	0.01	16	0.02	1	351	0.01
		"ELIX, Jane"	GRN	300	0.01	48	0.02	8	0.02	33	0.02	28	0.03	-1	416	0.01
		"MATSON, Murray"	GRN	244	0.01	35	0.02	4	0.01	22	0.01	11	0.01	0	316	0.01
		Group Total	GRN	79461	2.49	9646	4.56	1782	5.35	5006	3.38	2027	1.96	6	97928	2.66
D		TICKET VOTES	NAN	11761	0.37	967	0.46	148	0.44	511	0.34	301	0.29	0	13688	0.37
		"NASH, Chris"	NAN	2755	0.09	217	0.10	18	0.05	131	0.09	86	0.08	-29	3178	0.09
		"HALE, Sylvia"	NAN	148	0.00	13	0.01	3	0.01	10	0.01	3	0.00	0	177	0.00
		Group Total	NAN	14664	0.46	1197	0.57	169	0.51	652	0.44	390	0.38	-29	17043	0.46
E		TICKET VOTES	SEN	6195	0.19	319	0.15	40	0.12	360	0.24	441	0.43	0	7355	0.20
		"EVANS, Beryl"	SEN	745	0.02	41	0.02	1	0.00	44	0.03	32	0.03	-2	861	0.02
		"WELSH, Lorraine"	SEN	42	0.00	6	0.00	0	0.00	2	0.00	2	0.00	0	52	0.00
		Group Total	SEN	6982	0.22	366	0.17	41	0.12	406	0.27	475	0.46	-2	8268	0.22
F		TICKET VOTES	AFI	46315	1.45	4219	1.99	571	1.71	1835	1.24	1485	1.44	-1	54424	1.48
		"PHILLIPS, John"	AFI	6127	0.19	392	0.19	46	0.14	279	0.19	293	0.28	6	7143	0.19
		"O'REGAN, Bevan"	AFI	196	0.01	15	0.01	0	0.00	13	0.01	20	0.02	0	244	0.01
		Group Total	AFI	52638	1.65	4626	2.19	617	1.85	2127	1.43	1798	1.74	5	61811	1.68
G		TICKET VOTES	ALP	1173975	36.85	72977	34.50	15308	45.97	48408	32.65	33464	32.35	-37	1344095	36.50
	#	"WEST, Sue"	ALP	19757	0.62	1493	0.71	229	0.69	976	0.66	797	0.77	41	23293	0.63
	#	"CHILDS, Bruce"	ALP	1223	0.04	126	0.06	19	0.06	58	0.04	88	0.09	8	1522	0.04
		"WHEELWRIGHT, Tom"	ALP	998	0.03	88	0.04	12	0.04	50	0.03	53	0.05	-6	1195	0.03
		"BARGHOUT, Rima"	ALP	666	0.02	50	0.02	11	0.03	48	0.03	38	0.04	0	813	0.02
		Group Total	ALP	1196619	37.56	74734	35.33	15579	46.78	49540	33.41	34440	33.29	6	1370918	37.23
H		TICKET VOTES	DEM	272864	8.56	19382	9.16	2142	6.43	11883	8.01	7060	6.82	2	313333	8.51
	#	"BOURNE, Vicki"	DEM	31783	1.00	2234	1.06	140	0.42	1385	0.93	987	0.95	0	36529	0.99
		"CHESTERFIELD-EVANS, Arthur"	DEM	516	0.02	36	0.02	1	0.00	26	0.02	36	0.03	0	615	0.02
		"LARCOS, Andrew"	DEM	189	0.01	23	0.01	1	0.00	5	0.00	7	0.01	-2	223	0.01
