Senate - 2001 Election: Northen Territory																														
First Preference Votes by Group 																														
By Polling Place																														

Lingiari (57077)																														
		Group Total CLP			Group Total HAN			Group Total GRN			Group Total 			Group Total DEM			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alice Springs		745	44.35		66	3.93		104	6.19		2	0.12		178	10.60		583	34.70		2	0.12		1680	97.67		40	2.33		1720	3.74
Alyangula		124	32.46		17	4.45		19	4.97		4	1.05		54	14.14		164	42.93		0	0.00		382	98.71		5	1.29		387	0.84
Batchelor		90	31.14		31	10.73		10	3.46		1	0.35		22	7.61		135	46.71		0	0.00		289	97.31		8	2.69		297	0.65
Bees Creek		462	52.03		59	6.64		32	3.60		3	0.34		56	6.31		276	31.08		0	0.00		888	97.69		21	2.31		909	1.97
Berry Springs		306	47.89		56	8.76		29	4.54		2	0.31		28	4.38		218	34.12		0	0.00		639	96.97		20	3.03		659	1.43
Blatherskite Park		142	52.01		16	5.86		20	7.33		0	0.00		23	8.42		72	26.37		0	0.00		273	96.47		10	3.53		283	0.61
Braitling		959	52.81		82	4.52		78	4.30		7	0.39		125	6.88		562	30.95		3	0.17		1816	96.85		59	3.15		1875	4.07
Christmas Island		105	25.36		14	3.38		37	8.94		6	1.45		26	6.28		226	54.59		0	0.00		414	97.41		11	2.59		425	0.92
Gillen		1419	49.39		155	5.40		93	3.24		13	0.45		244	8.49		948	33.00		1	0.03		2873	98.05		57	1.95		2930	6.36
Home Island		85	32.20		2	0.76		4	1.52		2	0.76		6	2.27		165	62.50		0	0.00		264	98.51		4	1.49		268	0.58
Howard Springs		1061	55.61		105	5.50		82	4.30		15	0.79		130	6.81		513	26.89		2	0.10		1908	96.71		65	3.29		1973	4.29
Humpty Doo		1347	50.85		226	8.53		117	4.42		15	0.57		180	6.80		757	28.58		7	0.26		2649	97.32		73	2.68		2722	5.91
Jabiru		185	43.33		16	3.75		23	5.39		5	1.17		37	8.67		161	37.70		0	0.00		427	98.84		5	1.16		432	0.94
Katherine		932	50.62		150	8.15		66	3.59		7	0.38		105	5.70		579	31.45		2	0.11		1841	96.49		67	3.51		1908	4.14
Katherine East		602	51.99		93	8.03		22	1.90		4	0.35		83	7.17		350	30.22		4	0.35		1158	98.55		17	1.45		1175	2.55
Larapinta		762	52.66		72	4.98		37	2.56		6	0.41		114	7.88		453	31.31		3	0.21		1447	97.24		41	2.76		1488	3.23
Nhulunbuy		628	40.81		64	4.16		64	4.16		7	0.45		155	10.07		617	40.09		4	0.26		1539	96.98		48	3.02		1587	3.45
Pine Creek		74	52.48		19	13.48		4	2.84		0	0.00		7	4.96		37	26.24		0	0.00		141	96.58		5	3.42		146	0.32
Sadadeen		1138	47.82		95	3.99		141	5.92		13	0.55		252	10.59		740	31.09		1	0.04		2380	98.02		48	1.98		2428	5.27
Tennant Creek		481	36.55		90	6.84		41	3.12		7	0.53		203	15.43		493	37.46		1	0.08		1316	95.64		60	4.36		1376	2.99
Tindal		217	60.11		32	8.86		13	3.60		0	0.00		20	5.54		79	21.88		0	0.00		361	98.63		5	1.37		366	0.79
West Island		11	28.21		0	0.00		4	10.26		0	0.00		9	23.08		15	38.46		0	0.00		39	100.00		0	0.00		39	0.08
Yirara		276	51.59		19	3.55		20	3.74		5	0.93		49	9.16		162	30.28		4	0.75		535	97.45		14	2.55		549	1.19
Yulara		175	43.75		15	3.75		32	8.00		1	0.25		64	16.00		112	28.00		1	0.25		400	98.28		7	1.72		407	0.88
Special Hospitals		59	36.42		7	4.32		5	3.09		0	0.00		1	0.62		90	55.56		0	0.00		162	100.00		0	0.00		162	0.35
Remote Mobiles		3579	29.07		291	2.36		449	3.65		66	0.54		479	3.89		7442	60.45		5	0.04		12311	96.15		493	3.85		12804	27.81
Prison Mobiles		11	12.64		2	2.30		1	1.15		1	1.15		2	2.30		70	80.46		0	0.00		87	100.00		0	0.00		87	0.19
Total Ordinary		15975	41.80		1794	4.69		1547	4.05		192	0.50		2652	6.94		16019	41.91		40	0.10		38219	97.00		1183	3.00		39402	85.58
ABSENT		455	38.99		71	6.08		72	6.17		11	0.94		87	7.46		471	40.36		0	0.00		1167	98.32		20	1.68		1187	2.58
POSTAL		759	63.62		105	8.80		28	2.35		2	0.17		63	5.28		234	19.61		2	0.17		1193	99.42		7	0.58		1200	2.61
PRE_POLL		1687	45.12		240	6.42		167	4.47		30	0.80		320	8.56		1293	34.58		2	0.05		3739	98.89		42	1.11		3781	8.21
PROVISIONAL		139	30.96		13	2.90		18	4.01		5	1.11		28	6.24		245	54.57		1	0.22		449	95.53		21	4.47		470	1.02
Division Summary		19015	42.48		2223	4.97		1832	4.09		240	0.54		3150	7.04		18262	40.79		45	0.1		44767	97.24		1273	2.76		46040	80.66
