House of Representatives - 2001 Election: Northern Territory																							
Distribution of Preferences																							
By Polling Place																							
																							
Lingiari																							
					KELLY			CHELLEW			NORRIS			SNOWDON			HOAD			WRIGHT			
					Ron			Linda			Wayne David			Warren			Rob			Wayne			
					CLP			DEM			HAN			ALP			GRN						
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alice Springs                                                  																							
	FIRST			688	41.15		123	7.36		63	3.77		692	41.39		89	5.32		17	1.02		1672	
	SECOND			1	5.88		2	11.76		3	17.65		4	23.53		7	41.18			Excluded		17	
		TOTAL		689	41.21		125	7.48		66	3.95		696	41.63		96	5.74					1672	
	THIRD			7	7.29		60	62.50		1	1.04		28	29.17			Excluded					96	
		TOTAL		696	41.63		185	11.06		67	4.01		724	43.30								1672	
	FOURTH			36	53.73		14	20.90			Excluded		17	25.37								67	
		TOTAL		732	43.78		199	11.90					741	44.32								1672	
	FIFTH			67	33.67			Excluded					132	66.33								199	
		TOTAL		799	47.79								873	52.21								1672	
													Elected										
																							
Alyangula                                                      																							
	FIRST			118	31.47		38	10.13		14	3.73		187	49.87		13	3.47		5	1.33		375	
	SECOND			1	20.00		2	40.00		0	0.00		0	0.00		2	40.00			Excluded		5	
		TOTAL		119	31.73		40	10.67		14	3.73		187	49.87		15	4.00					375	
	THIRD			1	6.67		7	46.67		0	0.00		7	46.67			Excluded					15	
		TOTAL		120	32.00		47	12.53		14	3.73		194	51.73								375	
	FOURTH			5	35.71		5	35.71			Excluded		4	28.57								14	
		TOTAL		125	33.33		52	13.87					198	52.80								375	
	FIFTH			17	32.69			Excluded					35	67.31								52	
		TOTAL		142	37.87								233	62.13								375	
													Elected										
																							
Batchelor                                                      																							
	FIRST			92	32.06		14	4.88		28	9.76		141	49.13		10	3.48		2	0.70		287	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		92	32.06		14	4.88		29	10.10		142	49.48		10	3.48					287	
	THIRD			1	10.00		4	40.00		1	10.00		4	40.00			Excluded					10	
		TOTAL		93	32.40		18	6.27		30	10.45		146	50.87								287	
	FOURTH			12	40.00		8	26.67			Excluded		10	33.33								30	
		TOTAL		105	36.59		26	9.06					156	54.36								287	
	FIFTH			4	15.38			Excluded					22	84.62								26	
		TOTAL		109	37.98								178	62.02								287	
													Elected										
																							
Bees Creek                                                     																							
	FIRST			447	50.57		44	4.98		54	6.11		304	34.39		28	3.17		7	0.79		884	
	SECOND			3	42.86		1	14.29		0	0.00		0	0.00		3	42.86			Excluded		7	
		TOTAL		450	50.90		45	5.09		54	6.11		304	34.39		31	3.51					884	
	THIRD			4	12.90		15	48.39		3	9.68		9	29.03			Excluded					31	
		TOTAL		454	51.36		60	6.79		57	6.45		313	35.41								884	
	FOURTH			21	36.84		22	38.60			Excluded		14	24.56								57	
		TOTAL		475	53.73		82	9.28					327	36.99								884	
	FIFTH			26	31.71			Excluded					56	68.29								82	
		TOTAL		501	56.67								383	43.33								884	
													Elected										
																							
Berry Springs                                                  																							
	FIRST			307	47.97		21	3.28		39	6.09		240	37.50		30	4.69		3	0.47		640	
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		3	
		TOTAL		308	48.13		21	3.28		40	6.25		240	37.50		31	4.84					640	
	THIRD			2	6.45		14	45.16		1	3.23		14	45.16			Excluded					31	
		TOTAL		310	48.44		35	5.47		41	6.41		254	39.69								640	
	FOURTH			20	48.78		9	21.95			Excluded		12	29.27								41	
		TOTAL		330	51.56		44	6.88					266	41.56								640	
	FIFTH			14	31.82			Excluded					30	68.18								44	
		TOTAL		344	53.75								296	46.25								640	
													Elected										
																							
Blatherskite Park                                              																							
	FIRST			142	52.01		21	7.69		10	3.66		80	29.30		16	5.86		4	1.47		273	
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00		2	50.00			Excluded		4	
		TOTAL		142	52.01		22	8.06		10	3.66		81	29.67		18	6.59					273	
	THIRD			0	0.00		9	50.00		2	11.11		7	38.89			Excluded					18	
		TOTAL		142	52.01		31	11.36		12	4.40		88	32.23								273	
	FOURTH			6	50.00		3	25.00			Excluded		3	25.00								12	
		TOTAL		148	54.21		34	12.45					91	33.33								273	
	FIFTH			9	26.47			Excluded					25	73.53								34	
		TOTAL		157	57.51								116	42.49								273	
													Elected										
																							
Braitling                                                      																							
	FIRST			892	49.69		94	5.24		71	3.96		665	37.05		50	2.79		23	1.28		1795	
	SECOND			8	34.78		3	13.04		2	8.70		4	17.39		6	26.09			Excluded		23	
		TOTAL		900	50.14		97	5.40		73	4.07		669	37.27		56	3.12					1795	
	THIRD			7	12.50		22	39.29		1	1.79		26	46.43			Excluded					56	
		TOTAL		907	50.53		119	6.63		74	4.12		695	38.72								1795	
	FOURTH			43	58.11		14	18.92			Excluded		17	22.97								74	
		TOTAL		950	52.92		133	7.41					712	39.67								1795	
	FIFTH			50	37.59			Excluded					83	62.41								133	
		TOTAL		1000	55.71								795	44.29								1795	
													Elected										
																							
Christmas Island                                               																							
	FIRST			94	23.21		18	4.44		15	3.70		247	60.99		26	6.42		5	1.23		405	
	SECOND			0	0.00		4	80.00		0	0.00		1	20.00		0	0.00			Excluded		5	
		TOTAL		94	23.21		22	5.43		15	3.70		248	61.23		26	6.42					405	
	THIRD			3	11.54		10	38.46		0	0.00		13	50.00			Excluded					26	
		TOTAL		97	23.95		32	7.90		15	3.70		261	64.44								405	
	FOURTH			6	40.00		5	33.33			Excluded		4	26.67								15	
		TOTAL		103	25.43		37	9.14					265	65.43								405	
	FIFTH			18	48.65			Excluded					19	51.35								37	
		TOTAL		121	29.88								284	70.12								405	
													Elected										
																							
Gillen                                                         																							
	FIRST			1351	47.65		183	6.46		129	4.55		1086	38.31		61	2.15		25	0.88		2835	
	SECOND			3	12.00		6	24.00		5	20.00		5	20.00		6	24.00			Excluded		25	
		TOTAL		1354	47.76		189	6.67		134	4.73		1091	38.48		67	2.36					2835	
	THIRD			2	2.99		35	52.24		4	5.97		26	38.81			Excluded					67	
		TOTAL		1356	47.83		224	7.90		138	4.87		1117	39.40								2835	
	FOURTH			69	50.00		28	20.29			Excluded		41	29.71								138	
		TOTAL		1425	50.26		252	8.89					1158	40.85								2835	
	FIFTH			82	32.54			Excluded					170	67.46								252	
		TOTAL		1507	53.16								1328	46.84								2835	
													Elected										
																							
Home Island                                                    																							
	FIRST			80	31.13		4	1.56		6	2.33		163	63.42		0	0.00		4	1.56		257	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		4	100.00			Excluded		4	
		TOTAL		80	31.13		4	1.56		6	2.33		163	63.42		4	1.56					257	
	THIRD			0	0.00		0	0.00		1	25.00		3	75.00			Excluded					4	
		TOTAL		80	31.13		4	1.56		7	2.72		166	64.59								257	
	FOURTH			5	71.43		2	28.57			Excluded		0	0.00								7	
		TOTAL		85	33.07		6	2.33					166	64.59								257	
	FIFTH			1	16.67			Excluded					5	83.33								6	
		TOTAL		86	33.46								171	66.54								257	
													Elected										
																							
Howard Springs                                                 																							
	FIRST			1014	53.96		113	6.01		86	4.58		588	31.29		66	3.51		12	0.64		1879	
	SECOND			2	16.67		2	16.67		1	8.33		3	25.00		4	33.33			Excluded		12	
		TOTAL		1016	54.07		115	6.12		87	4.63		591	31.45		70	3.73					1879	
	THIRD			5	7.14		33	47.14		11	15.71		21	30.00			Excluded					70	
		TOTAL		1021	54.34		148	7.88		98	5.22		612	32.57								1879	
	FOURTH			45	45.92		34	34.69			Excluded		19	19.39								98	
		TOTAL		1066	56.73		182	9.69					631	33.58								1879	
	FIFTH			70	38.46			Excluded					112	61.54								182	
		TOTAL		1136	60.46								743	39.54								1879	
													Elected										
																							
Humpty Doo                                                     																							
	FIRST			1309	50.48		153	5.90		173	6.67		850	32.78		96	3.70		12	0.46		2593	
	SECOND			2	16.67		2	16.67		2	16.67		2	16.67		4	33.33			Excluded		12	
		TOTAL		1311	50.56		155	5.98		175	6.75		852	32.86		100	3.86					2593	
	THIRD			8	8.00		52	52.00		10	10.00		30	30.00			Excluded					100	
