Senate - 2001 Election: Northern Territory																														
First Preference Votes by Group 																														
By Polling Place																														

Solomon (53945)																														
		Group Total CLP			Group Total HAN			Group Total GRN			Group Total 			Group Total DEM			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Anula		901	40.95		93	4.23		82	3.73		11	0.50		135	6.14		977	44.41		1	0.05		2200	98.00		45	2.00		2245	4.52
Bakewell		1047	53.42		96	4.90		45	2.30		12	0.61		127	6.48		631	32.19		2	0.10		1960	97.95		41	2.05		2001	4.03
Berrimah		424	57.92		48	6.56		22	3.01		2	0.27		42	5.74		194	26.50		0	0.00		732	98.65		10	1.35		742	1.49
Darwin		347	45.90		24	3.17		55	7.28		6	0.79		79	10.45		245	32.41		0	0.00		756	97.80		17	2.20		773	1.56
Driver		1201	48.29		163	6.55		56	2.25		23	0.92		158	6.35		884	35.54		2	0.08		2487	96.55		89	3.45		2576	5.19
Durack		926	61.20		62	4.10		35	2.31		3	0.20		75	4.96		412	27.23		0	0.00		1513	97.87		33	2.13		1546	3.11
Gray		1176	49.75		128	5.41		61	2.58		13	0.55		129	5.46		856	36.21		1	0.04		2364	96.89		76	3.11		2440	4.91
Jingili		784	41.05		96	5.03		99	5.18		9	0.47		126	6.60		795	41.62		1	0.05		1910	96.37		72	3.63		1982	3.99
Karama		1404	39.59		167	4.71		106	2.99		32	0.90		227	6.40		1606	45.29		4	0.11		3546	97.02		109	2.98		3655	7.36
Larrakeyah		890	53.55		58	3.49		85	5.11		12	0.72		158	9.51		455	27.38		4	0.24		1662	97.76		38	2.24		1700	3.42
Leanyer		918	45.74		53	2.64		85	4.24		10	0.50		158	7.87		783	39.01		0	0.00		2007	97.52		51	2.48		2058	4.14
Ludmilla		781	45.49		92	5.36		93	5.42		8	0.47		133	7.75		607	35.35		3	0.17		1717	97.01		53	2.99		1770	3.56
Moulden		267	40.64		46	7.00		24	3.65		7	1.07		42	6.39		268	40.79		3	0.46		657	97.48		17	2.52		674	1.36
Nakara		869	38.40		75	3.31		90	3.98		32	1.41		227	10.03		967	42.73		3	0.13		2263	97.21		65	2.79		2328	4.69
Nightcliff		1505	40.04		123	3.27		336	8.94		58	1.54		368	9.79		1365	36.31		4	0.11		3759	97.11		112	2.89		3871	7.79
Parap		1184	45.80		68	2.63		140	5.42		41	1.59		218	8.43		929	35.94		5	0.19		2585	97.25		73	2.75		2658	5.35
Rapid Creek		509	36.12		62	4.40		72	5.11		19	1.35		116	8.23		630	44.71		1	0.07		1409	95.07		73	4.93		1482	2.98
Stuart Park		760	47.65		58	3.64		88	5.52		11	0.69		156	9.78		519	32.54		3	0.19		1595	96.78		53	3.22		1648	3.32
Tiwi		400	37.77		40	3.78		61	5.76		3	0.28		106	10.01		447	42.21		2	0.19		1059	97.33		29	2.67		1088	2.19
Wagaman		498	37.78		34	2.58		37	2.81		11	0.83		79	5.99		656	49.77		3	0.23		1318	96.27		51	3.73		1369	2.76
Wanguri		675	39.96		60	3.55		74	4.38		9	0.53		112	6.63		756	44.76		3	0.18		1689	96.24		66	3.76		1755	3.53
Woodroffe		222	52.86		23	5.48		15	3.57		3	0.71		17	4.05		139	33.10		1	0.24		420	96.33		16	3.67		436	0.88
Wulagi		576	44.10		51	3.91		53	4.06		6	0.46		100	7.66		516	39.51		4	0.31		1306	97.61		32	2.39		1338	2.69
Special Hospitals		55	44.35		4	3.23		8	6.45		1	0.81		3	2.42		52	41.94		1	0.81		124	95.38		6	4.62		130	0.26
Prison Mobiles		1	7.69		2	15.38		0	0.00		1	7.69		3	23.08		6	46.15		0	0.00		13	100.00		0	0.00		13	0.03
Total Ordinary		18320	44.63		1726	4.20		1822	4.44		343	0.84		3094	7.54		15695	38.23		51	0.12		41051	97.10		1227	2.90		42278	85.13
ABSENT		359	41.12		41	4.70		49	5.61		7	0.80		65	7.45		351	40.21		1	0.11		873	97.65		21	2.35		894	1.80
POSTAL		529	48.35		70	6.40		47	4.30		11	1.01		99	9.05		338	30.90		0	0.00		1094	99.09		10	0.91		1104	2.22
PRE_POLL		2352	47.06		274	5.48		212	4.24		44	0.88		371	7.42		1737	34.75		8	0.16		4998	98.00		102	2.00		5100	10.27
PROVISIONAL		105	37.63		19	6.81		16	5.73		5	1.79		17	6.09		117	41.94		0	0.00		279	97.55		7	2.45		286	0.58
Division Summary		21665	44.86		2130	4.41		2146	4.44		410	0.85		3646	7.55		18238	37.76		60	0.12		48295	97.25		1367	2.75		49662	92.06
