House of Representatives - 2001 Election: Northern Territory																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							

Solomon (53945)																																							
	POLLOCK			HULL			# TOLLNER			DUNSTAN			STEWART			RYAN-JAPARTA			AUSTIN			FORMAL			INFORMAL			TOTAL											
	David			Laurene			David			Ted			Mervyn James			Maurie			Maisie												Two Candidate Preferred								
	GRN			ALP			CLP			DEM			HAN			IND			IND												 HULL ALP			# TOLLNER CLP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Anula	82	3.79		962	44.52		808	37.39		104	4.81		69	3.19		14	0.65		122	5.65		2161	96.30		83	3.70		2244	4.52		1190	55.07		971	44.93				
Bakewell	60	3.13		609	31.72		991	51.61		90	4.69		78	4.06		11	0.57		81	4.22		1920	95.86		83	4.14		2003	4.04		762	39.69		1158	60.31				
Berrimah	22	3.06		182	25.35		413	57.52		41	5.71		34	4.74		2	0.28		24	3.34		718	97.29		20	2.71		738	1.49		244	33.98		474	66.02				
Darwin	55	7.28		256	33.91		319	42.25		58	7.68		19	2.52		8	1.06		40	5.30		755	97.42		20	2.58		775	1.56		365	48.34		390	51.66				
Driver	82	3.38		857	35.34		1123	46.31		119	4.91		125	5.15		20	0.82		99	4.08		2425	94.17		150	5.83		2575	5.19		1094	45.11		1331	54.89				
Durack	42	2.85		400	27.16		874	59.33		42	2.85		51	3.46		6	0.41		58	3.94		1473	95.28		73	4.72		1546	3.12		496	33.67		977	66.33				
Gray	73	3.18		843	36.70		1086	47.28		92	4.01		104	4.53		14	0.61		85	3.70		2297	94.33		138	5.67		2435	4.91		1032	44.93		1265	55.07				
Jingili	106	5.65		794	42.30		712	37.93		97	5.17		70	3.73		13	0.69		85	4.53		1877	94.80		103	5.20		1980	3.99		1033	55.03		844	44.97
Karama	140	4.02		1561	44.87		1285	36.94		160	4.60		119	3.42		30	0.86		184	5.29		3479	95.11		179	4.89		3658	7.37		1896	54.50		1583	45.50
Larrakeyah	80	4.85		476	28.83		844	51.12		116	7.03		43	2.60		14	0.85		78	4.72		1651	96.38		62	3.62		1713	3.45		652	39.49		999	60.51
Leanyer	98	4.93		797	40.13		842	42.40		118	5.94		40	2.01		8	0.40		83	4.18		1986	96.45		73	3.55		2059	4.15		999	50.30		987	49.70
Ludmilla	104	6.13		604	35.61		741	43.69		91	5.37		70	4.13		14	0.83		72	4.25		1696	95.77		75	4.23		1771	3.57		818	48.23		878	51.77
Moulden	26	4.11		265	41.86		233	36.81		26	4.11		42	6.64		11	1.74		30	4.74		633	94.06		40	5.94		673	1.36		330	52.13		303	47.87
Nakara	106	4.77		1008	45.34		766	34.46		149	6.70		58	2.61		10	0.45		126	5.67		2223	95.45		106	4.55		2329	4.69		1293	58.16		930	41.84
Nightcliff	341	9.21		1400	37.80		1349	36.42		236	6.37		91	2.46		20	0.54		267	7.21		3704	95.59		171	4.41		3875	7.81		2035	54.94		1669	45.06
Parap	160	6.29		960	37.72		1075	42.24		136	5.34		52	2.04		14	0.55		148	5.82		2545	95.68		115	4.32		2660	5.36		1285	50.49		1260	49.51
Rapid Creek	103	7.30		647	45.89		469	33.26		67	4.75		49	3.48		7	0.50		68	4.82		1410	95.27		70	4.73		1480	2.98		841	59.65		569	40.35
Stuart Park	105	6.67		533	33.84		660	41.90		103	6.54		45	2.86		11	0.70		118	7.49		1575	95.45		75	4.55		1650	3.33		758	48.13		817	51.87
Tiwi	60	5.76		449	43.13		358	34.39		82	7.88		32	3.07		10	0.96		50	4.80		1041	95.68		47	4.32		1088	2.19		596	57.25		445	42.75
Wagaman	49	3.80		630	48.91		441	34.24		63	4.89		25	1.94		7	0.54		73	5.67		1288	94.50		75	5.50		1363	2.75		765	59.39		523	40.61
Wanguri	83	5.05		740	45.04		591	35.97		77	4.69		44	2.68		7	0.43		101	6.15		1643	93.73		110	6.27		1753	3.53		918	55.87		725	44.13
Woodroffe	9	2.16		139	33.33		216	51.80		10	2.40		13	3.12		3	0.72		27	6.47		417	94.99		22	5.01		439	0.88		166	39.81		251	60.19
Wulagi	56	4.33		509	39.34		534	41.27		63	4.87		42	3.25		11	0.85		79	6.11		1294	96.35		49	3.65		1343	2.71		643	49.69		651	50.31
Special Hospitals	17	14.41		41	34.75		40	33.90		7	5.93		1	0.85		2	1.69		10	8.47		118	92.19		10	7.81		128	0.26		60	50.85		58	49.15			
Prison Mobiles	0	0.00		7	53.85		2	15.38		1	7.69		1	7.69		0	0.00		2	15.38		13	100.00		0	0.00		13	0.03		10	76.92		3	23.08			
Total Ordinary	2059	5.10		15669	38.84		16772	41.57		2148	5.32		1317	3.26		267	0.66		2110	5.23		40342	95.39		1949	4.61		42291	85.22		20281	50.27		20061	49.73			
ABSENT	53	6.38		352	42.36		297	35.74		49	5.90		31	3.73		11	1.32		38	4.57		831	94.54		48	5.46		879	1.77		473	56.92		358	43.08			
POSTAL	42	3.76		361	32.35		517	46.33		73	6.54		61	5.47		6	0.54		56	5.02		1116	97.89		24	2.11		1140	2.30		488	43.73		628	56.27			
PRE_POLL	261	5.31		1727	35.11		2164	43.99		298	6.06		250	5.08		50	1.02		169	3.44		4919	96.77		164	3.23		5083	10.24		2316	47.08		2603	52.92			
PROVISIONAL	24	10.91		86	39.09		78	35.45		14	6.36		10	4.55		3	1.36		5	2.27		220	95.24		11	4.76		231	0.47		112	50.91		108	49.09			
Division Summary	2439	5.14		18195	38.36		19828	41.81		2582	5.44		1669	3.52		337	0.71		2378	5.01		47428	95.57		2196	4.43		49624	91.99		23670	49.91		23758	50.09			
																																						
																																						
																																						
																																						
																																						
