House of Representatives - 2001 Election: Northern Territory																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Lingiari (57077)																																			
	KELLY			CHELLEW			NORRIS			# SNOWDON			HOAD			WRIGHT			FORMAL			INFORMAL			TOTAL										
	Ron			Linda			Wayne David			Warren			Rob			Wayne												Two Candidate Preferred							
	CLP			DEM			HAN			ALP			GRN															 KELLY CLP			# SNOWDON ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Alice Springs	688	41.15		123	7.36		63	3.77		692	41.39		89	5.32		17	1.02		1672	97.15		49	2.85		1721	3.74		799	47.79		873	52.21			
Alyangula	118	31.47		38	10.13		14	3.73		187	49.87		13	3.47		5	1.33		375	97.15		11	2.85		386	0.84		142	37.87		233	62.13			
Batchelor	92	32.06		14	4.88		28	9.76		141	49.13		10	3.48		2	0.70		287	95.99		12	4.01		299	0.65		109	37.98		178	62.02			
Bees Creek	447	50.57		44	4.98		54	6.11		304	34.39		28	3.17		7	0.79		884	96.93		28	3.07		912	1.98		501	56.67		383	43.33			
Berry Springs	307	47.97		21	3.28		39	6.09		240	37.50		30	4.69		3	0.47		640	97.26		18	2.74		658	1.43		344	53.75		296	46.25			
Blatherskite Park	142	52.01		21	7.69		10	3.66		80	29.30		16	5.86		4	1.47		273	96.81		9	3.19		282	0.61		157	57.51		116	42.49			
Braitling	892	49.69		94	5.24		71	3.96		665	37.05		50	2.79		23	1.28		1795	95.63		82	4.37		1877	4.08		1000	55.71		795	44.29			
Christmas Island	94	23.21		18	4.44		15	3.70		247	60.99		26	6.42		5	1.23		405	95.52		19	4.48		424	0.92		121	29.88		284	70.12
Gillen	1351	47.65		183	6.46		129	4.55		1086	38.31		61	2.15		25	0.88		2835	96.72		96	3.28		2931	6.38		1507	53.16		1328	46.84
Home Island	80	31.13		4	1.56		6	2.33		163	63.42		0	0.00		4	1.56		257	95.90		11	4.10		268	0.58		86	33.46		171	66.54
Howard Springs	1014	53.96		113	6.01		86	4.58		588	31.29		66	3.51		12	0.64		1879	95.19		95	4.81		1974	4.29		1136	60.46		743	39.54
Humpty Doo	1309	50.48		153	5.90		173	6.67		850	32.78		96	3.70		12	0.46		2593	95.93		110	4.07		2703	5.88		1494	57.62		1099	42.38
Jabiru	166	40.10		30	7.25		16	3.86		182	43.96		17	4.11		3	0.72		414	95.83		18	4.17		432	0.94		191	46.14		223	53.86
Katherine	903	49.51		85	4.66		131	7.18		651	35.69		43	2.36		11	0.60		1824	95.70		82	4.30		1906	4.15		1048	57.46		776	42.54
Katherine East	566	49.74		51	4.48		82	7.21		414	36.38		19	1.67		6	0.53		1138	96.93		36	3.07		1174	2.55		653	57.38		485	42.62
Larapinta	729	51.19		88	6.18		53	3.72		517	36.31		30	2.11		7	0.49		1424	95.57		66	4.43		1490	3.24		812	57.02		612	42.98
Nhulunbuy	590	39.31		100	6.66		53	3.53		697	46.44		53	3.53		8	0.53		1501	94.76		83	5.24		1584	3.45		672	44.77		829	55.23
Pine Creek	71	51.45		5	3.62		16	11.59		40	28.99		5	3.62		1	0.72		138	96.50		5	3.50		143	0.31		82	59.42		56	40.58
Sadadeen	1039	44.53		197	8.44		78	3.34		898	38.49		102	4.37		19	0.81		2333	95.89		100	4.11		2433	5.29		1171	50.19		1162	49.81
Tennant Creek	450	34.32		85	6.48		73	5.57		662	50.50		29	2.21		12	0.92		1311	94.79		72	5.21		1383	3.01		546	41.65		765	58.35
Tindal	202	58.21		12	3.46		31	8.93		89	25.65		11	3.17		2	0.58		347	94.81		19	5.19		366	0.80		231	66.57		116	33.43
West Island	11	28.21		7	17.95		0	0.00		16	41.03		5	12.82		0	0.00		39	100.00		0	0.00		39	0.08		13	33.33		26	66.67
Yirara	244	47.38		40	7.77		24	4.66		190	36.89		11	2.14		6	1.17		515	93.98		33	6.02		548	1.19		277	53.79		238	46.21
Yulara	172	44.68		50	12.99		11	2.86		127	32.99		21	5.45		4	1.04		385	95.53		18	4.47		403	0.88		219	56.88		166	43.12			
Special Hospitals	56	36.36		2	1.30		2	1.30		86	55.84		2	1.30		6	3.90		154	95.06		8	4.94		162	0.35		60	38.96		94	61.04			
Remote Mobiles	2515	21.30		230	1.95		203	1.72		8561	72.49		148	1.25		153	1.30		11810	92.48		961	7.52		12771	27.78		2793	23.65		9017	76.35			
Prison Mobiles	6	6.90		3	3.45		2	2.30		75	86.21		0	0.00		1	1.15		87	100.00		0	0.00		87	0.19		10	11.49		77	88.51			
Total Ordinary	14254	38.20		1811	4.85		1463	3.92		18448	49.44		981	2.63		358	0.96		37315	94.81		2041	5.19		39356	85.61		16174	43.34		21141	56.66			
ABSENT	393	35.12		75	6.70		59	5.27		525	46.92		52	4.65		15	1.34		1119	95.64		51	4.36		1170	2.54		476	42.54		643	57.46			
POSTAL	765	62.14		51	4.14		92	7.47		289	23.48		29	2.36		5	0.41		1231	98.64		17	1.36		1248	2.71		869	70.59		362	29.41			
PRE_POLL	1605	43.69		262	7.13		193	5.25		1419	38.62		150	4.08		45	1.22		3674	97.07		111	2.93		3785	8.23		1902	51.77		1772	48.23			
PROVISIONAL	116	29.44		14	3.55		10	2.54		235	59.64		14	3.55		5	1.27		394	95.17		20	4.83		414	0.90		130	32.99		264	67.01			
Division Summary	17133	39.18		2213	5.06		1817	4.15		20916	47.83		1226	2.80		428	0.98		43733	95.13		2240	4.87		45973	80.55		19551	44.71		24182	55.29			
																																			
																																			
																																			
																																			
																																			
