House of Representatives - 1993 Election 			
First Preference Votes			
By Party by State			
			
National			
Enrolment 11384638			

Party	Votes	%	Swing
ALP	4751390	44.92	5.49
LP	3888579	36.77	2.01
NP	758036	7.17	-1.25
CLP	35207	0.33	0.05
DEM	397060	3.75	-7.50
AFI	3587	0.03	0.03
CTA	49467	0.47	-0.51
GRN	41684	0.39	0.15
NLP	78577	0.74	0.74
OTH	573192	5.42	0.80
FORMAL	10576779	97.03	0.22
INFORMAL	324082	2.97	-0.22
TOTAL	10900861	95.75	0.44
Two Party Preferred			
ALP	5436421	51.44	1.54
Coalition	5133033	48.56	-1.54
EXHAUSTED	7325		
			


New South Wales			
Enrolment 3814932			

Party	Votes	%	Swing
ALP	1714512	48.32	7.16
LP	1127291	31.77	2.70
NP	346191	9.76	-1.50
DEM	99817	2.81	-7.40
AFI	1732	0.05	0.05
CTA	21764	0.61	-0.03
GRN	38367	1.08	0.84
NLP	23385	0.66	0.66
OTH	175419	4.94	-2.47
FORMAL	3548478	96.90	0.02
INFORMAL	113664	3.10	-0.02
TOTAL	3662142	95.99	0.62
Two Party Preferred			
ALP	1928635	54.38	2.25
Coalition	1617712	45.62	-2.25
EXHAUSTED	2131		
			

Victoria			
Enrolment 2932640			

Party	Votes	%	Swing
ALP	1273974	46.45	9.38
LP	1102965	40.21	0.53
NP	137470	5.01	-0.99
DEM	101185	3.69	-8.74
AFI	1855	0.07	0.04
NLP	31529	1.15	1.15
OTH	93837	3.42	-1.36
FORMAL	2742815	97.17	0.72
INFORMAL	79811	2.83	-0.72
TOTAL	2822626	96.25	0.59
Two Party Preferred			
ALP	1419835	51.80	4.34
Coalition	1320898	48.20	-4.34
EXHAUSTED	2082		
	2742815		

Queensland			
Enrolment 1971729			

Party	Votes	%	Swing
ALP	739862	40.49	-1.11
LP	571226	31.26	2.75
NP	269152	14.73	-2.03
DEM	74278	4.06	-7.53
AIP	4069	0.22	0.22
GRN	0	0.00	-0.60
OTH	168737	9.23	8.30
FORMAL	1827324	97.38	-0.39
INFORMAL	49135	2.62	0.39
TOTAL	1876459	95.17	0.44
Two Party Preferred			
ALP	884426	48.43	-1.76
Coalition	941709	51.57	1.76
EXHAUSTED	1189		
			

Western Australia			
Enrolment 1038968			

Party	Votes	%	Swing
ALP	381143	39.35	4.01
LP	474743	49.01	5.10
NP	2345	0.24	-2.18
DEM	31791	3.28	-5.12
GWA	55907	5.77	-1.73
NLP	5095	0.53	0.53
OTH	17569	1.81	-0.60
FORMAL	968593	97.48	1.19
INFORMAL	24992	2.52	-1.19
TOTAL	993585	95.63	1.10
Two Party Preferred			
ALP	445462	46.02	-1.11
Coalition	522580	53.98	1.11
EXHAUSTED	551		
			

South Australia			
Enrolment 1014400			

Party	Votes	%	Swing
ALP	358707	38.83	0.88
LP	421687	45.65	3.00
DEM	71981	7.79	-7.37
NLP	13592	1.47	1.47
OTH	57708	6.25	2.02
FORMAL	923675	95.94	-0.38
INFORMAL	39088	4.06	0.38
TOTAL	962763	94.91	-1.10
Two Party Preferred			
ALP	436650	47.33	-2.17
Coalition	485892	52.67	2.17
EXHAUSTED	1133		
			

Tasmania			
Enrolment 327919			

Party	Votes	%	Swing
ALP	143621	46.76	7.02
LP	129132	42.04	-6.56
DEM	7653	2.49	-6.10
TG	24319	7.92	5.72
OTH	2415	0.79	-0.07
FORMAL	307140	97.27	0.53
INFORMAL	8634	2.73	-0.53
TOTAL	315774	96.30	-0.22
Two Party Preferred			
ALP	167780	54.65	6.75
Coalition	139239	45.35	-6.75
EXHAUSTED	121		
			

Australian Capital Territory			
Enrolment 192487			

Party	Votes	%	Swing
ALP	95993	53.34	8.46
LP	61535	34.19	-0.64
GRN	0	0.00	-3.79
NLP	1429	0.79	0.79
OTH	21012	11.68	-4.82
FORMAL	179969	96.65	-0.40
INFORMAL	6240	3.35	0.40
TOTAL	186209	96.74	0.96
Two Party Preferred			
ALP	110055	61.19	2.65
Coalition	69796	38.81	-2.65
EXHAUSTED	118		
			

Northern Territory			
Enrolment 91563			

Party	Votes	%	Swing
ALP	43578	55.31	5.35
CLP	35207	44.69	4.15
OTH	0	0.00	-9.50
FORMAL	78785	96.90	0.28
INFORMAL	2518	3.10	-0.28
TOTAL	81303	88.79	-0.63
Two Party Preferred			
ALP	43578	55.31	0.29
Coalition	35207	44.69	-0.29
EXHAUSTED	0		
			

			
			

			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
