House of Representatives - 1993 Election																																					
Distribution of Preferences																																					
By Division																																					
																																					
																																					
New South Wales																																					
																																					
																																					
Banks																																					
				KIRKMAN			DAVARIS			MELHAM			FARLEIGH			TAYLOR			HAY																		
				Deborah			Paul			Daryl			Peter			Clive Arthur Adam			John																		
				(IND)			(CTA)			(ALP)			(DEM)			(LP)			(IND)																		
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	Exh.															
FIRST			2522	3.42		1726	2.34		40460	54.80		2642	3.58		25634	34.72		846	1.15		73830	- 															
SECOND			452	53.62		37	4.39		96	11.39		101	11.98		157	18.62			Excluded		843	  3															
	TOTAL		2974	4.03		1763	2.39		40556	54.93		2743	3.72		25791	34.93					73827	  3															
THIRD			332	18.92			Excluded		295	16.81		161	9.17		967	55.10					1755	  8															
	TOTAL		3306	4.48					40851	55.34		2904	3.93		26758	36.25					73819	  11															
FOURTH			990	34.14					1292	44.55			Excluded		618	21.31					2900	  4															
	TOTAL		4296	5.82					42143	57.09					27376	37.09					73815	  15															
FIFTH				Excluded					2532	59.26					1741	40.74					4273	  23															
	TOTAL								44675	60.54					29117	39.46					73792	  38															
										Elected																											
																																					
Barton																																					
				WHITE			PUNCH			MCGARRY			ANDERSON			MUDIE			BALDING			GREEN			O'NEILL												
				Phil			Gary			Norm			Troy			Cathy			Paul			Ross			Dafna												
				(LP)			(ALP)			(IND)			(DEM)			(CTA)			(IND)			(IND)			(NLP)												
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	Exh.									
FIRST			28066	37.87		41442	55.92		545	0.74		1862	2.51		1118	1.51		365	0.49		425	0.57		285	0.38		74108	- 									
SECOND			27	9.47		59	20.70		8	2.81		33	11.58		24	8.42		14	4.91		120	42.11			Excluded		285	- 									
	TOTAL		28093	37.91		41501	56.00		553	0.75		1895	2.56		1142	1.54		379	0.51		545	0.74					74108	- 									
THIRD			94	24.80		31	8.18		28	7.39		26	6.86		25	6.60			Excluded		175	46.17					379	- 									
	TOTAL		28187	38.04		41532	56.04		581	0.78		1921	2.59		1167	1.57					720	0.97					74108	- 									
FOURTH			56	9.71		129	22.36			Excluded		147	25.48		30	5.20					215	37.26					577	  4									
	TOTAL		28243	38.11		41661	56.22					2068	2.79		1197	1.62					935	1.26					74104	  4									
FIFTH			169	18.21		195	21.01					359	38.69		205	22.09						Excluded					928	  7									
	TOTAL		28412	38.34		41856	56.49					2427	3.28		1402	1.89											74097	  11									
SIXTH			616	44.19		351	25.18					427	30.63			Excluded											1394	  8									
	TOTAL		29028	39.18		42207	56.97					2854	3.85														74089	  19									
SEVENTH			1049	36.99		1787	63.01						Excluded														2836	  18									
	TOTAL		30077	40.61		43994	59.39																				74071	  37									
							Elected																														
																																					
Bennelong																																					
				HOWARD			DALGLIESH			DAWSON			ROYLANCE			REDDY			ROTIK																		
				John Winston			Geoff			John Craig			Michael			Suzanne			Monique																		
				(LP)						(IND)			(NLP)			(DEM)			(ALP)																		
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	Exh.															
FIRST			37096	50.12		570	0.77		1222	1.65		393	0.53		3910	5.28		30826	41.65		74017	- 															
SECOND			55	13.99		32	8.14		115	29.26			Excluded		116	29.52		75	19.08		393	- 															
	TOTAL		37151	50.19		602	0.81		1337	1.81					4026	5.44		30901	41.75		74017	- 															
THIRD			183	30.76			Excluded		239	40.17					94	15.80		79	13.28		595	  7															
	TOTAL		37334	50.44					1576	2.13					4120	5.57		30980	41.86		74010	  7															
FOURTH			416	26.50						Excluded					831	52.93		323	20.57		1570	  6															
	TOTAL		37750	51.01											4951	6.69		31303	42.30		74004	  13															
FIFTH			1591	32.36												Excluded		3326	67.64		4917	  34															
	TOTAL		39341	53.19														34629	46.81		73970	  47															
				Elected																																	
																																					
Berowra																																					
				GALLAGHER			RUDDOCK			CARR			DEANE																								
				Mick			Philip			Timothy			Sue																								
				(IND)			(LP)			(NLP)			(ALP)																								
Count			Votes	%		Votes	%		Votes	%		Votes	%		Total	Exh.																					
FIRST			10828	14.50		41230	55.22		1116	1.49		21492	28.78		74666	- 																					
SECOND			529	47.49		259	23.25			Excluded		326	29.26		1114	  2																					
	TOTAL		11357	15.21		41489	55.57					21818	29.22		74664	  2																					
THIRD				Excluded		4944	43.59					6398	56.41		11342	  15																					
	TOTAL					46433	62.20					28216	37.80		74649	  17																					
							Elected																														
																																					
Blaxland																																					
				KEATING			TENENBAUM			HENNESSY			CARRICK			HILLMAN			KELVIN			OSMOND			REID			AUSSIE-STONE			O'NEILL						
				Paul John			Linda			Peter Gerard			Trevor			Jon			Wilfrid H. C.			Les			Bob			Marcus			Peter						
				(ALP)						(DEM)			(CTA)			(IND)			(IND)			(LP)			(IND)			(IND)			(NLP)						
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	Exh.			
FIRST			48446	69.40		413	0.59		1388	1.99		804	1.15		678	0.97		179	0.26		16927	24.25		388	0.56		204	0.29		378	0.54		69805	- 			
SECOND			15	8.47		4	2.26		15	8.47		12	6.78		57	32.20			Excluded		31	17.51		27	15.25		11	6.21		5	2.82		177	  2			
	TOTAL		48461	69.43		417	0.60		1403	2.01		816	1.17		735	1.05					16958	24.29		415	0.59		215	0.31		383	0.55		69803	  2			
THIRD			17	7.94		6	2.80		9	4.21		6	2.80		38	17.76					15	7.01		94	43.93			Excluded		29	13.55		214	  1			
	TOTAL		48478	69.45		423	0.61		1412	2.02		822	1.18		773	1.11					16973	24.32		509	0.73					412	0.59		69802	  3			
FOURTH			33	8.07		18	4.40		23	5.62		18	4.40		20	4.89					44	10.76		253	61.86						Excluded		409	  3			
	TOTAL		48511	69.50		441	0.63		1435	2.06		840	1.20		793	1.14					17017	24.38		762	1.09								69799	  6			
FIFTH			166	37.81			Excluded		148	33.71		26	5.92		45	10.25					24	5.47		30	6.83								439	  2			
	TOTAL		48677	69.74					1583	2.27		866	1.24		838	1.20					17041	24.42		792	1.13								69797	  8			
SIXTH			75	9.54					48	6.11		39	4.96		341	43.38					283	36.01			Excluded								786	  6			
	TOTAL		48752	69.85					1631	2.34		905	1.30		1179	1.69					17324	24.82											69791	  14			
SEVENTH			145	16.11					132	14.67			Excluded		185	20.56					438	48.67											900	  5			
	TOTAL		48897	70.07					1763	2.53					1364	1.95					17762	25.45											69786	  19			
EIGHTH			235	17.36					671	49.56						Excluded					448	33.09											1354	  10			
	TOTAL		49132	70.41					2434	3.49											18210	26.10											69776	  29			
NINTH			1151	47.92						Excluded											1251	52.08											2402	  32			
	TOTAL		50283	72.10																	19461	27.90											69744	  61			
				Elected																																	
																																					
Bradfield																																					
				JEANS			COURTNEY-HOLLAND			SPRINGETT			CONNOLLY																								
				Simon			Mark			Bob			David Miles																								
				(ALP)			(NLP)			(DEM)			(LP)																								
