Senate - 1998 Election			
National List of Candidates			
			
* Heather Hill (Pauline Hanson's One Nation) appears in this list of candidates although she was ruled ineligible to stand 			
as a candidate in the 1998 election by the Court of Disputed Returns			
			
Candidate	Party/Group Name	State	

"ABBLITT, Petita"	Tasmania First Party	TAS	
"ABBOTTO, John Murray"	Family Law Reform Party	VIC	
"ABETZ, Eric"	Liberal	TAS	
"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	Abolish Child Support/Family Court Party	NSW	
"ALLANSON, Tom"	Christian Democratic Party (Fred Nile Group)	NSW	
"ANDERSON, Lois"	Australian Labor Party	WA	
"ANNING, David"	Pauline Hanson's One Nation	QLD	
"APPONYI, Natalija Ruta"	Australian Democrats	SA	
"AUSTIN, Maisie Pauline"	Country Liberal - The Territory Party	NT

"BAIRD, Matthew"	Australian Democrats	NSW
"BAPTIST, Simon"	The Greens	TAS
"BARNETT, Guy"	Liberal	TAS
"BARWICK, Robert"	Citizens Electoral Council	VIC
"BATESON, Alan"	Taxi Operators Political Service (Oceania)	WA
"BATHURST, Megan Jane"	Australian Democrats	QLD
"BEAMS, Nick"	Socialist Equality Party	NSW
"BELL, Robert"	Australian Democrats	TAS
"BESSANT, Morris"		WA
"BINDON, Carolyn"	Australian Women's Party	TAS
"BLACKMAN, Kerry"	Christian Democratic Party (Fred Nile Group)	QLD
"BOLKUS, Nick"	Australian Labor Party (ALP)	SA
"BOWIE, Alex"	Australian Democrats	SA
"BOYLE, Peter"	Democratic Socialists	NSW
"BOYLE, Wendy"	Australian Labor Party	VIC
"BRADFORD, John"	Christian Democratic Party (Fred Nile Group)	QLD
"BRADLEY, Thomas Joseph"	National Party	QLD
"BROADBRIDGE, Philip"		NSW
"BROWN, Pat"		SA
"BUCKLEY, Ben"	Pauline Hanson's One Nation	VIC
"BUCKLEY, Ray"	One Australia	QLD
"BULLMORE, Eric"	Australian Bill of Rights Group	VIC
"BURSTON, Brian"	Pauline Hanson's One Nation	NSW
"BUTLER, Debbie"	Australian Democrats	TAS
"BUTLER, Robert H"	Citizens Electoral Council	NSW

"CAMPBELL, Ian Gordon"	Liberal	WA
"CAREY, Michael John"	Unity	WA
"CARMAN, Marina"	Democratic Socialists	NSW
"CARR, Kim"	Australian Labor Party	VIC
"CARTWRIGHT, Michael"	Pauline Hanson's One Nation	TAS
"CEROLINI, Vivien"	Unity - Say No To Hanson	VIC
"CHERRY, John Clifford"	Australian Democrats	QLD
"CHRISTIAN, Lesley Anne"	The Greens	ACT
"CLARKE, Charmaine"	The Greens	VIC
"CLEMENTS, Peter"	Australian Democrats	NT
"CLIFFORD, Margot"	Australian Democrats	WA
"COBB, Teresa M."	National Party	QLD
"COLLENETTE, Peter"	Liberal	TAS
"COLLINS, Glenys"	Citizens Electoral Council	NSW
"COLLINS, Jacinta"	Australian Labor Party	VIC
"COLSTON, David Andrew"	Queensland First	QLD
"COLSTON, Dawn Patricia"	Queensland First	QLD
"CONOR, Liz"	The Greens	VIC
"CONROY, Stephen"	Australian Labor Party	VIC
"CONWAY, Peter Michael"	Australian Labor Party (ALP)	ACT
"COOK, Ken"	Christian Democratic Party (Fred Nile Group)	VIC
"COOK, Peter"	Australian Labor Party	WA
"COPE, Bill"	Unity - Say No To Hanson	VIC
"COSGROVE, Lindsay David"	Citizens Electoral Council	NSW
"CRABBE, Stephen G"	Australian Democrats	WA
"CREA, Pat"	D.L.P. - Democratic Labor Party	VIC
"CROSSIN, Trish"	Australian Labor Party (ALP)	NT
"CROSSLEY, Louise"	The Greens	TAS

"D'CRUZ, Cathryn"	Natural Law Party	WA
"DALTON, Kenny"	Independent	QLD
"DARE, Rena"	Republican Party of Australia	TAS
"DAVIES, Kayt"	The Greens (WA)	WA
"DAVIS, Peter"	Australia First Party	SA
"DE LEO, Joy"	Liberal	SA
"DE MARCHI, Dino"	Liberal Party of Australia	VIC
"DENBOROUGH, Michael"	Nuclear Disarmament Party of Australia	NSW
"DENMAN, Kay"	Australian Labor Party	TAS
"DIVJAK, Carol"	Socialist Equality Party	NSW
"DIXON-THOMPSON, Robin"	National Party	SA
"DOWNEY, Jim"	Australian Democrats	VIC
"DRAKE, Tony"	Citizens Electoral Council	WA
"DRANE, Ted"	Australian Reform Party	VIC
"DRUMMOND, Michelle"	The Greens	SA
"DUKE, Klaus"	Australia First Party	QLD

"EAMES, Graham"	Australian Shooters Party	VIC
"EDGAR, Andrew"	Independent	ACT
"EDWARDS, Susanne J"	Australian Women's Party	ACT
"EDWARDS, Victor"	Australian Democrats	NT
"ELLERY, Sue"	Australian Labor Party	WA
"ELLISON, Christopher"	Liberal	WA
"EMANUEL, Kamala"	Democratic Socialists	TAS
"ERIKSEN, Erik"		SA
"EVANS, Barry John"	Pauline Hanson's One Nation	QLD
"EVANS, Chris"	Australian Labor Party	WA

"FARLEY, Rick"	Australian Democrats	ACT
"FAULKNER, John"	Australian Labor Party	NSW
"FELEPPA, Pompeo"	Citizens Electoral Council	SA
"FERGUSON, Alan"	Liberal	SA
"FIERRAVANTI-WELLS, Concetta"	Liberal	NSW
"FINNEY, Rick"	Taxi Operators Political Service (Oceania)	WA
"FISCHER, John"	Pauline Hanson's One Nation	WA
"FLEMING, Terry"	Australian Reform Party	QLD
"FONG, Harry"	Unity - Say No To Hanson	QLD
"FOO, Chilip"	Australian Labor Party	WA
"FORBES, Graeme"	Australian Shooters Party	VIC
"FORSHAW, Michael"	Australian Labor Party	NSW
"FOSKEY, Deb"	The Greens	ACT
