Senate -  1998 Election: Australian Capital Territory																																		
First Preference Votes by Group																																		
By Polling Place																																		


Canberra (105359)																																		

	   		Group Total ACS			Group Total HAN			Group Total AWP			Group Total LP			Group Total DEM			Group Total ALP			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bonython		                                   	10	0.62	 	96	5.99	 	8	0.5	 	491	30.63	 	219	13.66	 	745	46.48	 	24	1.5	 	10	0.62	 	1603	98.52	 	24	1.48	 	1627	1.61
Calwell		                                    	13	0.54	 	124	5.2	 	8	0.34	 	786	32.94	 	345	14.46	 	1061	44.47	 	35	1.47	 	14	0.59	 	2386	97.35	 	65	2.65	 	2451	2.42
Canberra Hospital		                          	6	0.77	 	35	4.51	 	9	1.16	 	247	31.83	 	120	15.46	 	328	42.27	 	27	3.48	 	4	0.52	 	776	98.23	 	14	1.77	 	790	0.78
Chapman		                                    	4	0.2	 	63	3.1	 	6	0.29	 	801	39.36	 	418	20.54	 	689	33.86	 	48	2.36	 	6	0.29	 	2035	98.59	 	29	1.41	 	2064	2.04
Chifley		                                    	5	0.4	 	67	5.31	 	2	0.16	 	382	30.29	 	216	17.13	 	539	42.74	 	43	3.41	 	7	0.56	 	1261	97.98	 	26	2.02	 	1287	1.27
Chisholm		                                   	7	0.41	 	96	5.66	 	4	0.24	 	538	31.72	 	241	14.21	 	779	45.93	 	26	1.53	 	5	0.29	 	1696	98.03	 	34	1.97	 	1730	1.71
Conder		                                     	15	0.65	 	136	5.89	 	11	0.48	 	703	30.43	 	277	11.99	 	1108	47.97	 	46	1.99	 	14	0.61	 	2310	98.42	 	37	1.58	 	2347	2.32
Curtin		                                     	6	0.22	 	126	4.72	 	7	0.26	 	857	32.11	 	566	21.21	 	1013	37.95	 	83	3.11	 	11	0.41	 	2669	98.27	 	47	1.73	 	2716	2.68
Deakin		                                     	3	0.25	 	32	2.62	 	2	0.16	 	593	48.57	 	260	21.29	 	301	24.65	 	26	2.13	 	4	0.33	 	1221	98.47	 	19	1.53	 	1240	1.22
Duffy		                                      	3	0.17	 	93	5.26	 	8	0.45	 	521	29.49	 	318	18	 	742	41.99	 	72	4.07	 	10	0.57	 	1767	97.68	 	42	2.32	 	1809	1.79
Fadden		                                     	13	0.69	 	68	3.6	 	7	0.37	 	787	41.68	 	342	18.11	 	631	33.42	 	25	1.32	 	15	0.79	 	1888	98.9	 	21	1.1	 	1909	1.88
Farrer		                                     	6	0.24	 	95	3.88	 	5	0.2	 	963	39.29	 	459	18.73	 	867	35.37	 	44	1.8	 	12	0.49	 	2451	97.77	 	56	2.23	 	2507	2.47
