Senate - 1998 Election														
First Preference Votes by Group														
By Vote Type by State														

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.														
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’														


National														
Enrolment 12154050														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	18	15	1248351	13.61	107589	14.1	9222	8.21	91539	13.41	72029	14.89	1528730	13.63
NP	7	1	170816	1.86	12903	1.69	938	0.84	8852	1.3	15027	3.11	208536	1.86
LNP	10	0	1971701	21.5	171417	22.47	20640	18.38	168347	24.67	120302	24.88	2452407	21.87
CLP	2	1	30177	0.33	0	0	666	0.59	3769	0.55	1451	0.3	36063	0.32
ALP	27	17	3469571	37.83	263870	34.58	52754	46.99	237919	34.86	158849	32.85	4182963	37.31
DEM	25	4	776528	8.47	71273	9.34	6456	5.75	57470	8.42	36213	7.49	947940	8.45
GRN	18	0	187654	2.05	25097	3.29	3911	3.48	18774	2.75	8729	1.81	244165	2.18
HAN	23	1	824664	8.99	65710	8.61	10033	8.94	59731	8.75	47301	9.78	1007439	8.99
ACS	10	0	12193	0.13	1259	0.17	297	0.26	915	0.13	612	0.13	15276	0.14
CDP	16	0	95451	1.04	10073	1.32	973	0.87	8363	1.23	6733	1.39	121593	1.08
DLP	2	0	24529	0.27	2053	0.27	496	0.44	1817	0.27	998	0.21	29893	0.27
FCP	2	0	2443	0.03	238	0.03	61	0.05	192	0.03	160	0.03	3094	0.03
GWA	3	0	49727	0.54	6345	0.83	778	0.69	2865	0.42	1348	0.28	61063	0.54
HAR	1	1	21087	0.23	1102	0.14	22	0.02	811	0.12	1232	0.25	24254	0.22
RAR	2	0	5679	0.06	881	0.12	171	0.15	666	0.1	622	0.13	8019	0.07
UNI	18	0	77486	0.84	5621	0.74	1485	1.32	6339	0.93	3037	0.63	93968	0.84
Other	145	0	202585	2.21	17543	2.3	3371	3	14059	2.06	8942	1.85	246500	2.2
FORMAL			9170642	96.4	762974	98.21	112274	96.66	682428	98.56	483585	98.96	11211903	96.76
INFORMAL			342658	3.6	13885	1.79	3884	3.34	9949	1.44	5086	1.04	375462	3.24
TOTAL			9513300	82.1	776859	6.7	116158	1	692377	5.98	488671	4.22	11587365	95.34


New South Wales														
Enrolment 4076081														

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LNP	4	3	1081351	36.15	110065	37.77	12114	26.32	104448	39.46	67585	41.54	1375563	36.63
ALP	4	3	1176295	39.33	105333	36.15	22585	49.07	93478	35.32	54869	33.72	1452560	38.68
DEM	4	0	216661	7.24	24883	8.54	2263	4.92	19731	7.46	12372	7.6	275910	7.35
GRN	4	0	60409	2.02	9705	3.33	1570	3.41	6927	2.62	3001	1.84	81612	2.17
HAN	3	0	289283	9.67	25498	8.75	4294	9.33	25527	9.64	16407	10.08	361009	9.61
