Senate - 1998 Election						
First Preference Votes by Candidate						
By State						

New South Wales						
Enrolment 4076081						
State Quota 536533						

Candidates			Party	Votes	%	Quota
A		TICKET VOTES	FST	27630	0.74	0.05
		"SHEN, Victor"	FST	1895	0.05	0
		"WILLSON, Greg"	FST	135	0	0
		Group Total	FST	29660	0.79	0.06
B		TICKET VOTES	NAN	4314	0.11	0.01
		"NASH, Chris"	NAN	636	0.02	0
		"WADDELL, Jane"	NAN	85	0	0
		Group Total	NAN	5035	0.13	0.01
C		TICKET VOTES	NDP	5886	0.16	0.01
		"DENBOROUGH, Michael"	NDP	519	0.01	0
		"FRANCIS, Yvonne"	NDP	84	0	0
		Group Total	NDP	6489	0.17	0.01
D		TICKET VOTES		1273	0.03	0
		"GALLAGHER, Mick"		397	0.01	0
		"MAWSON, John A"		20	0	0
		Group Total		1690	0.04	0
E		TICKET VOTES	NLP	4246	0.11	0.01
		"NOLAN, Richard"	NLP	318	0.01	0
		"SEYMOUR, Bev"	NLP	38	0	0
		Group Total	NLP	4602	0.12	0.01
F		TICKET VOTES	ACS	5209	0.14	0.01
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	561	0.01	0
		"MEZINEC, Richard"	ACS	40	0	0
		Group Total	ACS	5810	0.15	0.01
G		TICKET VOTES		4778	0.13	0.01
		"LEES, Malcolm"		937	0.02	0
		"RANKIN, Warwick"		30	0	0
		Group Total		5745	0.15	0.01
H		TICKET VOTES	ALP	1424387	37.93	2.65
	#	"HUTCHINS, Steve"	ALP	21844	0.58	0.04
	#	"FAULKNER, John"	ALP	2914	0.08	0.01
	#	"FORSHAW, Michael"	ALP	864	0.02	0
		"STEPHENS, Ursula"	ALP	2551	0.07	0
		Group Total	ALP	1452560	38.68	2.71
I		TICKET VOTES	CEC	4227	0.11	0.01
		"BUTLER, Robert H"	CEC	139	0	0
		"COLLINS, Glenys"	CEC	17	0	0
		"COSGROVE, Lindsay David"	CEC	20	0	0
		Group Total	CEC	4403	0.12	0.01
J		TICKET VOTES		2570	0.07	0
		"MOULDFIELD, David"		76	0	0
		"HANDSOME HANDPUPPET, Paul-Ian"		140	0	0
		Group Total		2786	0.07	0.01
K		TICKET VOTES	HAN	339863	9.05	0.63
		"OLDFIELD, David"	HAN	19791	0.53	0.04
		"BURSTON, Brian"	HAN	570	0.02	0
		"O'REGAN, Bevan"	HAN	785	0.02	0
		Group Total	HAN	361009	9.61	0.67
L		TICKET VOTES	LNP	1349778	35.94	2.52
	#	"HEFFERNAN, Bill"	LP	21800	0.58	0.04
	#	"TIERNEY, John"	LP	1441	0.04	0
		"MACDONALD, Sandy"	NP	1689	0.04	0
		"FIERRAVANTI-WELLS, Concetta"	LP	855	0.02	0
		Group Total	LNP	1375563	36.63	2.56
M		TICKET VOTES	DEM	241539	6.43	0.45
	#	"RIDGEWAY, Aden"	DEM	30942	0.82	0.06
		"BAIRD, Matthew"	DEM	457	0.01	0
		"REDDY, Suzanne"	DEM	2163	0.06	0
		"MENDELSSOHN, David"	DEM	809	0.02	0
		Group Total	DEM	275910	7.35	0.51
N		TICKET VOTES	DSL	7563	0.2	0.01
		"CARMAN, Marina"	DSL	618	0.02	0
		"BOYLE, Peter"	DSL	40	0	0
		Group Total	DSL	8221	0.22	0.02
O		TICKET VOTES	RAR	7498	0.2	0.01
		"SMITH, Rodney"	RARI	494	0.01	0
		"WOODGER, Edwin"	RARI	27	0	0
		Group Total	RAR	8019	0.21	0.01
P		TICKET VOTES		646	0.02	0
		"POULOS, Patricia"		51	0	0
		"HOLLEY, John"		11	0	0
		Group Total		708	0.02	0
Q		TICKET VOTES	SEP	1639	0.04	0
		"BEAMS, Nick"	SEP	155	0	0
		"DIVJAK, Carol"	SEP	14	0	0
		Group Total	SEP	1808	0.05	0
R		TICKET VOTES		388	0.01	0
		"SCHOLLBACH, Robert F"		17	0	0
		"STIRLING, Amanda Jane"		10	0	0
		Group Total		415	0.01	0
S		TICKET VOTES		489	0.01	0
		"MELVILLE, Graeme"		246	0.01	0
		"BROADBRIDGE, Philip"		73	0	0
		Group Total		808	0.02	0
T		TICKET VOTES	CDP	50681	1.35	0.09
		"McLENNAN, Graham Clarke"	CDP	7017	0.19	0.01
		"PETERSON, Janne"	CDP	148	0	0
		"ALLANSON, Tom"	CDP	71	0	0
		"MORGAN, Rex L"	CDP	45	0	0
		"McLENNAN, Michael Stewart"	CDP	117	0	0
		Group Total	CDP	58079	1.55	0.11
U		TICKET VOTES	GRN	70552	1.88	0.13
		"SUTTON, John"	GRN	9521	0.25	0.02
		"MOORE, Catherine"	GRN	748	0.02	0
		"RHIANNON, Lee"	GRN	249	0.01	0
		"RUSSELL, Susie"	GRN	542	0.01	0
		Group Total	GRN	81612	2.17	0.15
V		TICKET VOTES		57855	1.54	0.11
		"LI, Jason Yat-Sen"	UNI	3545	0.09	0.01
		"STOCKREITER, Sonja"	UNI	66	0	0
		"McGUID, Sam"	UNI	9	0	0
		"GINGES, Kieran Daniel"	UNI	65	0	0
		"HASSAPIS, Nicholas Victor"	UNI	67	0	0
		Group Total		61607	1.64	0.11
UNGROUPED						
		"YAGLIPINAR, Mehmet"	IND	256	0.01	0
		"SARKS, Paul Anthony"	IND	165	0	0
		"VAUGHAN, Adrian"	IND	72	0	0
		"PANTSDOWN, Pauline"	IND	2295	0.06	0
