Senate - 1998 Election																																					
Nomination Numbers by Gender																																					
																																					
		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
ABR					2																												2		0		2
ACS	2				1				2				2								2				2								11		0		11
ALP	3		1		2		2		1		2		3		3		3				2		1		1		1		1		1		16		11		27
ARP					2				1		1																						3		1		4
ASP					4								2																				6		0		6
AWP							2				2												2				2						0		8		8
CDP	4		1		2				2		1		2				2				1		1		1								14		3		17
CEC	2		1		2				2				1		1		2																9		2		11
CLP																													1		1		1		1		2
DEM	3		1		3		1		2		1		2		1		2		2		2		1		2				2				18		7		25
DLP					2																												2		0		2
DSL	1		1				2		1		1		1		1				2		1		1										4		8		12
FLR					1				1		1																						2		1		3
FST	2				2				2								2																8		0		8
GRN	1		3		1		2		2		1						1		1		1		1				2		2				8		10		18
GWA															3																		0		3		3
HAN	3				1		1		3		2		3				2		1		3				1		1		1		1		17		6		23
HAR																					1												1		0		1
IND	8				4				4		1		1				2				2		1		2				1				24		2		26
LP	2		1		2		3		3		1		3		1		2		2		4						2						16		10		26
NAN	1		1																														1		1		2
NDP	1		1		2																												3		1		4
NLP	1		1		2		1		1		1		1		1																		5		4		9
NP	1				1				2		1		1		1		2																7		2		9
OAP									2																								2		0		2
QF									1		1																						1		1		2
RARI	2																																2		0		2
RPA													2										2										2		2		4
SEP	1		1		1		1																										2		2		4
TFP																					2		1										2		1		3
TPS													2																				2		0		2
UNI	4		1		5		3		2				2		1																		13		5		18
OTH	11		2		3				5		1		2		2		3		4														24		9		33
Sub-Total	53		16		45		18		39		18		30		15		23		12		21		11		9		8		8		3		228		101		329
TOTAL		69				63				57				45				35				32				17				11				329			329
