House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Wannon																												
				MCDONALD			PACKER			O'BRIEN			BLAIR			WITNEY			SCHMIDT			HAWKER			MORROW			
				Leigh			Amanda Elise			Robert			Gillian			Ricky			Olive			David			Richard			
				IND			DEM			IND				GRN		LEF			HAN			LP			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Allansford                                                     																												
	FIRST			9	1.20		24	3.20		17	2.27		38	5.07		8	1.07		20	2.67		434	57.87		200	26.67		750
	SECOND			8	47.06		0	0.00			Excluded		3	17.65		0	0.00		1	5.88		3	17.65		2	11.76		17
		TOTAL		17	2.27		24	3.20					41	5.47		8	1.07		21	2.80		437	58.27		202	26.93		750
	THIRD			1	12.50		1	12.50					0	0.00			Excluded		1	12.50		2	25.00		3	37.50		8
		TOTAL		18	2.40		25	3.33					41	5.47					22	2.93		439	58.53		205	27.33		750
	FOURTH				Excluded		7	38.89					6	33.33					3	16.67		2	11.11		0	0.00		18
		TOTAL					32	4.27					47	6.27					25	3.33		441	58.80		205	27.33		750
	FIFTH						6	24.00					7	28.00						Excluded		5	20.00		7	28.00		25
		TOTAL					38	5.07					54	7.20								446	59.47		212	28.27		750
	SIXTH							Excluded					24	63.16								7	18.42		7	18.42		38
		TOTAL											78	10.40								453	60.40		219	29.20		750
	SEVENTH													Excluded								27	34.62		51	65.38		78
		TOTAL																				480	64.00		270	36.00		750
																						Elected						
																												
Ararat                                                         																												
	FIRST			73	2.43		63	2.10		13	0.43		69	2.30		38	1.27		88	2.93		1154	38.44		1504	50.10		3002
	SECOND			7	53.85		2	15.38			Excluded		1	7.69		2	15.38		1	7.69		0	0.00		0	0.00		13
		TOTAL		80	2.66		65	2.17					70	2.33		40	1.33		89	2.96		1154	38.44		1504	50.10		3002
	THIRD			5	12.50		6	15.00					7	17.50			Excluded		9	22.50		6	15.00		7	17.50		40
		TOTAL		85	2.83		71	2.37					77	2.56					98	3.26		1160	38.64		1511	50.33		3002
	FOURTH				Excluded		40	47.06					13	15.29					9	10.59		8	9.41		15	17.65		85
		TOTAL					111	3.70					90	3.00					107	3.56		1168	38.91		1526	50.83		3002
	FIFTH						17	15.89					25	23.36						Excluded		36	33.64		29	27.10		107
		TOTAL					128	4.26					115	3.83								1204	40.11		1555	51.80		3002
	SIXTH							Excluded					85	66.41								12	9.38		31	24.22		128
		TOTAL											200	6.66								1216	40.51		1586	52.83		3002
	SEVENTH													Excluded								103	51.50		97	48.50		200
		TOTAL																				1319	43.94		1683	56.06		3002
																						Elected						
																												
Ararat West                                                    																												
	FIRST			22	1.32		76	4.55		9	0.54		54	3.24		12	0.72		27	1.62		729	43.68		740	44.34		1669
	SECOND			2	22.22		1	11.11			Excluded		2	22.22		2	22.22		0	0.00		1	11.11		1	11.11		9
		TOTAL		24	1.44		77	4.61					56	3.36		14	0.84		27	1.62		730	43.74		741	44.40		1669
	THIRD			1	7.14		1	7.14					4	28.57			Excluded		4	28.57		1	7.14		3	21.43		14
		TOTAL		25	1.50		78	4.67					60	3.59					31	1.86		731	43.80		744	44.58		1669
	FOURTH				Excluded		8	32.00					7	28.00					6	24.00		2	8.00		2	8.00		25
		TOTAL					86	5.15					67	4.01					37	2.22		733	43.92		746	44.70		1669
	FIFTH						12	32.43					5	13.51						Excluded		16	43.24		4	10.81		37
		TOTAL					98	5.87					72	4.31								749	44.88		750	44.94		1669
	SIXTH							Excluded					64	65.31								16	16.33		18	18.37		98
		TOTAL											136	8.15								765	45.84		768	46.02		1669
	SEVENTH													Excluded								64	47.06		72	52.94		136
		TOTAL																				829	49.67		840	50.33		1669
																						Elected						
																												
Balmoral                                                       																												
	FIRST			12	3.74		14	4.36		3	0.93		8	2.49		7	2.18		9	2.80		154	47.98		114	35.51		321
	SECOND			3	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		15	4.67		14	4.36					8	2.49		7	2.18		9	2.80		154	47.98		114	35.51		321
	THIRD			1	14.29		2	28.57					0	0.00			Excluded		0	0.00		2	28.57		2	28.57		7
		TOTAL		16	4.98		16	4.98					8	2.49					9	2.80		156	48.60		116	36.14		321
	FOURTH				Excluded		3	18.75					2	12.50					4	25.00		4	25.00		3	18.75		16
		TOTAL					19	5.92					10	3.12					13	4.05		160	49.84		119	37.07		321
	FIFTH						6	46.15					3	23.08						Excluded		3	23.08		1	7.69		13
		TOTAL					25	7.79					13	4.05								163	50.78		120	37.38		321
	SIXTH							Excluded					12	48.00								4	16.00		9	36.00		25
		TOTAL											25	7.79								167	52.02		129	40.19		321
	SEVENTH													Excluded								13	52.00		12	48.00		25
		TOTAL																				180	56.07		141	43.93		321
																						Elected						
																												
Beaufort                                                       																												
	FIRST			14	1.21		49	4.24		1	0.09		28	2.42		10	0.87		49	4.24		530	45.85		475	41.09		1156
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		14	1.21		49	4.24					29	2.51		10	0.87		49	4.24		530	45.85		475	41.09		1156
	THIRD			1	10.00		1	10.00					3	30.00			Excluded		3	30.00		2	20.00		0	0.00		10
