House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Scullin																				
				MAWHINNEY			CAMPBELL			KOSTADINOSKI			GRAY			JENKINS				
				Brian			Trudy			Lucas			Merinda			Harry				
				DEM			CEC			LP			GRN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Apollo Parkways                                                																				
	FIRST			313	9.35		19	0.57		1483	44.31		161	4.81		1371	40.96		3347	
	SECOND			6	31.58			Excluded		5	26.32		6	31.58		2	10.53		19	
		TOTAL		319	9.53					1488	44.46		167	4.99		1373	41.02		3347	
	THIRD			103	61.68					27	16.17			Excluded		37	22.16		167	
		TOTAL		422	12.61					1515	45.26					1410	42.13		3347	
	FOURTH				Excluded					145	34.36					277	65.64		422	
		TOTAL								1660	49.60					1687	50.40		3347	
																Elected				
																				
Blossom Park                                                   																				
	FIRST			118	4.73		10	0.40		728	29.19		51	2.04		1587	63.63		2494	
	SECOND			4	40.00			Excluded		2	20.00		3	30.00		1	10.00		10	
		TOTAL		122	4.89					730	29.27		54	2.17		1588	63.67		2494	
	THIRD			24	44.44					8	14.81			Excluded		22	40.74		54	
		TOTAL		146	5.85					738	29.59					1610	64.55		2494	
	FOURTH				Excluded					57	39.04					89	60.96		146	
		TOTAL								795	31.88					1699	68.12		2494	
																Elected				
																				
Epping                                                         																				
	FIRST			183	6.01		30	0.99		851	27.96		67	2.20		1913	62.84		3044	
	SECOND			14	46.67			Excluded		7	23.33		4	13.33		5	16.67		30	
		TOTAL		197	6.47					858	28.19		71	2.33		1918	63.01		3044	
	THIRD			37	52.11					12	16.90			Excluded		22	30.99		71	
		TOTAL		234	7.69					870	28.58					1940	63.73		3044	
	FOURTH				Excluded					109	46.58					125	53.42		234	
		TOTAL								979	32.16					2065	67.84		3044	
																Elected				
																				
Epping East                                                    																				
	FIRST			195	6.77		31	1.08		769	26.70		56	1.94		1829	63.51		2880	
	SECOND			11	35.48			Excluded		10	32.26		8	25.81		2	6.45		31	
		TOTAL		206	7.15					779	27.05		64	2.22		1831	63.58		2880	
	THIRD			29	45.31					11	17.19			Excluded		24	37.50		64	
		TOTAL		235	8.16					790	27.43					1855	64.41		2880	
	FOURTH				Excluded					87	37.02					148	62.98		235	
		TOTAL								877	30.45					2003	69.55		2880	
																Elected				
																				
Epping South                                                   																				
	FIRST			138	5.25		22	0.84		496	18.87		60	2.28		1912	72.75		2628	
	SECOND			9	40.91			Excluded		7	31.82		2	9.09		4	18.18		22	
		TOTAL		147	5.59					503	19.14		62	2.36		1916	72.91		2628	
	THIRD			28	45.16					15	24.19			Excluded		19	30.65		62	
		TOTAL		175	6.66					518	19.71					1935	73.63		2628	
	FOURTH				Excluded					92	52.57					83	47.43		175	
		TOTAL								610	23.21					2018	76.79		2628	
																Elected				
																				
Findon                                                         																				
	FIRST			225	6.93		18	0.55		801	24.68		61	1.88		2140	65.95		3245	
	SECOND			6	33.33			Excluded		4	22.22		3	16.67		5	27.78		18	
		TOTAL		231	7.12					805	24.81		64	1.97		2145	66.10		3245	
	THIRD			33	51.56					5	7.81			Excluded		26	40.63		64	
		TOTAL		264	8.14					810	24.96					2171	66.90		3245	
	FOURTH				Excluded					102	38.64					162	61.36		264	
		TOTAL								912	28.10					2333	71.90		3245	
																Elected				
																				
Greenhills                                                     																				
	FIRST			149	6.60		17	0.75		1079	47.76		185	8.19		829	36.70		2259	
	SECOND			6	35.29			Excluded		1	5.88		5	29.41		5	29.41		17	
		TOTAL		155	6.86					1080	47.81		190	8.41		834	36.92		2259	
	THIRD			129	67.89					23	12.11			Excluded		38	20.00		190	
		TOTAL		284	12.57					1103	48.83					872	38.60		2259	
	FOURTH				Excluded					85	29.93					199	70.07		284	
		TOTAL								1188	52.59					1071	47.41		2259	
																Elected				
																				
Greensborough                                                  																				
	FIRST			82	6.82		4	0.33		502	41.76		58	4.83		556	46.26		1202	
	SECOND			2	50.00			Excluded		1	25.00		1	25.00		0	0.00		4	
		TOTAL		84	6.99					503	41.85		59	4.91		556	46.26		1202	
	THIRD			35	59.32					4	6.78			Excluded		20	33.90		59	
		TOTAL		119	9.90					507	42.18					576	47.92		1202	
	FOURTH				Excluded					54	45.38					65	54.62		119	
		TOTAL								561	46.67					641	53.33		1202	
																Elected				
																				
Greensborough East                                             																				
	FIRST			64	5.60		5	0.44		609	53.33		33	2.89		431	37.74		1142	
	SECOND			1	20.00			Excluded		1	20.00		3	60.00		0	0.00		5	
		TOTAL		65	5.69					610	53.42		36	3.15		431	37.74		1142	
	THIRD			22	61.11					6	16.67			Excluded		8	22.22		36	
		TOTAL		87	7.62					616	53.94					439	38.44		1142	
	FOURTH				Excluded					35	40.23					52	59.77		87	
		TOTAL								651	57.01					491	42.99		1142	
																Elected				
																				
Grimshaw                                                       																				
	FIRST			112	5.25		12	0.56		823	38.58		63	2.95		1123	52.65		2133	
	SECOND			4	33.33			Excluded		3	25.00		3	25.00		2	16.67		12	
		TOTAL		116	5.44					826	38.72		66	3.09		1125	52.74		2133	
	THIRD			38	57.58					13	19.70			Excluded		15	22.73		66	
		TOTAL		154	7.22					839	39.33					1140	53.45		2133	
	FOURTH				Excluded					69	44.81					85	55.19		154	
		TOTAL								908	42.57					1225	57.43		2133	
																Elected				
																				
Keelbundoora                                                   																				
	FIRST			22	5.18		4	0.94		130	30.59		9	2.12		260	61.18		425	
	SECOND			1	25.00			Excluded		2	50.00		1	25.00		0	0.00		4	
		TOTAL		23	5.41					132	31.06		10	2.35		260	61.18		425	
	THIRD			5	50.00					2	20.00			Excluded		3	30.00		10	
		TOTAL		28	6.59					134	31.53					263	61.88		425	
	FOURTH				Excluded					10	35.71					18	64.29		28	
		TOTAL								144	33.88					281	66.12		425	
																Elected				
																				
Lalor                                                          																				
	FIRST			131	5.88		24	1.08		368	16.53		49	2.20		1654	74.30		2226	
	SECOND			14	58.33			Excluded		5	20.83		2	8.33		3	12.50		24	
		TOTAL		145	6.51					373	16.76		51	2.29		1657	74.44		2226	
	THIRD			25	49.02					3	5.88			Excluded		23	45.10		51	
		TOTAL		170	7.64					376	16.89					1680	75.47		2226	
	FOURTH				Excluded					67	39.41					103	60.59		170	
		TOTAL								443	19.90					1783	80.10		2226	
																Elected				
																				
Lalor East                                                     																				
	FIRST			273	7.76		25	0.71		583	16.58		66	1.88		2570	73.07		3517	
	SECOND			12	48.00			Excluded		4	16.00		8	32.00		1	4.00		25	
		TOTAL		285	8.10					587	16.69		74	2.10		2571	73.10		3517	
	THIRD			31	41.89					17	22.97			Excluded		26	35.14		74	
		TOTAL		316	8.98					604	17.17					2597	73.84		3517	
	FOURTH				Excluded					128	40.51					188	59.49		316	
		TOTAL								732	20.81					2785	79.19		3517	
																Elected				
																				
Lalor North                                                    																				
	FIRST			97	5.17		14	0.75		247	13.16		31	1.65		1488	79.28		1877	
	SECOND			7	50.00			Excluded		1	7.14		6	42.86		0	0.00		14	
		TOTAL		104	5.54					248	13.21		37	1.97		1488	79.28		1877	
	THIRD			20	54.05					8	21.62			Excluded		9	24.32		37	
		TOTAL		124	6.61					256	13.64					1497	79.75		1877	
	FOURTH				Excluded					57	45.97					67	54.03		124	
		TOTAL								313	16.68					1564	83.32		1877	
																Elected				
																				
Lalor Park                                                     																				
	FIRST			144	6.39		13	0.58		355	15.75		41	1.82		1701	75.47		2254	
	SECOND			3	23.08			Excluded		5	38.46		5	38.46		0	0.00		13	
		TOTAL		147	6.52					360	15.97		46	2.04		1701	75.47		2254	
	THIRD			20	43.48					7	15.22			Excluded		19	41.30		46	
		TOTAL		167	7.41					367	16.28					1720	76.31		2254	
	FOURTH				Excluded					72	43.11					95	56.89		167	
		TOTAL								439	19.48					1815	80.52		2254	
																Elected				
																				
Lalor South                                                    																				
	FIRST			108	5.16		12	0.57		266	12.70		31	1.48		1678	80.10		2095	
	SECOND			6	50.00			Excluded		2	16.67		3	25.00		1	8.33		12	
		TOTAL		114	5.44					268	12.79		34	1.62		1679	80.14		2095	
	THIRD			16	47.06					5	14.71			Excluded		13	38.24		34	
		TOTAL		130	6.21					273	13.03					1692	80.76		2095	
	FOURTH				Excluded					62	47.69					68	52.31		130	
		TOTAL								335	15.99					1760	84.01		2095	
																Elected				
																				
Lalor West                                                     																				
	FIRST			81	3.69		14	0.64		375	17.08		58	2.64		1668	75.96		2196	
	SECOND			3	21.43			Excluded		3	21.43		5	35.71		3	21.43		14	
		TOTAL		84	3.83					378	17.21		63	2.87		1671	76.09		2196	
	THIRD			35	55.56					7	11.11			Excluded		21	33.33		63	
		TOTAL		119	5.42					385	17.53					1692	77.05		2196	
	FOURTH				Excluded					54	45.38					65	54.62		119	
		TOTAL								439	19.99					1757	80.01		2196	
																Elected				
																				
Meadowglen                                                     																				
	FIRST			113	5.21		12	0.55		565	26.06		52	2.40		1426	65.77		2168	
	SECOND			2	16.67			Excluded		5	41.67		5	41.67		0	0.00		12	
		TOTAL		115	5.30					570	26.29		57	2.63		1426	65.77		2168	
	THIRD			25	43.86					14	24.56			Excluded		18	31.58		57	
		TOTAL		140	6.46					584	26.94					1444	66.61		2168	
	FOURTH				Excluded					59	42.14					81	57.86		140	
		TOTAL								643	29.66					1525	70.34		2168	
																Elected				
																				
Melbourne (Scullin)                                            																				
	FIRST			10	13.70		1	1.37		20	27.40		2	2.74		40	54.79		73	
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		10	13.70					21	28.77		2	2.74		40	54.79		73	
	THIRD			1	50.00					0	0.00			Excluded		1	50.00		2	
		TOTAL		11	15.07					21	28.77					41	56.16		73	
	FOURTH				Excluded					5	45.45					6	54.55		11	
		TOTAL								26	35.62					47	64.38		73	
																Elected				
																				
Mill Park                                                      																				
	FIRST			152	5.79		8	0.30		765	29.14		54	2.06		1646	62.70		2625	
	SECOND			3	37.50			Excluded		2	25.00		3	37.50		0	0.00		8	
		TOTAL		155	5.90					767	29.22		57	2.17		1646	62.70		2625	
	THIRD			31	54.39					10	17.54			Excluded		16	28.07		57	
		TOTAL		186	7.09					777	29.60					1662	63.31		2625	
	FOURTH				Excluded					76	40.86					110	59.14		186	
		TOTAL								853	32.50					1772	67.50		2625	
																Elected				
																				
Mill Park Heights                                              																				
	FIRST			241	7.63		13	0.41		753	23.85		78	2.47		2072	65.63		3157	
	SECOND			5	38.46			Excluded		3	23.08		2	15.38		3	23.08		13	
		TOTAL		246	7.79					756	23.95		80	2.53		2075	65.73		3157	
	THIRD			52	65.00					6	7.50			Excluded		22	27.50		80	
		TOTAL		298	9.44					762	24.14					2097	66.42		3157	
	FOURTH				Excluded					104	34.90					194	65.10		298	
		TOTAL								866	27.43					2291	72.57		3157	
																Elected				
																				
Norris Bank                                                    																				
	FIRST			257	7.28		14	0.40		935	26.49		72	2.04		2251	63.79		3529	
	SECOND			6	42.86			Excluded		1	7.14		5	35.71		2	14.29		14	
		TOTAL		263	7.45					936	26.52		77	2.18		2253	63.84		3529	
	THIRD			42	54.55					10	12.99			Excluded		25	32.47		77	
		TOTAL		305	8.64					946	26.81					2278	64.55		3529	
	FOURTH				Excluded					116	38.03					189	61.97		305	
		TOTAL								1062	30.09					2467	69.91		3529	
																Elected				
																				
Plenty                                                         																				
	FIRST			36	5.19		5	0.72		410	59.08		36	5.19		207	29.83		694	
	SECOND			2	40.00			Excluded		1	20.00		2	40.00		0	0.00		5	
		TOTAL		38	5.48					411	59.22		38	5.48		207	29.83		694	
	THIRD			25	65.79					3	7.89			Excluded		10	26.32		38	
		TOTAL		63	9.08					414	59.65					217	31.27		694	
	FOURTH				Excluded					27	42.86					36	57.14		63	
		TOTAL								441	63.54					253	36.46		694	
																Elected				
																				
South Morang                                                   																				
	FIRST			154	6.71		20	0.87		914	39.84		76	3.31		1130	49.26		2294	
	SECOND			5	25.00			Excluded		4	20.00		5	25.00		6	30.00		20	
		TOTAL		159	6.93					918	40.02		81	3.53		1136	49.52		2294	
	THIRD			39	48.15					19	23.46			Excluded		23	28.40		81	
		TOTAL		198	8.63					937	40.85					1159	50.52		2294	
	FOURTH				Excluded					102	51.52					96	48.48		198	
		TOTAL								1039	45.29					1255	54.71		2294	
																Elected				
																				
The Stables                                                    																				
	FIRST			312	7.32		27	0.63		1148	26.92		136	3.19		2642	61.95		4265	
	SECOND			12	44.44			Excluded		5	18.52		7	25.93		3	11.11		27	
		TOTAL		324	7.60					1153	27.03		143	3.35		2645	62.02		4265	
	THIRD			87	60.84					13	9.09			Excluded		43	30.07		143	
		TOTAL		411	9.64					1166	27.34					2688	63.02		4265	
