House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Holt																							
				MORGAN			WOOD			PATRINOS			FORD			BYRNE			DICKSON				
				Polly			Jason			Theos			Gordon W			Anthony			Lynne				
				DEM			LP			GRN						ALP			CTA				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Chandler                                                       																							
	FIRST			103	4.51		635	27.79		45	1.97		27	1.18		1465	64.11		10	0.44		2285	
	SECOND			3	11.11		1	3.70		13	48.15			Excluded		9	33.33		1	3.70		27	
		TOTAL		106	4.64		636	27.83		58	2.54					1474	64.51		11	0.48		2285	
	THIRD			4	36.36		0	0.00		4	36.36					3	27.27			Excluded		11	
		TOTAL		110	4.81		636	27.83		62	2.71					1477	64.64					2285	
	FOURTH			24	38.71		12	19.35			Excluded					26	41.94					62	
		TOTAL		134	5.86		648	28.36								1503	65.78					2285	
	FIFTH				Excluded		67	50.00								67	50.00					134	
		TOTAL					715	31.29								1570	68.71					2285	
																Elected							
																							
Cleeland                                                       																							
	FIRST			118	4.79		637	25.86		101	4.10		25	1.02		1532	62.20		50	2.03		2463	
	SECOND			3	12.00		5	20.00		10	40.00			Excluded		7	28.00		0	0.00		25	
		TOTAL		121	4.91		642	26.07		111	4.51					1539	62.48		50	2.03		2463	
	THIRD			10	20.00		21	42.00		5	10.00					14	28.00			Excluded		50	
		TOTAL		131	5.32		663	26.92		116	4.71					1553	63.05					2463	
	FOURTH			28	24.14		20	17.24			Excluded					68	58.62					116	
		TOTAL		159	6.46		683	27.73								1621	65.81					2463	
	FIFTH				Excluded		78	49.06								81	50.94					159	
		TOTAL					761	30.90								1702	69.10					2463	
																Elected							
																							
Coomoora                                                       																							
	FIRST			217	5.38		1053	26.10		73	1.81		38	0.94		2631	65.22		22	0.55		4034	
	SECOND			8	21.05		5	13.16		14	36.84			Excluded		9	23.68		2	5.26		38	
		TOTAL		225	5.58		1058	26.23		87	2.16					2640	65.44		24	0.59		4034	
	THIRD			7	29.17		11	45.83		2	8.33					4	16.67			Excluded		24	
		TOTAL		232	5.75		1069	26.50		89	2.21					2644	65.54					4034	
	FOURTH			47	52.81		21	23.60			Excluded					21	23.60					89	
		TOTAL		279	6.92		1090	27.02								2665	66.06					4034	
	FIFTH				Excluded		116	41.58								163	58.42					279	
		TOTAL					1206	29.90								2828	70.10					4034	
																Elected							
																							
Coral Park                                                     																							
	FIRST			186	5.90		906	28.73		71	2.25		41	1.30		1903	60.34		47	1.49		3154	
	SECOND			7	17.07		2	4.88		26	63.41			Excluded		5	12.20		1	2.44		41	
		TOTAL		193	6.12		908	28.79		97	3.08					1908	60.49		48	1.52		3154	
	THIRD			10	20.83		15	31.25		5	10.42					18	37.50			Excluded		48	
		TOTAL		203	6.44		923	29.26		102	3.23					1926	61.07					3154	
	FOURTH			58	56.86		19	18.63			Excluded					25	24.51					102	
		TOTAL		261	8.28		942	29.87								1951	61.86					3154	
	FIFTH				Excluded		107	41.00								154	59.00					261	
		TOTAL					1049	33.26								2105	66.74					3154	
																Elected							
																							
Dandenong                                                      																							
	FIRST			95	4.75		660	32.97		61	3.05		36	1.80		1115	55.69		35	1.75		2002	
	SECOND			4	11.11		3	8.33		23	63.89			Excluded		2	5.56		4	11.11		36	
		TOTAL		99	4.95		663	33.12		84	4.20					1117	55.79		39	1.95		2002	
	THIRD			8	20.51		18	46.15		5	12.82					8	20.51			Excluded		39	
		TOTAL		107	5.34		681	34.02		89	4.45					1125	56.19					2002	
	FOURTH			41	46.07		19	21.35			Excluded					29	32.58					89	
		TOTAL		148	7.39		700	34.97								1154	57.64					2002	
	FIFTH				Excluded		60	40.54								88	59.46					148	
		TOTAL					760	37.96								1242	62.04					2002	
																Elected							
																							
Dandenong South                                                																							
	FIRST			91	4.93		303	16.40		27	1.46		33	1.79		1375	74.45		18	0.97		1847	
	SECOND			0	0.00		5	15.15		24	72.73			Excluded		3	9.09		1	3.03		33	
		TOTAL		91	4.93		308	16.68		51	2.76					1378	74.61		19	1.03		1847	
	THIRD			8	42.11		6	31.58		3	15.79					2	10.53			Excluded		19	
		TOTAL		99	5.36		314	17.00		54	2.92					1380	74.72					1847	
	FOURTH			32	59.26		11	20.37			Excluded					11	20.37					54	
		TOTAL		131	7.09		325	17.60								1391	75.31					1847	
	FIFTH				Excluded		72	54.96								59	45.04					131	
		TOTAL					397	21.49								1450	78.51					1847	
																Elected							
																							
Dandenong West (Holt)                                          																							
	FIRST			75	6.58		281	24.65		37	3.25		21	1.84		700	61.40		26	2.28		1140	
	SECOND			3	14.29		1	4.76		11	52.38			Excluded		6	28.57		0	0.00		21	
		TOTAL		78	6.84		282	24.74		48	4.21					706	61.93		26	2.28		1140	
	THIRD			2	7.69		13	50.00		4	15.38					7	26.92			Excluded		26	
		TOTAL		80	7.02		295	25.88		52	4.56					713	62.54					1140	
	FOURTH			32	61.54		5	9.62			Excluded					15	28.85					52	
		TOTAL		112	9.82		300	26.32								728	63.86					1140	
	FIFTH				Excluded		44	39.29								68	60.71					112	
		TOTAL					344	30.18								796	69.82					1140	
																Elected							
																							
Douglas                                                        																							
	FIRST			51	6.42		172	21.66		29	3.65		7	0.88		529	66.62		6	0.76		794	
	SECOND			1	14.29		0	0.00		2	28.57			Excluded		1	14.29		3	42.86		7	
		TOTAL		52	6.55		172	21.66		31	3.90					530	66.75		9	1.13		794	
	THIRD			3	33.33		1	11.11		2	22.22					3	33.33			Excluded		9	
		TOTAL		55	6.93		173	21.79		33	4.16					533	67.13					794	
	FOURTH			15	45.45		4	12.12			Excluded					14	42.42					33	
		TOTAL		70	8.82		177	22.29								547	68.89					794	
	FIFTH				Excluded		34	48.57								36	51.43					70	
		TOTAL					211	26.57								583	73.43					794	
																Elected							
																							
Doveton                                                        																							
	FIRST			136	6.61		522	25.38		48	2.33		39	1.90		1261	61.30		51	2.48		2057	
	SECOND			1	2.56		1	2.56		28	71.79			Excluded		8	20.51		1	2.56		39	
		TOTAL		137	6.66		523	25.43		76	3.69					1269	61.69		52	2.53		2057	
	THIRD			9	17.31		18	34.62		10	19.23					15	28.85			Excluded		52	
		TOTAL		146	7.10		541	26.30		86	4.18					1284	62.42					2057	
	FOURTH			53	61.63		16	18.60			Excluded					17	19.77					86	
		TOTAL		199	9.67		557	27.08								1301	63.25					2057	
	FIFTH				Excluded		92	46.23								107	53.77					199	
		TOTAL					649	31.55								1408	68.45					2057	
																Elected							
																							
Doveton North                                                  																							
	FIRST			89	6.11		310	21.29		32	2.20		28	1.92		963	66.14		34	2.34		1456	
	SECOND			3	10.71		5	17.86		16	57.14			Excluded		3	10.71		1	3.57		28	
		TOTAL		92	6.32		315	21.63		48	3.30					966	66.35		35	2.40		1456	
	THIRD			6	17.14		14	40.00		6	17.14					9	25.71			Excluded		35	
		TOTAL		98	6.73		329	22.60		54	3.71					975	66.96					1456	
	FOURTH			34	62.96		5	9.26			Excluded					15	27.78					54	
		TOTAL		132	9.07		334	22.94								990	67.99					1456	
	FIFTH				Excluded		41	31.06								91	68.94					132	
		TOTAL					375	25.76								1081	74.24					1456	
																Elected							
																							
Doveton West                                                   																							
	FIRST			62	5.03		294	23.86		24	1.95		29	2.35		787	63.88		36	2.92		1232	
	SECOND			2	6.90		1	3.45		18	62.07			Excluded		4	13.79		4	13.79		29	
		TOTAL		64	5.19		295	23.94		42	3.41					791	64.20		40	3.25		1232	
	THIRD			8	20.00		13	32.50		7	17.50					12	30.00			Excluded		40	
		TOTAL		72	5.84		308	25.00		49	3.98					803	65.18					1232	
	FOURTH			31	63.27		6	12.24			Excluded					12	24.49					49	
		TOTAL		103	8.36		314	25.49								815	66.15					1232	
	FIFTH				Excluded		46	44.66								57	55.34					103	
		TOTAL					360	29.22								872	70.78					1232	
																Elected							
																							
Endeavour Hills                                                																							
	FIRST			212	6.54		1084	33.43		90	2.78		28	0.86		1768	54.52		61	1.88		3243	
