House of Representatives - 2001 Election: Victoria																																
Distribution of Preferences																																
By Polling Place																																
Indi																																
				ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			PANOPOULOS			MCINTOSH				
				Pat			Barbara			Lyn			Robert			Philip John			Michael			Don			Sophie			Nelson				
							ALP			HAN			DEM			CTA			GRN			NP			LP			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Arcadia                                                        																																
	FIRST			2	1.50		23	17.29		10	7.52		3	2.26		0	0.00		1	0.75		24	18.05		69	51.88		1	0.75		133	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.50		23	17.29		10	7.52		3	2.26					1	0.75		24	18.05		69	51.88		1	0.75		133	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					25	18.80		10	7.52		3	2.26					1	0.75		24	18.05		69	51.88		1	0.75		133	
	FOURTH						1	33.33		1	33.33			Excluded					0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL					26	19.55		11	8.27								1	0.75		25	18.80		69	51.88		1	0.75		133	
	FIFTH						2	18.18			Excluded								0	0.00		3	27.27		4	36.36		2	18.18		11	
		TOTAL					28	21.05											1	0.75		28	21.05		73	54.89		3	2.26		133	
	SIXTH						1	100.00												Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL					29	21.80														28	21.05		73	54.89		3	2.26		133	
	SEVENTH						2	66.67														1	33.33		0	0.00			Excluded		3	
		TOTAL					31	23.31														29	21.80		73	54.89					133	
	EIGHTH						3	10.34															Excluded		26	89.66					29	
		TOTAL					34	25.56																	99	74.44					133	
																									Elected							
																																
Baddaginnie                                                    																																
	FIRST			0	0.00		69	30.26		6	2.63		5	2.19		0	0.00		5	2.19		52	22.81		84	36.84		7	3.07		228	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		69	30.26		6	2.63		5	2.19					5	2.19		52	22.81		84	36.84		7	3.07		228	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					69	30.26		6	2.63		5	2.19					5	2.19		52	22.81		84	36.84		7	3.07		228	
	FOURTH						3	60.00		1	20.00			Excluded					0	0.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL					72	31.58		7	3.07								5	2.19		52	22.81		84	36.84		8	3.51		228	
	FIFTH						1	14.29			Excluded								0	0.00		2	28.57		2	28.57		2	28.57		7	
		TOTAL					73	32.02											5	2.19		54	23.68		86	37.72		10	4.39		228	
	SIXTH						3	60.00												Excluded		2	40.00		0	0.00		0	0.00		5	
		TOTAL					76	33.33														56	24.56		86	37.72		10	4.39		228	
	SEVENTH						4	40.00														4	40.00		2	20.00			Excluded		10	
		TOTAL					80	35.09														60	26.32		88	38.60					228	
	EIGHTH						13	21.67															Excluded		47	78.33					60	
		TOTAL					93	40.79																	135	59.21					228	
																									Elected							
																																
Baranduda                                                      																																
	FIRST			1	0.17		123	20.57		21	3.51		22	3.68		4	0.67		24	4.01		51	8.53		287	47.99		65	10.87		598	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	50.00		0	0.00		2	50.00		4	
		TOTAL		1	0.17		123	20.57		21	3.51		22	3.68					24	4.01		53	8.86		287	47.99		67	11.20		598	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					123	20.57		21	3.51		22	3.68					24	4.01		53	8.86		287	47.99		68	11.37		598	
	FOURTH						8	36.36		0	0.00			Excluded					9	40.91		1	4.55		4	18.18		0	0.00		22	
		TOTAL					131	21.91		21	3.51								33	5.52		54	9.03		291	48.66		68	11.37		598	
	FIFTH						4	19.05			Excluded								1	4.76		0	0.00		4	19.05		12	57.14		21	
		TOTAL					135	22.58											34	5.69		54	9.03		295	49.33		80	13.38		598	
	SIXTH						22	64.71												Excluded		2	5.88		0	0.00		10	29.41		34	
		TOTAL					157	26.25														56	9.36		295	49.33		90	15.05		598	
	SEVENTH						15	16.67														43	47.78		32	35.56			Excluded		90	
		TOTAL					172	28.76														99	16.56		327	54.68					598	
	EIGHTH						22	22.22															Excluded		77	77.78					99	
		TOTAL					194	32.44																	404	67.56					598	
																									Elected							
																																
Barnawartha                                                    																																
	FIRST			2	0.32		128	20.22		40	6.32		16	2.53		11	1.74		19	3.00		105	16.59		222	35.07		90	14.22		633	
	SECOND			0	0.00		1	9.09		1	9.09		0	0.00			Excluded		0	0.00		4	36.36		1	9.09		4	36.36		11	
		TOTAL		2	0.32		129	20.38		41	6.48		16	2.53					19	3.00		109	17.22		223	35.23		94	14.85		633	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					130	20.54		41	6.48		16	2.53					19	3.00		109	17.22		223	35.23		95	15.01		633	
	FOURTH						4	25.00		0	0.00			Excluded					9	56.25		1	6.25		1	6.25		1	6.25		16	
		TOTAL					134	21.17		41	6.48								28	4.42		110	17.38		224	35.39		96	15.17		633	
	FIFTH						9	21.95			Excluded								5	12.20		8	19.51		8	19.51		11	26.83		41	
		TOTAL					143	22.59											33	5.21		118	18.64		232	36.65		107	16.90		633	
	SIXTH						19	57.58												Excluded		2	6.06		2	6.06		10	30.30		33	
		TOTAL					162	25.59														120	18.96		234	36.97		117	18.48		633	
	SEVENTH						26	22.22														64	54.70		27	23.08			Excluded		117	
		TOTAL					188	29.70														184	29.07		261	41.23					633	
	EIGHTH						27	14.67															Excluded		157	85.33					184	
		TOTAL					215	33.97																	418	66.03					633	
																									Elected							
																																
Beechworth                                                     																																
	FIRST			16	0.86		634	34.23		82	4.43		103	5.56		21	1.13		148	7.99		198	10.69		488	26.35		162	8.75		1852	
	SECOND			0	0.00		4	19.05		1	4.76		1	4.76			Excluded		0	0.00		2	9.52		1	4.76		12	57.14		21	
		TOTAL		16	0.86		638	34.45		83	4.48		104	5.62					148	7.99		200	10.80		489	26.40		174	9.40		1852	
	THIRD				Excluded		10	62.50		1	6.25		0	0.00					0	0.00		2	12.50		1	6.25		2	12.50		16	
		TOTAL					648	34.99		84	4.54		104	5.62					148	7.99		202	10.91		490	26.46		176	9.50		1852	
	FOURTH						16	15.38		2	1.92			Excluded					67	64.42		6	5.77		5	4.81		8	7.69		104	
		TOTAL					664	35.85		86	4.64								215	11.61		208	11.23		495	26.73		184	9.94		1852	
	FIFTH						14	16.28			Excluded								5	5.81		4	4.65		16	18.60		47	54.65		86	
		TOTAL					678	36.61											220	11.88		212	11.45		511	27.59		231	12.47		1852	
	SIXTH						128	58.18												Excluded		14	6.36		12	5.45		66	30.00		220	
		TOTAL					806	43.52														226	12.20		523	28.24		297	16.04		1852	
	SEVENTH						97	32.66														134	45.12		66	22.22			Excluded		297	
		TOTAL					903	48.76														360	19.44		589	31.80					1852	
	EIGHTH						99	27.50															Excluded		261	72.50					360	
		TOTAL					1002	54.10																	850	45.90					1852	
																									Elected							
																																
Benalla                                                        																																
	FIRST			45	1.56		899	31.19		108	3.75		102	3.54		24	0.83		111	3.85		251	8.71		1280	44.41		62	2.15		2882	
	SECOND			1	4.17		3	12.50		1	4.17		4	16.67			Excluded		0	0.00		3	12.50		8	33.33		4	16.67		24	
		TOTAL		46	1.60		902	31.30		109	3.78		106	3.68					111	3.85		254	8.81		1288	44.69		66	2.29		2882	
	THIRD				Excluded		17	36.96		8	17.39		3	6.52					4	8.70		3	6.52		5	10.87		6	13.04		46	
		TOTAL					919	31.89		117	4.06		109	3.78					115	3.99		257	8.92		1293	44.86		72	2.50		2882	
	FOURTH						18	16.51		11	10.09			Excluded					56	51.38		8	7.34		7	6.42		9	8.26		109	
		TOTAL					937	32.51		128	4.44								171	5.93		265	9.20		1300	45.11		81	2.81		2882	
	FIFTH						38	29.69			Excluded								13	10.16		15	11.72		22	17.19		40	31.25		128	
		TOTAL					975	33.83											184	6.38		280	9.72		1322	45.87		121	4.20		2882	
