House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Corio																												
				MENHEERE-THOMPSON			O'CONNOR			GOODEN			MALESIC			HILL			TIRKOT			FAIRBROTHER			JOHNSON			
				Erica			Gavan			Tim			Steve			Gareth			Herbert Georg			Cheryl			Catherine			
				DEM			ALP						LP			CEC			HAN						GRN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Aberdeen                                                       																												
	FIRST			100	8.14		323	26.30		5	0.41		680	55.37		2	0.16		15	1.22		3	0.24		100	8.14		1228
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		100	8.14		323	26.30		5	0.41		682	55.54					15	1.22		3	0.24		100	8.14		1228
	THIRD			0	0.00		0	0.00		2	66.67		1	33.33					0	0.00			Excluded		0	0.00		3
		TOTAL		100	8.14		323	26.30		7	0.57		683	55.62					15	1.22					100	8.14		1228
	FOURTH			0	0.00		2	28.57			Excluded		1	14.29					0	0.00					4	57.14		7
		TOTAL		100	8.14		325	26.47					684	55.70					15	1.22					104	8.47		1228
	FIFTH			0	0.00		4	26.67					5	33.33						Excluded					6	40.00		15
		TOTAL		100	8.14		329	26.79					689	56.11											110	8.96		1228
	SIXTH			60	54.55		24	21.82					26	23.64												Excluded		110
		TOTAL		160	13.03		353	28.75					715	58.22														1228
	SEVENTH				Excluded		114	71.25					46	28.75														160
		TOTAL					467	38.03					761	61.97														1228
							Elected																					
																												
Anakie                                                         																												
	FIRST			19	4.27		132	29.66		3	0.67		238	53.48		2	0.45		17	3.82		2	0.45		32	7.19		445
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		0	0.00		0	0.00		2
		TOTAL		19	4.27		132	29.66		3	0.67		238	53.48					19	4.27		2	0.45		32	7.19		445
	THIRD			0	0.00		0	0.00		1	50.00		0	0.00					0	0.00			Excluded		1	50.00		2
		TOTAL		19	4.27		132	29.66		4	0.90		238	53.48					19	4.27					33	7.42		445
	FOURTH			0	0.00		0	0.00			Excluded		1	25.00					2	50.00					1	25.00		4
		TOTAL		19	4.27		132	29.66					239	53.71					21	4.72					34	7.64		445
	FIFTH			3	14.29		5	23.81					5	23.81						Excluded					8	38.10		21
		TOTAL		22	4.94		137	30.79					244	54.83											42	9.44		445
	SIXTH			18	42.86		14	33.33					10	23.81												Excluded		42
		TOTAL		40	8.99		151	33.93					254	57.08														445
	SEVENTH				Excluded		23	57.50					17	42.50														40
		TOTAL					174	39.10					271	60.90														445
							Elected																					
																												
Barwon                                                         																												
	FIRST			84	8.35		422	41.95		9	0.89		408	40.56		0	0.00		7	0.70		4	0.40		72	7.16		1006
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		84	8.35		422	41.95		9	0.89		408	40.56					7	0.70		4	0.40		72	7.16		1006
	THIRD			0	0.00		2	50.00		0	0.00		0	0.00					0	0.00			Excluded		2	50.00		4
		TOTAL		84	8.35		424	42.15		9	0.89		408	40.56					7	0.70					74	7.36		1006
	FOURTH			1	11.11		0	0.00			Excluded		2	22.22					2	22.22					4	44.44		9
		TOTAL		85	8.45		424	42.15					410	40.76					9	0.89					78	7.75		1006
	FIFTH			2	22.22		2	22.22					3	33.33						Excluded					2	22.22		9
		TOTAL		87	8.65		426	42.35					413	41.05											80	7.95		1006
	SIXTH			46	57.50		17	21.25					17	21.25												Excluded		80
		TOTAL		133	13.22		443	44.04					430	42.74														1006
	SEVENTH				Excluded		92	69.17					41	30.83														133
		TOTAL					535	53.18					471	46.82														1006
							Elected																					
																												
Batesford                                                      																												
	FIRST			19	10.61		69	38.55		0	0.00		74	41.34		0	0.00		7	3.91		1	0.56		9	5.03		179
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		19	10.61		69	38.55		0	0.00		74	41.34					7	3.91		1	0.56		9	5.03		179
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded		1	100.00		1
		TOTAL		19	10.61		69	38.55		0	0.00		74	41.34					7	3.91					10	5.59		179
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0
		TOTAL		19	10.61		69	38.55					74	41.34					7	3.91					10	5.59		179
	FIFTH			1	14.29		1	14.29					4	57.14						Excluded					1	14.29		7
		TOTAL		20	11.17		70	39.11					78	43.58											11	6.15		179
	SIXTH			4	36.36		4	36.36					3	27.27												Excluded		11
		TOTAL		24	13.41		74	41.34					81	45.25														179
	SEVENTH				Excluded		18	75.00					6	25.00														24
		TOTAL					92	51.40					87	48.60														179
							Elected																					
																												
Bell Park                                                      																												
	FIRST			318	8.09		1955	49.75		49	1.25		1386	35.27		13	0.33		81	2.06		27	0.69		101	2.57		3930
	SECOND			2	15.38		1	7.69		1	7.69		3	23.08			Excluded		4	30.77		2	15.38		0	0.00		13
		TOTAL		320	8.14		1956	49.77		50	1.27		1389	35.34					85	2.16		29	0.74		101	2.57		3930
	THIRD			6	20.69		2	6.90		3	10.34		7	24.14					4	13.79			Excluded		7	24.14		29
		TOTAL		326	8.30		1958	49.82		53	1.35		1396	35.52					89	2.26					108	2.75		3930
	FOURTH			11	20.75		10	18.87			Excluded		1	1.89					3	5.66					28	52.83		53
		TOTAL		337	8.58		1968	50.08					1397	35.55					92	2.34					136	3.46		3930
	FIFTH			9	9.78		18	19.57					42	45.65						Excluded					23	25.00		92
		TOTAL		346	8.80		1986	50.53					1439	36.62											159	4.05		3930
	SIXTH			68	42.77		59	37.11					32	20.13												Excluded		159
		TOTAL		414	10.53		2045	52.04					1471	37.43														3930
	SEVENTH				Excluded		297	71.74					117	28.26														414
		TOTAL					2342	59.59					1588	40.41														3930
							Elected																					
																												
Breakwater                                                     																												
	FIRST			26	4.28		355	58.48		1	0.16		188	30.97		2	0.33		10	1.65		1	0.16		24	3.95		607
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		26	4.28		356	58.65		1	0.16		188	30.97					10	1.65		1	0.16		25	4.12		607
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded		1	100.00		1
		TOTAL		26	4.28		356	58.65		1	0.16		188	30.97					10	1.65					26	4.28		607
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					1	100.00		1
		TOTAL		26	4.28		356	58.65					188	30.97					10	1.65					27	4.45		607
	FIFTH			2	20.00		5	50.00					2	20.00						Excluded					1	10.00		10
		TOTAL		28	4.61		361	59.47					190	31.30											28	4.61		607
	SIXTH			16	57.14		8	28.57					4	14.29												Excluded		28
		TOTAL		44	7.25		369	60.79					194	31.96														607
	SEVENTH				Excluded		37	84.09					7	15.91														44
		TOTAL					406	66.89					201	33.11														607
							Elected																					
																												
Britannia                                                      																												
	FIRST			69	5.39		678	52.97		6	0.47		434	33.91		7	0.55		12	0.94		4	0.31		70	5.47		1280
	SECOND			0	0.00		1	14.29		0	0.00		4	57.14			Excluded		1	14.29		0	0.00		1	14.29		7
		TOTAL		69	5.39		679	53.05		6	0.47		438	34.22					13	1.02		4	0.31		71	5.55		1280
	THIRD			0	0.00		1	25.00		0	0.00		1	25.00					0	0.00			Excluded		2	50.00		4
		TOTAL		69	5.39		680	53.13		6	0.47		439	34.30					13	1.02					73	5.70		1280
	FOURTH			1	16.67		2	33.33			Excluded		1	16.67					0	0.00					2	33.33		6
		TOTAL		70	5.47		682	53.28					440	34.38					13	1.02					75	5.86		1280
	FIFTH			1	7.69		4	30.77					5	38.46						Excluded					3	23.08		13
		TOTAL		71	5.55		686	53.59					445	34.77											78	6.09		1280
	SIXTH			45	57.69		24	30.77					9	11.54												Excluded		78
		TOTAL		116	9.06		710	55.47					454	35.47														1280
	SEVENTH				Excluded		85	73.28					31	26.72														116
		TOTAL					795	62.11					485	37.89														1280
							Elected																					
																												
Chilwell                                                       																												
	FIRST			242	9.21		935	35.58		4	0.15		1195	45.47		8	0.30		22	0.84		6	0.23		216	8.22		2628
	SECOND			0	0.00		3	37.50		1	12.50		2	25.00			Excluded		0	0.00		1	12.50		1	12.50		8
		TOTAL		242	9.21		938	35.69		5	0.19		1197	45.55					22	0.84		7	0.27		217	8.26		2628
	THIRD			0	0.00		1	14.29		2	28.57		2	28.57					1	14.29			Excluded		1	14.29		7
		TOTAL		242	9.21		939	35.73		7	0.27		1199	45.62					23	0.88					218	8.30		2628
	FOURTH			1	14.29		2	28.57			Excluded		1	14.29					2	28.57					1	14.29		7
		TOTAL		243	9.25		941	35.81					1200	45.66					25	0.95					219	8.33		2628
	FIFTH			2	8.00		2	8.00					10	40.00						Excluded					11	44.00		25
		TOTAL		245	9.32		943	35.88					1210	46.04											230	8.75		2628
	SIXTH			121	52.61		68	29.57					41	17.83												Excluded		230
		TOTAL		366	13.93		1011	38.47					1251	47.60														2628
	SEVENTH				Excluded		241	65.85					125	34.15														366
		TOTAL					1252	47.64					1376	52.36														2628
							Elected																					
																												
Clifton Springs                                                																												
	FIRST			191	6.25		1265	41.39		15	0.49		1369	44.80		1	0.03		73	2.39		12	0.39		130	4.25		3056
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		191	6.25		1265	41.39		15	0.49		1370	44.83					73	2.39		12	0.39		130	4.25		3056
	THIRD			2	16.67		2	16.67		4	33.33		0	0.00					0	0.00			Excluded		4	33.33		12
		TOTAL		193	6.32		1267	41.46		19	0.62		1370	44.83					73	2.39					134	4.38		3056
	FOURTH			2	10.53		5	26.32			Excluded		4	21.05					4	21.05					4	21.05		19
		TOTAL		195	6.38		1272	41.62					1374	44.96					77	2.52					138	4.52		3056
	FIFTH			18	23.38		20	25.97					23	29.87						Excluded					16	20.78		77
		TOTAL		213	6.97		1292	42.28					1397	45.71											154	5.04		3056
	SIXTH			75	48.70		51	33.12					28	18.18												Excluded		154
		TOTAL		288	9.42		1343	43.95					1425	46.63														3056
	SEVENTH				Excluded		198	68.75					90	31.25														288
		TOTAL					1541	50.43					1515	49.57														3056
							Elected																					
																												
Corio                                                          																												
	FIRST			162	4.39		2464	66.78		76	2.06		765	20.73		1	0.03		61	1.65		59	1.60		102	2.76		3690
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		162	4.39		2464	66.78		76	2.06		765	20.73					61	1.65		60	1.63		102	2.76		3690
	THIRD			6	10.00		8	13.33		1	1.67		28	46.67					4	6.67			Excluded		13	21.67		60
		TOTAL		168	4.55		2472	66.99		77	2.09		793	21.49					65	1.76					115	3.12		3690
	FOURTH			6	7.79		14	18.18			Excluded		5	6.49					3	3.90					49	63.64		77
		TOTAL		174	4.72		2486	67.37					798	21.63					68	1.84					164	4.44		3690
	FIFTH			10	14.71		18	26.47					19	27.94						Excluded					21	30.88		68
		TOTAL		184	4.99		2504	67.86					817	22.14											185	5.01		3690
	SIXTH			53	28.65		103	55.68					29	15.68												Excluded		185
		TOTAL		237	6.42		2607	70.65					846	22.93														3690
	SEVENTH				Excluded		165	69.62					72	30.38														237
		TOTAL					2772	75.12					918	24.88														3690
							Elected																					
																												
Corio Central                                                  																												
	FIRST			152	5.04		2017	66.90		25	0.83		659	21.86		6	0.20		62	2.06		42	1.39		52	1.72		3015
	SECOND			1	16.67		0	0.00		1	16.67		2	33.33			Excluded		1	16.67		0	0.00		1	16.67		6
		TOTAL		153	5.07		2017	66.90		26	0.86		661	21.92					63	2.09		42	1.39		53	1.76		3015
	THIRD			2	4.76		1	2.38		1	2.38		31	73.81					3	7.14			Excluded		4	9.52		42
		TOTAL		155	5.14		2018	66.93		27	0.90		692	22.95					66	2.19					57	1.89		3015
	FOURTH			3	11.11		4	14.81			Excluded		5	18.52					1	3.70					14	51.85		27
		TOTAL		158	5.24		2022	67.06					697	23.12					67	2.22					71	2.35		3015
	FIFTH			16	23.88		23	34.33					19	28.36						Excluded					9	13.43		67
		TOTAL		174	5.77		2045	67.83					716	23.75											80	2.65		3015
	SIXTH			31	38.75		33	41.25					16	20.00												Excluded		80
		TOTAL		205	6.80		2078	68.92					732	24.28														3015
	SEVENTH				Excluded		157	76.59					48	23.41														205
		TOTAL					2235	74.13					780	25.87														3015
							Elected																					
																												
Corio West                                                     																												
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
