House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Maribyrnong (83750)																																
	KOZLOWSKI			BECKWITH			BARCLAY			# SERCOMBE			WILLIAMS			FORMAL			INFORMAL			TOTAL										
	Andre			Jules			Grahame			Bob			Charles											Two Candidate Preferred								
	CEC			GRN			LP			ALP			DEM												 BARCLAY LP			# SERCOMBE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aberfeldie	9	0.53		113	6.65		700	41.18		773	45.47		105	6.18		1700	96.48		62	3.52		1762	2.10		754	44.35		946	55.65			
Airport West	34	1.54		55	2.49		615	27.82		1431	64.72		76	3.44		2211	94.01		141	5.99		2352	2.81		682	30.85		1529	69.15			
Albanvale	70	2.36		67	2.26		588	19.86		2122	71.66		114	3.85		2961	93.55		204	6.45		3165	3.78		696	23.51		2265	76.49			
Albion North	92	3.81		77	3.19		434	17.96		1686	69.76		128	5.30		2417	94.05		153	5.95		2570	3.07		573	23.71		1844	76.29			
Avondale Heights	44	1.82		91	3.77		574	23.77		1593	65.96		113	4.68		2415	94.67		136	5.33		2551	3.05		664	27.49		1751	72.51			
Avondale Heights Central	79	2.29		108	3.13		1044	30.23		2004	58.02		219	6.34		3454	94.71		193	5.29		3647	4.35		1221	35.35		2233	64.65			
Avondale Heights North	19	1.06		49	2.73		501	27.93		1134	63.21		91	5.07		1794	95.22		90	4.78		1884	2.25		561	31.27		1233	68.73			
Buckley Park	29	1.15		136	5.38		1112	44.00		1076	42.58		174	6.89		2527	96.34		96	3.66		2623	3.13		1214	48.04		1313	51.96
Essendon (Maribyrnong)	6	1.00		44	7.32		306	50.92		216	35.94		29	4.83		601	96.01		25	3.99		626	0.75		335	55.74		266	44.26
Essendon West	13	0.60		142	6.52		997	45.80		915	42.03		110	5.05		2177	96.28		84	3.72		2261	2.70		1070	49.15		1107	50.85
Kealba	63	2.71		85	3.65		573	24.60		1419	60.93		189	8.12		2329	94.10		146	5.90		2475	2.96		716	30.74		1613	69.26
Keilor East	34	1.44		59	2.50		674	28.54		1411	59.74		184	7.79		2362	95.20		119	4.80		2481	2.96		771	32.64		1591	67.36
Keilor Heights	31	1.21		84	3.27		911	35.49		1372	53.45		169	6.58		2567	95.39		124	4.61		2691	3.21		1015	39.54		1552	60.46
Keilor Park	43	2.37		48	2.65		561	30.94		1073	59.18		88	4.85		1813	92.97		137	7.03		1950	2.33		651	35.91		1162	64.09
Keilor South	44	1.54		80	2.81		1009	35.38		1530	53.65		189	6.63		2852	95.38		138	4.62		2990	3.57		1143	40.08		1709	59.92
Kings Park	149	3.59		80	1.93		596	14.36		3085	74.32		241	5.81		4151	93.62		283	6.38		4434	5.29		813	19.59		3338	80.41
Melbourne (Maribyrnong)	2	2.70		8	10.81		18	24.32		41	55.41		5	6.76		74	92.50		6	7.50		80	0.10		21	28.38		53	71.62
Moonee Ponds Central	18	1.55		105	9.06		539	46.51		419	36.15		78	6.73		1159	96.91		37	3.09		1196	1.43		607	52.37		552	47.63
Moonee Ponds West	22	1.01		204	9.35		708	32.45		1124	51.51		124	5.68		2182	96.12		88	3.88		2270	2.71		786	36.02		1396	63.98
Niddrie	29	1.66		51	2.91		626	35.73		967	55.19		79	4.51		1752	95.06		91	4.94		1843	2.20		690	39.38		1062	60.62
Niddrie Central	40	1.45		129	4.67		1162	42.09		1251	45.31		179	6.48		2761	95.17		140	4.83		2901	3.46		1277	46.25		1484	53.75
St Albans	68	2.91		51	2.18		493	21.10		1583	67.74		142	6.08		2337	93.22		170	6.78		2507	2.99		602	25.76		1735	74.24
St Albans East	138	3.90		129	3.65		644	18.21		2400	67.87		225	6.36		3536	93.84		232	6.16		3768	4.50		843	23.84		2693	76.16
St Albans North	110	4.39		70	2.79		477	19.04		1657	66.15		191	7.62		2505	92.40		206	7.60		2711	3.24		634	25.31		1871	74.69			
St Albans South	83	3.61		43	1.87		400	17.40		1589	69.12		184	8.00		2299	93.88		150	6.12		2449	2.92		529	23.01		1770	76.99			
St Albans South East	88	3.09		77	2.70		511	17.94		1979	69.46		194	6.81		2849	93.14		210	6.86		3059	3.65		660	23.17		2189	76.83			
St Albans West	107	3.70		85	2.94		518	17.91		2039	70.48		144	4.98		2893	92.05		250	7.95		3143	3.75		671	23.19		2222	76.81			
Stevensville	45	2.74		31	1.89		303	18.46		1185	72.21		77	4.69		1641	92.97		124	7.03		1765	2.11		371	22.61		1270	77.39			
