House of Representatives - 2001 Election: Victoria																
Distribution of Preferences 																
By Polling Place																
Deakin																
				AYLIFFE			BUCKINGHAM			EVANS			BARRESI			
				Nahum			Helen			Robyn			Phil			
				DEM			ALP			GRN			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total
Antonio Park                                                   																
	FIRST			111	7.37		502	33.31		152	10.09		742	49.24		1507
	SECOND			97	63.82		42	27.63			Excluded		13	8.55		152
		TOTAL		208	13.80		544	36.10					755	50.10		1507
	THIRD				Excluded		145	69.71					63	30.29		208
		TOTAL					689	45.72					818	54.28		1507
													Elected			
																
Bedford Road                                                   																
	FIRST			168	11.09		643	42.44		76	5.02		628	41.45		1515
	SECOND			38	50.00		23	30.26			Excluded		15	19.74		76
		TOTAL		206	13.60		666	43.96					643	42.44		1515
	THIRD				Excluded		130	63.11					76	36.89		206
		TOTAL					796	52.54					719	47.46		1515
													Elected			
																
Blackburn                                                      																
	FIRST			115	8.38		451	32.85		101	7.36		706	51.42		1373
	SECOND			49	48.51		37	36.63			Excluded		15	14.85		101
		TOTAL		164	11.94		488	35.54					721	52.51		1373
	THIRD				Excluded		119	72.56					45	27.44		164
		TOTAL					607	44.21					766	55.79		1373
													Elected			
																
Blackburn Lake                                                 																
	FIRST			192	8.28		741	31.97		239	10.31		1146	49.44		2318
	SECOND			140	58.58		74	30.96			Excluded		25	10.46		239
		TOTAL		332	14.32		815	35.16					1171	50.52		2318
	THIRD				Excluded		243	73.19					89	26.81		332
		TOTAL					1058	45.64					1260	54.36		2318
													Elected			
																
Blackburn North                                                																
	FIRST			178	10.11		671	38.13		105	5.97		806	45.80		1760
	SECOND			61	58.10		29	27.62			Excluded		15	14.29		105
		TOTAL		239	13.58		700	39.77					821	46.65		1760
	THIRD				Excluded		159	66.53					80	33.47		239
		TOTAL					859	48.81					901	51.19		1760
													Elected			
																
Blackburn South                                                																
	FIRST			223	6.78		1338	40.71		220	6.69		1506	45.82		3287
	SECOND			132	60.00		67	30.45			Excluded		21	9.55		220
		TOTAL		355	10.80		1405	42.74					1527	46.46		3287
	THIRD				Excluded		232	65.35					123	34.65		355
		TOTAL					1637	49.80					1650	50.20		3287
													Elected			
																
Blackburn West                                                 																
