House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP																													
By Candidate by Polling Place																													

Casey (85278)																													
	JOYCE			# SMITH			LEACH			MCKENZIE			FORMAL			INFORMAL			TOTAL										
	Tom			Tony			Lorraine			David												Two Candidate Preferred							
	DEM			LP			GRN			ALP												# SMITH LP			 MCKENZIE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bayswater North	279	8.83		1522	48.16		142	4.49		1217	38.51		3160	97.08		95	2.92		3255	3.99		1710	54.11		1450	45.89			
Bimbadeen Heights	172	8.86		955	49.18		125	6.44		690	35.53		1942	96.62		68	3.38		2010	2.46		1078	55.51		864	44.49			
Birmingham	412	11.14		1785	48.26		340	9.19		1162	31.41		3699	95.78		163	4.22		3862	4.73		2054	55.53		1645	44.47			
Chirnside Park	217	8.31		1468	56.20		87	3.33		840	32.16		2612	95.96		110	4.04		2722	3.33		1611	61.68		1001	38.32			
Coldstream	82	6.09		768	57.02		81	6.01		416	30.88		1347	96.28		52	3.72		1399	1.71		831	61.69		516	38.31			
Croydon	83	6.59		584	46.35		89	7.06		504	40.00		1260	96.48		46	3.52		1306	1.60		640	50.79		620	49.21			
Croydon Central	245	9.08		1299	48.15		234	8.67		920	34.10		2698	96.60		95	3.40		2793	3.42		1455	53.93		1243	46.07			
Croydon East	227	7.65		1461	49.21		197	6.64		1084	36.51		2969	96.52		107	3.48		3076	3.77		1623	54.66		1346	45.34
Croydon Hills	258	7.10		2128	58.54		165	4.54		1084	29.82		3635	97.11		108	2.89		3743	4.58		2296	63.16		1339	36.84
Croydon North	222	8.70		1263	49.49		191	7.48		876	34.33		2552	96.45		94	3.55		2646	3.24		1404	55.02		1148	44.98
Croydon West	108	5.86		923	50.08		119	6.46		693	37.60		1843	97.41		49	2.59		1892	2.32		990	53.72		853	46.28
Gruyere	7	2.34		205	68.56		22	7.36		65	21.74		299	95.22		15	4.78		314	0.38		215	71.91		84	28.09
Kallista (Casey)	84	9.30		332	36.77		185	20.49		302	33.44		903	98.37		15	1.63		918	1.12		380	42.08		523	57.92
Kilsyth	244	9.67		1154	45.72		157	6.22		969	38.39		2524	95.46		120	4.54		2644	3.24		1310	51.90		1214	48.10
Kilsyth South	93	6.11		738	48.46		96	6.30		596	39.13		1523	96.21		60	3.79		1583	1.94		808	53.05		715	46.95
Lilydale	287	9.92		1466	50.66		179	6.19		962	33.24		2894	95.92		123	4.08		3017	3.70		1648	56.95		1246	43.05
Lilydale Lake	188	9.55		1093	55.54		74	3.76		613	31.15		1968	97.43		52	2.57		2020	2.47		1222	62.09		746	37.91
Lilydale North	75	10.19		353	47.96		31	4.21		277	37.64		736	95.83		32	4.17		768	0.94		394	53.53		342	46.47
Lilydale West	253	8.25		1727	56.35		148	4.83		937	30.57		3065	94.89		165	5.11		3230	3.96		1930	62.97		1135	37.03
Manchester	118	6.46		895	48.99		85	4.65		729	39.90		1827	96.31		70	3.69		1897	2.32		968	52.98		859	47.02
Melbourne (Casey)	12	22.64		26	49.06		6	11.32		9	16.98		53	100.00		0	0.00		53	0.06		34	64.15		19	35.85
Monbulk	232	10.00		1148	49.46		272	11.72		669	28.82		2321	95.91		99	4.09		2420	2.96		1315	56.66		1006	43.34
Montrose	289	8.96		1585	49.15		287	8.90		1064	32.99		3225	96.35		122	3.65		3347	4.10		1781	55.22		1444	44.78
Montrose South	108	9.42		596	52.01		99	8.64		343	29.93		1146	97.28		32	2.72		1178	1.44		677	59.08		469	40.92			
