Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Holt (88172)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Chandler		48	2.16		83	3.73		8	0.36		2	0.09		1	0.04		1	0.04		60	2.69		575	25.82		21	0.94		2	0.09		1289	57.88		4	0.18		90	4.04		1	0.04		3	0.13		35	1.57		2	0.09		2	0.09		2227	92.75		174	7.25		2401	2.86
Cleeland		52	2.20		87	3.68		15	0.63		3	0.13		2	0.08		1	0.04		40	1.69		583	24.63		6	0.25		1	0.04		1341	56.65		34	1.44		102	4.31		0	0.00		3	0.13		93	3.93		2	0.08		2	0.08		2367	89.73		271	10.27		2638	3.15
Coomoora		57	1.45		115	2.93		18	0.46		12	0.31		4	0.10		2	0.05		38	0.97		921	23.46		20	0.51		3	0.08		2422	61.71		18	0.46		221	5.63		0	0.00		1	0.03		72	1.83		0	0.00		1	0.03		3925	92.44		321	7.56		4246	5.07
Coral Park		50	1.59		90	2.87		35	1.12		3	0.10		1	0.03		2	0.06		64	2.04		864	27.55		6	0.19		2	0.06		1724	54.97		32	1.02		196	6.25		2	0.06		3	0.10		61	1.95		1	0.03		0	0.00		3136	94.74		174	5.26		3310	3.95
Dandenong		35	1.83		92	4.81		14	0.73		2	0.10		0	0.00		0	0.00		34	1.78		597	31.22		7	0.37		3	0.16		943	49.32		30	1.57		87	4.55		1	0.05		3	0.16		63	3.29		0	0.00		1	0.05		1912	89.51		224	10.49		2136	2.55
Dandenong South		27	1.56		85	4.92		14	0.81		4	0.23		0	0.00		3	0.17		22	1.27		267	15.47		8	0.46		1	0.06		1196	69.29		16	0.93		53	3.07		1	0.06		3	0.17		26	1.51		0	0.00		0	0.00		1726	85.87		284	14.13		2010	2.40
Dandenong West (Holt)		31	2.78		53	4.74		5	0.45		1	0.09		0	0.00		1	0.09		23	2.06		263	23.55		3	0.27		1	0.09		633	56.67		14	1.25		61	5.46		0	0.00		1	0.09		26	2.33		0	0.00		1	0.09		1117	90.15		122	9.85		1239	1.48
Douglas		9	1.18		43	5.64		5	0.66		2	0.26		1	0.13		0	0.00		18	2.36		139	18.22		7	0.92		0	0.00		465	60.94		2	0.26		40	5.24		1	0.13		1	0.13		28	3.67		1	0.13		1	0.13		763	91.60		70	8.40		833	0.99
Doveton		57	2.83		84	4.18		19	0.94		2	0.10		1	0.05		1	0.05		67	3.33		465	23.12		8	0.40		1	0.05		1133	56.34		30	1.49		99	4.92		1	0.05		0	0.00		43	2.14		0	0.00		0	0.00		2011	90.87		202	9.13		2213	2.64
Doveton North		27	1.87		41	2.84		9	0.62		0	0.00		2	0.14		3	0.21		25	1.73		298	20.67		5	0.35		1	0.07		870	60.33		35	2.43		92	6.38		0	0.00		1	0.07		33	2.29		0	0.00		0	0.00		1442	92.38		119	7.62		1561	1.86
Doveton West		34	2.78		47	3.85		9	0.74		1	0.08		0	0.00		0	0.00		43	3.52		260	21.28		3	0.25		3	0.25		703	57.53		30	2.45		59	4.83		1	0.08		1	0.08		28	2.29		0	0.00		0	0.00		1222	91.95		107	8.05		1329	1.59
Endeavour Hills		76	2.40		111	3.50		23	0.72		2	0.06		1	0.03		2	0.06		65	2.05		1019	32.11		13	0.41		0	0.00		1566	49.35		41	1.29		188	5.92		1	0.03		3	0.09		57	1.80		1	0.03		4	0.13		3173	93.16		233	6.84		3406	4.06
Endeavour Hills East		107	2.19		146	2.98		25	0.51		4	0.08		2	0.04		2	0.04		73	1.49		1619	33.08		20	0.41		3	0.06		2307	47.14		90	1.84		361	7.38		0	0.00		1	0.02		130	2.66		2	0.04		2	0.04		4894	93.31		351	6.69		5245	6.26
Endeavour Hills North		33	2.03		44	2.70		10	0.61		0	0.00		4	0.25		1	0.06		27	1.66		590	36.22		3	0.18		0	0.00		735	45.12		32	1.96		108	6.63		0	0.00		1	0.06		41	2.52		0	0.00		0	0.00		1629	94.49		95	5.51		1724	2.06
Fountain Gate		60	1.77		123	3.64		31	0.92		2	0.06		2	0.06		1	0.03		85	2.51		1175	34.75		4	0.12		3	0.09		1561	46.17		38	1.12		238	7.04		0	0.00		1	0.03		52	1.54		5	0.15		0	0.00		3381	92.96		256	7.04		3637	4.34
Gleneagles		91	2.46		105	2.84		22	0.60		5	0.14		3	0.08		0	0.00		56	1.52		1074	29.07		18	0.49		0	0.00		1888	51.11		75	2.03		270	7.31		0	0.00		2	0.05		82	2.22		1	0.03		2	0.05		3694	94.23		226	5.77		3920	4.68
Hallam		86	2.46		129	3.68		27	0.77		2	0.06		0	0.00		1	0.03		75	2.14		1098	31.34		15	0.43		2	0.06		1678	47.90		55	1.57		257	7.34		0	0.00		2	0.06		76	2.17		0	0.00		0	0.00		3503	92.33		291	7.67		3794	4.53
Hampton Park		56	1.85		112	3.70		34	1.12		7	0.23		2	0.07		1	0.03		66	2.18		909	29.99		14	0.46		1	0.03		1574	51.93		41	1.35		146	4.82		2	0.07		2	0.07		60	1.98		2	0.07		2	0.07		3031	94.13		189	5.87		3220	3.84
Hampton Park East		91	2.17		157	3.74		39	0.93		0	0.00		1	0.02		2	0.05		72	1.72		1190	28.35		14	0.33		2	0.05		2133	50.82		48	1.14		309	7.36		0	0.00		4	0.10		132	3.15		3	0.07		0	0.00		4197	94.46		246	5.54		4443	5.30
Keysborough		31	2.20		49	3.47		6	0.42		1	0.07		0	0.00		1	0.07		34	2.41		393	27.83		13	0.92		0	0.00		779	55.17		6	0.42		66	4.67		0	0.00		2	0.14		29	2.05		2	0.14		0	0.00		1412	93.14		104	6.86		1516	1.81
