Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Higgins (88043)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alamein		13	1.69		19	2.47		8	1.04		0	0.00		0	0.00		2	0.26		13	1.69		230	29.91		2	0.26		0	0.00		311	40.44		3	0.39		99	12.87		0	0.00		0	0.00		65	8.45		2	0.26		2	0.26		769	92.21		65	7.79		834	1.01
Armadale		27	1.47		12	0.65		19	1.03		0	0.00		0	0.00		0	0.00		14	0.76		986	53.70		7	0.38		0	0.00		392	21.35		2	0.11		205	11.17		0	0.00		1	0.05		168	9.15		1	0.05		2	0.11		1836	95.63		84	4.38		1920	2.32
Ashburton		41	1.74		24	1.02		25	1.06		3	0.13		0	0.00		1	0.04		21	0.89		991	42.03		6	0.25		0	0.00		671	28.46		6	0.25		280	11.87		1	0.04		1	0.04		285	12.09		1	0.04		1	0.04		2358	96.28		91	3.72		2449	2.96
Burwood		10	0.97		18	1.74		11	1.06		0	0.00		0	0.00		0	0.00		6	0.58		479	46.37		6	0.58		0	0.00		286	27.69		6	0.58		114	11.04		0	0.00		0	0.00		97	9.39		0	0.00		0	0.00		1033	95.56		48	4.44		1081	1.31
Burwood West		18	1.60		7	0.62		16	1.43		1	0.09		0	0.00		0	0.00		12	1.07		530	47.24		4	0.36		0	0.00		254	22.64		4	0.36		125	11.14		0	0.00		1	0.09		147	13.10		0	0.00		3	0.27		1122	94.29		68	5.71		1190	1.44
Camberwell		30	2.58		10	0.86		14	1.20		0	0.00		0	0.00		0	0.00		13	1.12		623	53.52		3	0.26		0	0.00		219	18.81		5	0.43		130	11.17		0	0.00		1	0.09		112	9.62		0	0.00		4	0.34		1164	94.17		72	5.83		1236	1.50
Camberwell Middle		23	2.01		10	0.87		13	1.13		0	0.00		0	0.00		0	0.00		10	0.87		637	55.58		3	0.26		1	0.09		252	21.99		4	0.35		106	9.25		0	0.00		1	0.09		84	7.33		0	0.00		2	0.17		1146	95.42		55	4.58		1201	1.45
Camberwell South		33	1.41		25	1.07		24	1.03		2	0.09		0	0.00		0	0.00		15	0.64		1212	51.86		15	0.64		1	0.04		475	20.33		9	0.39		261	11.17		0	0.00		1	0.04		262	11.21		1	0.04		1	0.04		2337	94.92		125	5.08		2462	2.98
Carnegie North		33	2.25		13	0.89		12	0.82		0	0.00		1	0.07		0	0.00		17	1.16		732	49.90		5	0.34		1	0.07		383	26.11		6	0.41		148	10.09		0	0.00		1	0.07		114	7.77		0	0.00		1	0.07		1467	94.52		85	5.48		1552	1.88
Carnegie Upper		33	2.57		26	2.03		17	1.33		0	0.00		0	0.00		1	0.08		15	1.17		435	33.93		3	0.23		1	0.08		457	35.65		9	0.70		175	13.65		0	0.00		1	0.08		108	8.42		1	0.08		0	0.00		1282	92.63		102	7.37		1384	1.67
Chadstone		37	1.80		33	1.60		18	0.87		0	0.00		0	0.00		0	0.00		26	1.26		837	40.65		12	0.58		0	0.00		736	35.75		11	0.53		226	10.98		0	0.00		0	0.00		120	5.83		0	0.00		3	0.15		2059	93.00		155	7.00		2214	2.68
Darling		18	1.65		5	0.46		10	0.91		1	0.09		0	0.00		0	0.00		6	0.55		705	64.44		3	0.27		0	0.00		172	15.72		1	0.09		94	8.59		0	0.00		0	0.00		79	7.22		0	0.00		0	0.00		1094	96.64		38	3.36		1132	1.37
Fawkner Park (Higgins)		23	1.42		22	1.36		13	0.80		0	0.00		1	0.06		0	0.00		4	0.25		733	45.27		6	0.37		1	0.06		367	22.67		2	0.12		217	13.40		0	0.00		1	0.06		229	14.14		0	0.00		0	0.00		1619	97.65		39	2.35		1658	2.01
Ferndale		14	1.79		6	0.77		10	1.28		0	0.00		1	0.13		0	0.00		11	1.40		433	55.30		1	0.13		0	0.00		162	20.69		1	0.13		78	9.96		0	0.00		0	0.00		65	8.30		0	0.00		1	0.13		783	96.67		27	3.33		810	0.98
Gardiner		39	1.98		28	1.42		12	0.61		1	0.05		1	0.05		0	0.00		11	0.56		945	47.97		8	0.41		1	0.05		493	25.03		2	0.10		250	12.69		0	0.00		2	0.10		173	8.78		2	0.10		2	0.10		1970	95.35		96	4.65		2066	2.50
Glen Iris		39	1.44		28	1.04		30	1.11		1	0.04		0	0.00		0	0.00		28	1.04		1408	52.11		11	0.41		2	0.07		563	20.84		5	0.19		316	11.70		0	0.00		2	0.07		268	9.92		1	0.04		0	0.00		2702	95.07		140	4.93		2842	3.44
Glen Iris South		18	1.11		17	1.05		26	1.60		0	0.00		0	0.00		2	0.12		13	0.80		761	46.80		15	0.92		0	0.00		354	21.77		2	0.12		217	13.35		0	0.00		0	0.00		201	12.36		0	0.00		0	0.00		1626	95.82		71	4.18		1697	2.05
Hartwell West		8	1.43		9	1.60		8	1.43		1	0.18		0	0.00		0	0.00		9	1.60		270	48.13		2	0.36		0	0.00		131	23.35		2	0.36		54	9.63		0	0.00		2	0.36		64	11.41		0	0.00		1	0.18		561	95.41		27	4.59		588	0.71
Hawksburn		72	2.43		34	1.15		19	0.64		0	0.00		0	0.00		0	0.00		22	0.74		1521	51.35		14	0.47		0	0.00		574	19.38		8	0.27		357	12.05		0	0.00		1	0.03		336	11.34		1	0.03		3	0.10		2962	96.01		123	3.99		3085	3.73
Hawksburn Central		21	2.01		29	2.77		12	1.15		1	0.10		1	0.10		2	0.19		11	1.05		358	34.23		5	0.48		2	0.19		438	41.87		2	0.19		84	8.03		0	0.00		1	0.10		79	7.55		0	0.00		0	0.00		1046	91.92		92	8.08		1138	1.38
