House of Representatives - 2001 Election: Victoria																
Distribution of Preferences																
By Polling Place																
Burke																
				WARD			LUTZ			DAWE			O'CONNOR			
				Marcus			Geoff			Chris			Brendan			
				GRN			DEM			LP			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total
Bacchus Marsh                                                  																
	FIRST			282	6.51		347	8.01		1890	43.64		1812	41.84		4331
	SECOND			215	61.96			Excluded		70	20.17		62	17.87		347
		TOTAL		497	11.48					1960	45.26		1874	43.27		4331
	THIRD				Excluded					205	41.25		292	58.75		497
		TOTAL								2165	49.99		2166	50.01		4331
													Elected			
																
Bolinda                                                        																
	FIRST			21	6.65		9	2.85		173	54.75		113	35.76		316
	SECOND			3	33.33			Excluded		3	33.33		3	33.33		9
		TOTAL		24	7.59					176	55.70		116	36.71		316
	THIRD				Excluded					9	37.50		15	62.50		24
		TOTAL								185	58.54		131	41.46		316
													Elected			
																
Brookside                                                      																
	FIRST			58	2.85		107	5.26		608	29.88		1262	62.01		2035
	SECOND			48	44.86			Excluded		17	15.89		42	39.25		107
		TOTAL		106	5.21					625	30.71		1304	64.08		2035
	THIRD				Excluded					37	34.91		69	65.09		106
		TOTAL								662	32.53		1373	67.47		2035
													Elected			
																
Bullengarook                                                   																
	FIRST			83	22.31		17	4.57		143	38.44		129	34.68		372
	SECOND			13	76.47			Excluded		0	0.00		4	23.53		17
		TOTAL		96	25.81					143	38.44		133	35.75		372
	THIRD				Excluded					44	45.83		52	54.17		96
		TOTAL								187	50.27		185	49.73		372
													Elected			
																
Coburn                                                         																
	FIRST			175	5.26		231	6.95		1046	31.46		1873	56.33		3325
	SECOND			118	51.08			Excluded		40	17.32		73	31.60		231
		TOTAL		293	8.81					1086	32.66		1946	58.53		3325
	THIRD				Excluded					154	52.56		139	47.44		293
		TOTAL								1240	37.29		2085	62.71		3325
													Elected			
																
Darley                                                         																
	FIRST			174	5.69		244	7.98		1152	37.68		1487	48.64		3057
	SECOND			155	63.52			Excluded		36	14.75		53	21.72		244
		TOTAL		329	10.76					1188	38.86		1540	50.38		3057
	THIRD				Excluded					137	41.64		192	58.36		329
		TOTAL								1325	43.34		1732	56.66		3057
													Elected			
																
Darraweit Guim                                                 																
	FIRST			14	8.43		19	11.45		75	45.18		58	34.94		166
	SECOND			12	63.16			Excluded		4	21.05		3	15.79		19
		TOTAL		26	15.66					79	47.59		61	36.75		166
	THIRD				Excluded					14	53.85		12	46.15		26
		TOTAL								93	56.02		73	43.98		166
													Elected			
																
Deer Park                                                      																
	FIRST			39	4.72		39	4.72		141	17.05		608	73.52		827
	SECOND			16	41.03			Excluded		8	20.51		15	38.46		39
		TOTAL		55	6.65					149	18.02		623	75.33		827
