House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Melbourne Ports (89113)																																
	CHIPP			BECK			# DANBY			KAVANAGH			MCLORINAN			FORMAL			INFORMAL			TOTAL										
	Greg			Jeremy			Michael			Jeannette			Andrew												Two Candidate Preferred							
	DEM			CEC			ALP			GRN			LP												# DANBY ALP			 MCLORINAN LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Alfred Hospital	39	10.57		1	0.27		123	33.33		29	7.86		177	47.97		369	97.11		11	2.89		380	0.47		174	47.15		195	52.85			
Argyle	81	7.69		6	0.57		542	51.42		155	14.71		270	25.62		1054	95.21		53	4.79		1107	1.35		751	71.25		303	28.75			
Bridport	167	7.09		12	0.51		1061	45.05		234	9.94		881	37.41		2355	97.76		54	2.24		2409	2.95		1377	58.47		978	41.53			
Camden	178	8.43		4	0.19		770	36.48		155	7.34		1004	47.56		2111	95.95		89	4.05		2200	2.69		1039	49.22		1072	50.78			
Caulfield	123	6.85		3	0.17		659	36.69		92	5.12		919	51.17		1796	96.15		72	3.85		1868	2.29		817	45.49		979	54.51			
Caulfield East	166	7.89		4	0.19		809	38.43		164	7.79		962	45.70		2105	95.94		89	4.06		2194	2.69		1067	50.69		1038	49.31			
Caulfield North	194	7.76		7	0.28		834	33.36		180	7.20		1285	51.40		2500	95.71		112	4.29		2612	3.20		1110	44.40		1390	55.60			
Caulfield South	137	8.49		9	0.56		586	36.31		128	7.93		754	46.72		1614	95.33		79	4.67		1693	2.07		792	49.07		822	50.93
Caulfield Upper	207	8.38		4	0.16		920	37.25		220	8.91		1119	45.30		2470	96.67		85	3.33		2555	3.13		1259	50.97		1211	49.03
Caulfield West	89	7.79		1	0.09		379	33.19		85	7.44		588	51.49		1142	97.27		32	2.73		1174	1.44		501	43.87		641	56.13
Elsternwick	345	10.86		11	0.35		1231	38.74		322	10.13		1269	39.93		3178	96.68		109	3.32		3287	4.02		1764	55.51		1414	44.49
Elsternwick North	66	6.57		1	0.10		446	44.38		104	10.35		388	38.61		1005	96.63		35	3.37		1040	1.27		579	57.61		426	42.39
Elwood	308	11.83		8	0.31		905	34.75		420	16.13		963	36.98		2604	97.13		77	2.87		2681	3.28		1506	57.83		1098	42.17
Elwood North	345	11.58		7	0.23		1140	38.27		506	16.99		981	32.93		2979	97.42		79	2.58		3058	3.74		1830	61.43		1149	38.57
Emerald Hill	210	9.40		6	0.27		858	38.39		220	9.84		941	42.10		2235	96.67		77	3.33		2312	2.83		1191	53.29		1044	46.71
Fawkner Park (Melbourne Ports)	201	8.97		11	0.49		583	26.03		248	11.07		1197	53.44		2240	97.73		52	2.27		2292	2.81		928	41.43		1312	58.57
