House of Representatives - 2001 Election: Victoria																										
Distribution of Preferences																										
By Polling Place																										
McMillan																										
				HOWELL			ROBERTS			FORBES			WALL			FARRAR			ZAHRA			HOLTMAN				
				Betty			David			Jim			David			Jenny			Christian			John F				
							NP			LP			DEM			GRN			ALP			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bona Vista                                                     																										
	FIRST			1	0.51		14	7.14		115	58.67		6	3.06		10	5.10		43	21.94		7	3.57		196	
	SECOND				Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					15	7.65		115	58.67		6	3.06		10	5.10		43	21.94		7	3.57		196	
	THIRD							Excluded		13	86.67		1	6.67		0	0.00		0	0.00		1	6.67		15	
		TOTAL								128	65.31		7	3.57		10	5.10		43	21.94		8	4.08		196	
	FOURTH									4	50.00		3	37.50		0	0.00		1	12.50			Excluded		8	
		TOTAL								132	67.35		10	5.10		10	5.10		44	22.45					196	
	FIFTH									2	20.00			Excluded		5	50.00		3	30.00					10	
		TOTAL								134	68.37					15	7.65		47	23.98					196	
	SIXTH									6	40.00						Excluded		9	60.00					15	
		TOTAL								140	71.43								56	28.57					196	
																			Elected							
																										
Boolarra                                                       																										
	FIRST			4	0.60		37	5.55		233	34.93		23	3.45		56	8.40		289	43.33		25	3.75		667	
	SECOND				Excluded		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		2	50.00		4	
		TOTAL					38	5.70		233	34.93		23	3.45		56	8.40		290	43.48		27	4.05		667	
	THIRD							Excluded		36	94.74		2	5.26		0	0.00		0	0.00		0	0.00		38	
		TOTAL								269	40.33		25	3.75		56	8.40		290	43.48		27	4.05		667	
	FOURTH									9	33.33		1	3.70		7	25.93		10	37.04			Excluded		27	
		TOTAL								278	41.68		26	3.90		63	9.45		300	44.98					667	
	FIFTH									4	15.38			Excluded		12	46.15		10	38.46					26	
		TOTAL								282	42.28					75	11.24		310	46.48					667	
	SIXTH									12	16.00						Excluded		63	84.00					75	
		TOTAL								294	44.08								373	55.92					667	
																			Elected							
																										
Buln Buln                                                      																										
	FIRST			2	0.53		23	6.10		197	52.25		16	4.24		22	5.84		101	26.79		16	4.24		377	
	SECOND				Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					24	6.37		197	52.25		16	4.24		22	5.84		101	26.79		17	4.51		377	
	THIRD							Excluded		23	95.83		0	0.00		0	0.00		1	4.17		0	0.00		24	
		TOTAL								220	58.36		16	4.24		22	5.84		102	27.06		17	4.51		377	
	FOURTH									7	41.18		5	29.41		3	17.65		2	11.76			Excluded		17	
		TOTAL								227	60.21		21	5.57		25	6.63		104	27.59					377	
	FIFTH									6	28.57			Excluded		5	23.81		10	47.62					21	
		TOTAL								233	61.80					30	7.96		114	30.24					377	
	SIXTH									6	20.00						Excluded		24	80.00					30	
		TOTAL								239	63.40								138	36.60					377	
																			Elected							
																										
Bunyip                                                         																										
	FIRST			12	0.93		22	1.71		659	51.20		51	3.96		46	3.57		451	35.04		46	3.57		1287	
	SECOND				Excluded		4	33.33		2	16.67		2	16.67		2	16.67		1	8.33		1	8.33		12	
		TOTAL					26	2.02		661	51.36		53	4.12		48	3.73		452	35.12		47	3.65		1287	
	THIRD							Excluded		22	84.62		0	0.00		1	3.85		1	3.85		2	7.69		26	
		TOTAL								683	53.07		53	4.12		49	3.81		453	35.20		49	3.81		1287	
	FOURTH									15	30.61		5	10.20		11	22.45		18	36.73			Excluded		49	
		TOTAL								698	54.23		58	4.51		60	4.66		471	36.60					1287	
	FIFTH									16	27.59			Excluded		19	32.76		23	39.66					58	
		TOTAL								714	55.48					79	6.14		494	38.38					1287	
	SIXTH									32	40.51						Excluded		47	59.49					79	
		TOTAL								746	57.96								541	42.04					1287	
																			Elected							
																										
Churchill                                                      																										
	FIRST			89	2.97		48	1.60		736	24.54		121	4.03		165	5.50		1691	56.39		149	4.97		2999	
	SECOND				Excluded		23	25.84		28	31.46		8	8.99		11	12.36		14	15.73		5	5.62		89	
