House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Flinders																									
				WILSON			DOWEY			BLADE			HUNT			FINCH			ARMSTRONG			DE RANGO			
				Earle			Kevin Joseph Peter			Ashley			Greg			Wayne			Richard			David			
				IND			HAN			IND			LP			ALP			DEM				GRN		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Balnarring                                                     																									
	FIRST			16	1.00		18	1.12		6	0.37		816	50.75		464	28.86		135	8.40		153	9.51		1608
	SECOND			5	83.33		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL		21	1.31		18	1.12					816	50.75		464	28.86		135	8.40		154	9.58		1608
	THIRD				Excluded		7	33.33					5	23.81		3	14.29		3	14.29		3	14.29		21
		TOTAL					25	1.55					821	51.06		467	29.04		138	8.58		157	9.76		1608
	FOURTH							Excluded					7	28.00		6	24.00		2	8.00		10	40.00		25
		TOTAL											828	51.49		473	29.42		140	8.71		167	10.39		1608
	FIFTH												17	12.14		29	20.71			Excluded		94	67.14		140
		TOTAL											845	52.55		502	31.22					261	16.23		1608
	SIXTH												75	28.74		186	71.26						Excluded		261
		TOTAL											920	57.21		688	42.79								1608
													Elected												
																									
Bass                                                           																									
	FIRST			5	1.67		12	4.00		3	1.00		167	55.67		80	26.67		7	2.33		26	8.67		300
	SECOND			2	66.67		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL		7	2.33		12	4.00					167	55.67		80	26.67		8	2.67		26	8.67		300
	THIRD				Excluded		1	14.29					1	14.29		2	28.57		1	14.29		2	28.57		7
		TOTAL					13	4.33					168	56.00		82	27.33		9	3.00		28	9.33		300
	FOURTH							Excluded					4	30.77		2	15.38		4	30.77		3	23.08		13
		TOTAL											172	57.33		84	28.00		13	4.33		31	10.33		300
	FIFTH												3	23.08		0	0.00			Excluded		10	76.92		13
		TOTAL											175	58.33		84	28.00					41	13.67		300
	SIXTH												9	21.95		32	78.05						Excluded		41
		TOTAL											184	61.33		116	38.67								300
													Elected												
																									
Baxter                                                         																									
