House of Representatives - 2001 Election: Victoria																			
Distribution of Preferences																			
By Polling Place																			
Chisholm																			
				CLOWES			BENNETT			BURKE			MURRAY			TANKEY			
				Ros			James			Anna			John			Howard			
				LP			DEM			ALP			NGST			GRN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Ashwood                                                        																			
	FIRST			1476	40.85		233	6.45		1612	44.62		60	1.66		232	6.42		3613
	SECOND			14	23.33		8	13.33		16	26.67			Excluded		22	36.67		60
		TOTAL		1490	41.24		241	6.67		1628	45.06					254	7.03		3613
	THIRD			29	11.42		139	54.72		86	33.86						Excluded		254
		TOTAL		1519	42.04		380	10.52		1714	47.44								3613
	FOURTH			99	26.05			Excluded		281	73.95								380
		TOTAL		1618	44.78					1995	55.22								3613
										Elected									
																			
Bennettswood                                                   																			
	FIRST			1179	42.32		136	4.88		1306	46.88		37	1.33		128	4.59		2786
	SECOND			5	13.51		5	13.51		10	27.03			Excluded		17	45.95		37
		TOTAL		1184	42.50		141	5.06		1316	47.24					145	5.20		2786
	THIRD			25	17.24		70	48.28		50	34.48						Excluded		145
		TOTAL		1209	43.40		211	7.57		1366	49.03								2786
	FOURTH			59	27.96			Excluded		152	72.04								211
		TOTAL		1268	45.51					1518	54.49								2786
										Elected									
																			
Box Hill                                                       																			
	FIRST			701	36.04		134	6.89		923	47.46		13	0.67		174	8.95		1945
	SECOND			3	23.08		3	23.08		2	15.38			Excluded		5	38.46		13
		TOTAL		704	36.20		137	7.04		925	47.56					179	9.20		1945
	THIRD			20	11.17		117	65.36		42	23.46						Excluded		179
		TOTAL		724	37.22		254	13.06		967	49.72								1945
	FOURTH			58	22.83			Excluded		196	77.17								254
		TOTAL		782	40.21					1163	59.79								1945
										Elected									
																			
Box Hill Central                                               																			
	FIRST			582	37.72		94	6.09		737	47.76		7	0.45		123	7.97		1543
	SECOND			0	0.00		1	14.29		4	57.14			Excluded		2	28.57		7
		TOTAL		582	37.72		95	6.16		741	48.02					125	8.10		1543
	THIRD			6	4.80		84	67.20		35	28.00						Excluded		125
		TOTAL		588	38.11		179	11.60		776	50.29								1543
	FOURTH			37	20.67			Excluded		142	79.33								179
		TOTAL		625	40.51					918	59.49								1543
										Elected									
																			
Box Hill North                                                 																			
	FIRST			537	40.56		83	6.27		597	45.09		8	0.60		99	7.48		1324
	SECOND			1	12.50		0	0.00		2	25.00			Excluded		5	62.50		8
		TOTAL		538	40.63		83	6.27		599	45.24					104	7.85		1324
	THIRD			9	8.65		56	53.85		39	37.50						Excluded		104
		TOTAL		547	41.31		139	10.50		638	48.19								1324
	FOURTH			27	19.42			Excluded		112	80.58								139
		TOTAL		574	43.35					750	56.65								1324
										Elected									
																			
Box Hill South                                                 																			
	FIRST			696	40.12		127	7.32		784	45.19		12	0.69		116	6.69		1735
	SECOND			4	33.33		1	8.33		2	16.67			Excluded		5	41.67		12
		TOTAL		700	40.35		128	7.38		786	45.30					121	6.97		1735
	THIRD			12	9.92		69	57.02		40	33.06						Excluded		121
		TOTAL		712	41.04		197	11.35		826	47.61								1735
	FOURTH			44	22.34			Excluded		153	77.66								197
		TOTAL		756	43.57					979	56.43								1735
										Elected									
																			
Burwood Central                                                																			
	FIRST			869	44.86		118	6.09		767	39.60		18	0.93		165	8.52		1937
	SECOND			6	33.33		2	11.11		2	11.11			Excluded		8	44.44		18
		TOTAL		875	45.17		120	6.20		769	39.70					173	8.93		1937
	THIRD			17	9.83		110	63.58		46	26.59						Excluded		173
