House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																								
By Division																																								
																																								
																																							
																																								
Aston																																								
				LEVICK			PEARCE			KENDALL			BOLAND			MITCHELL			KIR																					
				Ray			Chris			Ruth			Kieran			Doug			Mick																					
				(CTA)			(LP)			(DEM)			(ALP)			(CEC)			(GRN)																					
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																			
FIRST			1074	1.27		42973	50.78		5952	7.03		31269	36.95		290	0.34		3062	3.62		84620																			
SECOND			63	21.72		54	18.62		39	13.45		47	16.21			Excluded		87	30.00		290																			
	TOTAL		1137	1.34		43027	50.85		5991	7.08		31316	37.01					3149	3.72		84620																			
THIRD				Excluded		675	59.37		158	13.90		140	12.31					164	14.42		1137																			
	TOTAL					43702	51.65		6149	7.27		31456	37.17					3313	3.92		84620																			
FOURTH						534	16.12		1786	53.91		993	29.97						Excluded		3313																			
	TOTAL					44236	52.28		7935	9.38		32449	38.35								84620																			
FIFTH						3295	41.52			Excluded		4640	58.48								7935																			
	TOTAL					47531	56.17					37089	43.83								84620																			
							Elected																																	
																																								
Ballarat																																								
				KING			KELLY			COLLINS			CORIC			BLANCHARD																								
				Catherine			Tony			Charles			Danii			John																								
				(ALP)			(GRN)			(LP)			(DEM)			(HAN)																								
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																						
FIRST			35558	44.14		5126	6.36		34512	42.85		3300	4.10		2053	2.55		80549																						
SECOND			477	23.23		325	15.83		829	40.38		422	20.56			Excluded		2053																						
	TOTAL		36035	44.74		5451	6.77		35341	43.88		3722	4.62					80549																						
THIRD			1054	28.32		1828	49.11		840	22.57			Excluded					3722																						
	TOTAL		37089	46.05		7279	9.04		36181	44.92								80549																						
FOURTH			5382	73.94			Excluded		1897	26.06								7279																						
	TOTAL		42471	52.73					38078	47.27								80549																						
				Elected																																				
																																								
Batman																																								
				BHATHAL			FERGUSON			KNEEBONE			LYNCH			DAVIES			BARWICK																					
				Alexandra			Martin			Scott			Jackie			John			Wayne																					
				(GRN)			(ALP)			(DEM)						(LP)			(CEC)																					
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																			
FIRST			9171	11.58		46506	58.70		4954	6.25		1064	1.34		17196	21.71		329	0.42		79220																			
SECOND			71	21.58		37	11.25		37	11.25		73	22.19		111	33.74			Excluded		329																			
	TOTAL		9242	11.67		46543	58.75		4991	6.30		1137	1.44		17307	21.85					79220																			
THIRD			573	50.40		172	15.13		227	19.96			Excluded		165	14.51					1137																			
	TOTAL		9815	12.39		46715	58.97		5218	6.59					17472	22.06					79220																			
FOURTH			2892	55.42		1685	32.29			Excluded					641	12.28					5218																			
	TOTAL		12707	16.04		48400	61.10								18113	22.86					79220																			
