Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															
																																																															
Indi (85758)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Arcadia		2	1.53		1	0.76		1	0.76		0	0.00		0	0.00		0	0.00		15	11.45		87	66.41		0	0.00		0	0.00		18	13.74		0	0.00		6	4.58		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		131	92.91		10	7.09		141	0.17
Baddaginnie		3	1.28		4	1.71		5	2.14		0	0.00		0	0.00		0	0.00		9	3.85		135	57.69		0	0.00		0	0.00		60	25.64		0	0.00		11	4.70		0	0.00		1	0.43		6	2.56		0	0.00		0	0.00		234	96.30		9	3.70		243	0.30
Baranduda		16	2.64		4	0.66		7	1.15		0	0.00		0	0.00		1	0.16		25	4.12		357	58.81		3	0.49		0	0.00		116	19.11		3	0.49		47	7.74		0	0.00		0	0.00		28	4.61		0	0.00		0	0.00		607	96.81		20	3.19		627	0.76
Barnawartha		20	3.09		12	1.85		11	1.70		0	0.00		0	0.00		0	0.00		53	8.19		342	52.86		1	0.15		0	0.00		135	20.87		15	2.32		34	5.26		0	0.00		1	0.15		23	3.55		0	0.00		0	0.00		647	97.00		20	3.00		667	0.81
Beechworth		47	2.49		54	2.86		36	1.91		1	0.05		1	0.05		1	0.05		119	6.31		646	34.25		6	0.32		2	0.11		580	30.75		21	1.11		166	8.80		1	0.05		0	0.00		198	10.50		4	0.21		3	0.16		1886	94.63		107	5.37		1993	2.43
Benalla		63	2.19		62	2.16		36	1.25		3	0.10		3	0.10		0	0.00		107	3.73		1470	51.18		9	0.31		9	0.31		794	27.65		19	0.66		151	5.26		0	0.00		1	0.03		140	4.87		2	0.07		3	0.10		2872	94.60		164	5.40		3036	3.70
Benalla District Hospital		0	0.00		3	7.50		0	0.00		0	0.00		0	0.00		0	0.00		1	2.50		21	52.50		0	0.00		0	0.00		11	27.50		2	5.00		2	5.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		40	93.02		3	6.98		43	0.05
Benalla West		57	2.21		38	1.47		35	1.36		3	0.12		0	0.00		3	0.12		94	3.65		1352	52.46		7	0.27		1	0.04		737	28.60		26	1.01		138	5.36		2	0.08		2	0.08		81	3.14		1	0.04		0	0.00		2577	94.71		144	5.29		2721	3.31
Bethanga		11	2.17		5	0.99		7	1.38		0	0.00		0	0.00		0	0.00		43	8.48		287	56.61		0	0.00		0	0.00		89	17.55		5	0.99		36	7.10		0	0.00		4	0.79		20	3.94		0	0.00		0	0.00		507	96.20		20	3.80		527	0.64
Bonegilla		13	3.52		7	1.90		5	1.36		1	0.27		0	0.00		0	0.00		28	7.59		202	54.74		0	0.00		0	0.00		73	19.78		3	0.81		18	4.88		0	0.00		1	0.27		18	4.88		0	0.00		0	0.00		369	97.62		9	2.38		378	0.46
Boorhaman		7	4.58		1	0.65		4	2.61		0	0.00		1	0.65		0	0.00		10	6.54		107	69.93		0	0.00		0	0.00		13	8.50		1	0.65		6	3.92		1	0.65		0	0.00		2	1.31		0	0.00		0	0.00		153	95.63		7	4.38		160	0.19
Boosey		4	3.39		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		5	4.24		80	67.80		0	0.00		0	0.00		15	12.71		0	0.00		10	8.47		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		118	97.52		3	2.48		121	0.15
Bright		33	2.29		30	2.08		19	1.32		0	0.00		2	0.14		1	0.07		67	4.65		682	47.36		4	0.28		0	0.00		362	25.14		19	1.32		91	6.32		1	0.07		3	0.21		124	8.61		0	0.00		2	0.14		1440	93.87		94	6.13		1534	1.87
Bullioh		2	1.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	10.95		79	57.66		0	0.00		0	0.00		31	22.63		1	0.73		2	1.46		0	0.00		1	0.73		6	4.38		0	0.00		0	0.00		137	96.48		5	3.52		142	0.17
Bundalong		7	2.82		4	1.61		6	2.42		1	0.40		0	0.00		0	0.00		13	5.24		151	60.89		0	0.00		0	0.00		58	23.39		0	0.00		4	1.61		0	0.00		0	0.00		4	1.61		0	0.00		0	0.00		248	99.20		2	0.80		250	0.30
Caniambo		1	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.56		64	82.05		0	0.00		1	1.28		5	6.41		1	1.28		2	2.56		0	0.00		0	0.00		2	2.56		0	0.00		0	0.00		78	98.73		1	1.27		79	0.10
Cheshunt		3	1.84		1	0.61		1	0.61		0	0.00		0	0.00		0	0.00		9	5.52		89	54.60		0	0.00		1	0.61		47	28.83		0	0.00		6	3.68		0	0.00		0	0.00		6	3.68		0	0.00		0	0.00		163	98.19		3	1.81		166	0.20
Chiltern		23	2.53		27	2.97		11	1.21		0	0.00		1	0.11		0	0.00		69	7.59		356	39.16		5	0.55		1	0.11		308	33.88		9	0.99		61	6.71		0	0.00		1	0.11		35	3.85		1	0.11		1	0.11		909	95.38		44	4.62		953	1.16
Corryong		24	2.39		16	1.59		16	1.59		3	0.30		2	0.20		2	0.20		70	6.96		579	57.55		5	0.50		0	0.00		212	21.07		8	0.80		39	3.88		0	0.00		4	0.40		26	2.58		0	0.00		0	0.00		1006	92.89		77	7.11		1083	1.32
Cudgewa		5	2.28		5	2.28		5	2.28		0	0.00		0	0.00		0	0.00		16	7.31		146	66.67		2	0.91		0	0.00		30	13.70		4	1.83		5	2.28		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		219	95.22		11	4.78		230	0.28
