House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP																													
By Candidate by Polling Place																													

Higgins (88043)																													
	STEPHENS			GILES			MOSS			#COSTELLO			FORMAL			INFORMAL			TOTAL										
	Katie			Tania			Katie			Peter												Two Candidate Preferred							
	ALP			GRN			DEM			LP												 STEPHENS ALP			# COSTELLO LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Alamein	384	48.00		56	7.00		86	10.75		274	34.25		800	96.04		33	3.96		833	1.02		480	60.00		320	40.00			
Armadale	474	25.43		154	8.26		162	8.69		1074	57.62		1864	96.93		59	3.07		1923	2.35		686	36.80		1178	63.20			
Ashburton	792	33.15		251	10.51		222	9.29		1124	47.05		2389	97.67		57	2.33		2446	2.98		1152	48.22		1237	51.78			
Burwood	346	32.67		77	7.27		109	10.29		527	49.76		1059	97.96		22	2.04		1081	1.32		479	45.23		580	54.77			
Burwood West	337	28.88		132	11.31		95	8.14		603	51.67		1167	98.32		20	1.68		1187	1.45		507	43.44		660	56.56			
Camberwell	287	23.84		100	8.31		99	8.22		718	59.63		1204	97.81		27	2.19		1231	1.50		428	35.55		776	64.45			
Camberwell Middle	310	26.45		74	6.31		86	7.34		702	59.90		1172	97.59		29	2.41		1201	1.47		426	36.35		746	63.65			
Camberwell South	617	25.78		221	9.24		212	8.86		1343	56.12		2393	97.59		59	2.41		2452	2.99		909	37.99		1484	62.01
Carnegie North	457	30.35		110	7.30		119	7.90		820	54.45		1506	96.97		47	3.03		1553	1.89		627	41.63		879	58.37
Carnegie Upper	568	42.80		114	8.59		155	11.68		490	36.93		1327	96.09		54	3.91		1381	1.68		765	57.65		562	42.35
Chadstone	920	43.05		97	4.54		175	8.19		945	44.22		2137	96.87		69	3.13		2206	2.69		1109	51.90		1028	48.10
Darling	213	19.09		73	6.54		78	6.99		752	67.38		1116	98.50		17	1.50		1133	1.38		308	27.60		808	72.40
