House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences 																						
By Polling Place																						
Dunkley																						
				BILLSON			CARTWRIGHT			CONROY			DAVIS			KELSALL			WOODHOUSE			
				Bruce			Michael			Mark			Fletcher			Henry			Ian			
				LP			HAN			ALP			IND			GRN			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Aldercourt                                                     																						
	FIRST			445	29.55		39	2.59		877	58.23		28	1.86		42	2.79		75	4.98		1506
	SECOND			13	46.43		3	10.71		3	10.71			Excluded		7	25.00		2	7.14		28
		TOTAL		458	30.41		42	2.79		880	58.43					49	3.25		77	5.11		1506
	THIRD			11	26.19			Excluded		18	42.86					7	16.67		6	14.29		42
		TOTAL		469	31.14					898	59.63					56	3.72		83	5.51		1506
	FOURTH			11	13.25					23	27.71					49	59.04			Excluded		83
		TOTAL		480	31.87					921	61.16					105	6.97					1506
	FIFTH			45	42.86					60	57.14						Excluded					105
		TOTAL		525	34.86					981	65.14											1506
				Elected																		
																						
Baden Powell                                                   																						
	FIRST			1200	64.76		20	1.08		382	20.62		28	1.51		131	7.07		92	4.96		1853
	SECOND			11	39.29		1	3.57		5	17.86			Excluded		6	21.43		5	17.86		28
		TOTAL		1211	65.35		21	1.13		387	20.89					137	7.39		97	5.23		1853
	THIRD			5	23.81			Excluded		5	23.81					10	47.62		1	4.76		21
		TOTAL		1216	65.62					392	21.15					147	7.93		98	5.29		1853
	FOURTH			24	24.49					29	29.59					45	45.92			Excluded		98
		TOTAL		1240	66.92					421	22.72					192	10.36					1853
	FIFTH			46	23.96					146	76.04						Excluded					192
		TOTAL		1286	69.40					567	30.60											1853
				Elected																		
																						
Ballam Park                                                    																						
	FIRST			1022	44.69		40	1.75		940	41.10		33	1.44		126	5.51		126	5.51		2287
	SECOND			3	9.09		9	27.27		6	18.18			Excluded		14	42.42		1	3.03		33
		TOTAL		1025	44.82		49	2.14		946	41.36					140	6.12		127	5.55		2287
	THIRD			20	40.82			Excluded		9	18.37					12	24.49		8	16.33		49
		TOTAL		1045	45.69					955	41.76					152	6.65		135	5.90		2287
	FOURTH			23	17.04					38	28.15					74	54.81			Excluded		135
		TOTAL		1068	46.70					993	43.42					226	9.88					2287
	FIFTH			80	35.40					146	64.60						Excluded					226
		TOTAL		1148	50.20					1139	49.80											2287
				Elected																		
																						
Belvedere Park (Dunkley)                                       																						
	FIRST			397	38.51		30	2.91		463	44.91		20	1.94		61	5.92		60	5.82		1031
	SECOND			5	25.00		1	5.00		3	15.00			Excluded		7	35.00		4	20.00		20
		TOTAL		402	38.99		31	3.01		466	45.20					68	6.60		64	6.21		1031
	THIRD			14	45.16			Excluded		8	25.81					5	16.13		4	12.90		31
		TOTAL		416	40.35					474	45.97					73	7.08		68	6.60		1031
	FOURTH			21	30.88					17	25.00					30	44.12			Excluded		68
		TOTAL		437	42.39					491	47.62					103	9.99					1031
	FIFTH			23	22.33					80	77.67						Excluded					103
		TOTAL		460	44.62					571	55.38											1031
				Elected																		
																						
Bruce Park                                                     																						
	FIRST			754	48.12		26	1.66		611	38.99		14	0.89		91	5.81		71	4.53		1567
	SECOND			6	42.86		1	7.14		2	14.29			Excluded		2	14.29		3	21.43		14
		TOTAL		760	48.50		27	1.72		613	39.12					93	5.93		74	4.72		1567
	THIRD			9	33.33			Excluded		10	37.04					7	25.93		1	3.70		27
		TOTAL		769	49.07					623	39.76					100	6.38		75	4.79		1567
	FOURTH			11	14.67					23	30.67					41	54.67			Excluded		75
		TOTAL		780	49.78					646	41.23					141	9.00					1567
	FIFTH			27	19.15					114	80.85						Excluded					141
		TOTAL		807	51.50					760	48.50											1567
				Elected																		
																						
Derinya                                                        																						
	FIRST			1377	61.20		20	0.89		531	23.60		12	0.53		160	7.11		150	6.67		2250
	SECOND			3	25.00		0	0.00		3	25.00			Excluded		4	33.33		2	16.67		12
		TOTAL		1380	61.33		20	0.89		534	23.73					164	7.29		152	6.76		2250
	THIRD			6	30.00			Excluded		3	15.00					8	40.00		3	15.00		20
		TOTAL		1386	61.60					537	23.87					172	7.64		155	6.89		2250
	FOURTH			30	19.35					26	16.77					99	63.87			Excluded		155
		TOTAL		1416	62.93					563	25.02					271	12.04					2250
	FIFTH			108	39.85					163	60.15						Excluded					271
		TOTAL		1524	67.73					726	32.27											2250
				Elected																		
																						
Frankston                                                      																						
	FIRST			1137	48.40		47	2.00		837	35.63		22	0.94		187	7.96		119	5.07		2349
	SECOND			2	9.09		1	4.55		7	31.82			Excluded		7	31.82		5	22.73		22
		TOTAL		1139	48.49		48	2.04		844	35.93					194	8.26		124	5.28		2349
	THIRD			22	45.83			Excluded		10	20.83					15	31.25		1	2.08		48
		TOTAL		1161	49.43					854	36.36					209	8.90		125	5.32		2349
	FOURTH			19	15.20					30	24.00					76	60.80			Excluded		125
		TOTAL		1180	50.23					884	37.63					285	12.13					2349
	FIFTH			93	32.63					192	67.37						Excluded					285
		TOTAL		1273	54.19					1076	45.81											2349
				Elected																		
																						
Frankston Beach                                                																						
	FIRST			542	54.91		23	2.33		257	26.04		6	0.61		98	9.93		61	6.18		987
	SECOND			1	16.67		0	0.00		2	33.33			Excluded		2	33.33		1	16.67		6
		TOTAL		543	55.02		23	2.33		259	26.24					100	10.13		62	6.28		987
	THIRD			12	52.17			Excluded		4	17.39					6	26.09		1	4.35		23
		TOTAL		555	56.23					263	26.65					106	10.74		63	6.38		987
	FOURTH			10	15.87					11	17.46					42	66.67			Excluded		63
		TOTAL		565	57.24					274	27.76					148	14.99					987
	FIFTH			49	33.11					99	66.89						Excluded					148
		TOTAL		614	62.21					373	37.79											987
				Elected																		
																						
Frankston East                                                 																						
	FIRST			922	44.71		35	1.70		843	40.88		43	2.09		120	5.82		99	4.80		2062
	SECOND			16	37.21		5	11.63		4	9.30			Excluded		14	32.56		4	9.30		43
		TOTAL		938	45.49		40	1.94		847	41.08					134	6.50		103	5.00		2062
	THIRD			12	30.00			Excluded		18	45.00					9	22.50		1	2.50		40
		TOTAL		950	46.07					865	41.95					143	6.94		104	5.04		2062
	FOURTH			21	20.19					31	29.81					52	50.00			Excluded		104
		TOTAL		971	47.09					896	43.45					195	9.46					2062
	FIFTH			52	26.67					143	73.33						Excluded					195
		TOTAL		1023	49.61					1039	50.39											2062
				Elected																		
																						
Frankston Forest                                               																						
	FIRST			496	28.89		70	4.08		960	55.91		33	1.92		51	2.97		107	6.23		1717
	SECOND			14	42.42		4	12.12		5	15.15			Excluded		6	18.18		4	12.12		33
		TOTAL		510	29.70		74	4.31		965	56.20					57	3.32		111	6.46		1717
	THIRD			23	31.08			Excluded		26	35.14					17	22.97		8	10.81		74
		TOTAL		533	31.04					991	57.72					74	4.31		119	6.93		1717
	FOURTH			22	18.49					27	22.69					70	58.82			Excluded		119
		TOTAL		555	32.32					1018	59.29					144	8.39					1717
	FIFTH			57	39.58					87	60.42						Excluded					144
		TOTAL		612	35.64					1105	64.36											1717
				Elected																		
																						
Frankston Heights                                              																						
	FIRST			528	42.72		14	1.13		511	41.34		14	1.13		101	8.17		68	5.50		1236
	SECOND			3	21.43		4	28.57		2	14.29			Excluded		3	21.43		2	14.29		14
		TOTAL		531	42.96		18	1.46		513	41.50					104	8.41		70	5.66		1236
	THIRD			5	27.78			Excluded		7	38.89					5	27.78		1	5.56		18
		TOTAL		536	43.37					520	42.07					109	8.82		71	5.74		1236
	FOURTH			9	12.68					22	30.99					40	56.34			Excluded		71
		TOTAL		545	44.09					542	43.85					149	12.06					1236
	FIFTH			42	28.19					107	71.81						Excluded					149
		TOTAL		587	47.49					649	52.51											1236
				Elected																		
																						
Frankston Rail                                                 																						
	FIRST			570	37.65		39	2.58		685	45.24		10	0.66		116	7.66		94	6.21		1514
	SECOND			0	0.00		1	10.00		6	60.00			Excluded		2	20.00		1	10.00		10
		TOTAL		570	37.65		40	2.64		691	45.64					118	7.79		95	6.27		1514
	THIRD			13	32.50			Excluded		11	27.50					12	30.00		4	10.00		40
		TOTAL		583	38.51					702	46.37					130	8.59		99	6.54		1514
	FOURTH			14	14.14					18	18.18					67	67.68			Excluded		99
		TOTAL		597	39.43					720	47.56					197	13.01					1514
	FIFTH			69	35.03					128	64.97						Excluded					197
		TOTAL		666	43.99					848	56.01											1514
				Elected																		
																						
Frankston South                                                																						
	FIRST			1551	50.92		45	1.48		1050	34.47		34	1.12		201	6.60		165	5.42		3046
	SECOND			13	38.24		3	8.82		2	5.88			Excluded		11	32.35		5	14.71		34
		TOTAL		1564	51.35		48	1.58		1052	34.54					212	6.96		170	5.58		3046
	THIRD			17	35.42			Excluded		14	29.17					12	25.00		5	10.42		48
		TOTAL		1581	51.90					1066	35.00					224	7.35		175	5.75		3046
	FOURTH			28	16.00					49	28.00					98	56.00			Excluded		175
		TOTAL		1609	52.82					1115	36.61					322	10.57					3046
	FIFTH			110	34.16					212	65.84						Excluded					322
		TOTAL		1719	56.43					1327	43.57											3046
				Elected																		
																						
Kananook                                                       																						
	FIRST			739	37.80		48	2.46		836	42.76		30	1.53		187	9.57		115	5.88		1955
	SECOND			12	40.00		4	13.33		5	16.67			Excluded		4	13.33		5	16.67		30
		TOTAL		751	38.41		52	2.66		841	43.02					191	9.77		120	6.14		1955
	THIRD			19	36.54			Excluded		15	28.85					10	19.23		8	15.38		52
		TOTAL		770	39.39					856	43.79					201	10.28		128	6.55		1955
	FOURTH			25	19.53					26	20.31					77	60.16			Excluded		128
		TOTAL		795	40.66					882	45.12					278	14.22					1955
	FIFTH			93	33.45					185	66.55						Excluded					278
		TOTAL		888	45.42					1067	54.58											1955
				Elected																		
																						
Karingal                                                       																						
	FIRST			1035	41.14		81	3.22		1109	44.08		35	1.39		149	5.92		107	4.25		2516
	SECOND			4	11.43		5	14.29		6	17.14			Excluded		12	34.29		8	22.86		35
		TOTAL		1039	41.30		86	3.42		1115	44.32					161	6.40		115	4.57		2516
	THIRD			30	34.88			Excluded		22	25.58					20	23.26		14	16.28		86
		TOTAL		1069	42.49					1137	45.19					181	7.19		129	5.13		2516
	FOURTH			26	20.16					32	24.81					71	55.04			Excluded		129
		TOTAL		1095	43.52					1169	46.46					252	10.02					2516
	FIFTH			73	28.97					179	71.03						Excluded					252
		TOTAL		1168	46.42					1348	53.58											2516
				Elected																		
																						
Karingal Heights                                               																						
	FIRST			1177	45.22		43	1.65		1144	43.95		34	1.31		92	3.53		113	4.34		2603
