House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Maribyrnong																				
				KOZLOWSKI			BECKWITH			BARCLAY			SERCOMBE			WILLIAMS				
				Andre			Jules			Grahame			Bob			Charles				
				CEC			GRN			LP			ALP			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aberfeldie                                                     																				
	FIRST			9	0.53		113	6.65		700	41.18		773	45.47		105	6.18		1700	
	SECOND				Excluded		7	77.78		0	0.00		1	11.11		1	11.11		9	
		TOTAL					120	7.06		700	41.18		774	45.53		106	6.24		1700	
	THIRD							Excluded		12	10.00		51	42.50		57	47.50		120	
		TOTAL								712	41.88		825	48.53		163	9.59		1700	
	FOURTH									42	25.77		121	74.23			Excluded		163	
		TOTAL								754	44.35		946	55.65					1700	
													Elected							
																				
Airport West                                                   																				
	FIRST			34	1.54		55	2.49		615	27.82		1431	64.72		76	3.44		2211	
	SECOND				Excluded		22	64.71		8	23.53		3	8.82		1	2.94		34	
		TOTAL					77	3.48		623	28.18		1434	64.86		77	3.48		2211	
	THIRD							Excluded		30	38.96		20	25.97		27	35.06		77	
		TOTAL								653	29.53		1454	65.76		104	4.70		2211	
	FOURTH									29	27.88		75	72.12			Excluded		104	
		TOTAL								682	30.85		1529	69.15					2211	
													Elected							
																				
Albanvale                                                      																				
	FIRST			70	2.36		67	2.26		588	19.86		2122	71.66		114	3.85		2961	
	SECOND				Excluded		33	47.14		11	15.71		17	24.29		9	12.86		70	
		TOTAL					100	3.38		599	20.23		2139	72.24		123	4.15		2961	
	THIRD							Excluded		46	46.00		21	21.00		33	33.00		100	
		TOTAL								645	21.78		2160	72.95		156	5.27		2961	
	FOURTH									51	32.69		105	67.31			Excluded		156	
		TOTAL								696	23.51		2265	76.49					2961	
													Elected							
																				
Albion North                                                   																				
	FIRST			92	3.81		77	3.19		434	17.96		1686	69.76		128	5.30		2417	
	SECOND				Excluded		51	55.43		9	9.78		21	22.83		11	11.96		92	
		TOTAL					128	5.30		443	18.33		1707	70.62		139	5.75		2417	
	THIRD							Excluded		72	56.25		30	23.44		26	20.31		128	
		TOTAL								515	21.31		1737	71.87		165	6.83		2417	
	FOURTH									58	35.15		107	64.85			Excluded		165	
		TOTAL								573	23.71		1844	76.29					2417	
													Elected							
																				
Avondale Heights                                               																				
	FIRST			44	1.82		91	3.77		574	23.77		1593	65.96		113	4.68		2415	
	SECOND				Excluded		28	63.64		5	11.36		10	22.73		1	2.27		44	
		TOTAL					119	4.93		579	23.98		1603	66.38		114	4.72		2415	
	THIRD							Excluded		34	28.57		33	27.73		52	43.70		119	
		TOTAL								613	25.38		1636	67.74		166	6.87		2415	
	FOURTH									51	30.72		115	69.28			Excluded		166	
		TOTAL								664	27.49		1751	72.51					2415	
													Elected							
																				
Avondale Heights Central                                       																				
	FIRST			79	2.29		108	3.13		1044	30.23		2004	58.02		219	6.34		3454	
	SECOND				Excluded		52	65.82		13	16.46		10	12.66		4	5.06		79	
		TOTAL					160	4.63		1057	30.60		2014	58.31		223	6.46		3454	
	THIRD							Excluded		78	48.75		22	13.75		60	37.50		160	
		TOTAL								1135	32.86		2036	58.95		283	8.19		3454	
	FOURTH									86	30.39		197	69.61			Excluded		283	
		TOTAL								1221	35.35		2233	64.65					3454	
													Elected							
																				
Avondale Heights North                                         																				
	FIRST			19	1.06		49	2.73		501	27.93		1134	63.21		91	5.07		1794	
	SECOND				Excluded		14	73.68		3	15.79		1	5.26		1	5.26		19	
		TOTAL					63	3.51		504	28.09		1135	63.27		92	5.13		1794	
	THIRD							Excluded		23	36.51		22	34.92		18	28.57		63	
		TOTAL								527	29.38		1157	64.49		110	6.13		1794	
	FOURTH									34	30.91		76	69.09			Excluded		110	
		TOTAL								561	31.27		1233	68.73					1794	
													Elected							
