Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Scullin (88866)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Apollo Parkways		53	1.61		52	1.57		41	1.24		3	0.09		0	0.00		2	0.06		38	1.15		1407	42.61		12	0.36		1	0.03		1162	35.19		23	0.70		354	10.72		0	0.00		2	0.06		150	4.54		1	0.03		1	0.03		3302	94.78		182	5.22		3484	4.06
Blossom Park		35	1.42		58	2.36		20	0.81		2	0.08		0	0.00		1	0.04		26	1.06		686	27.86		10	0.41		1	0.04		1412	57.35		18	0.73		137	5.56		0	0.00		1	0.04		54	2.19		0	0.00		1	0.04		2462	94.26		150	5.74		2612	3.04
Epping		61	2.11		116	4.02		23	0.80		4	0.14		3	0.10		0	0.00		65	2.25		765	26.49		9	0.31		0	0.00		1607	55.64		11	0.38		168	5.82		0	0.00		2	0.07		53	1.84		1	0.03		0	0.00		2888	90.28		311	9.72		3199	3.73
Epping East		40	1.42		92	3.26		35	1.24		0	0.00		0	0.00		1	0.04		48	1.70		722	25.58		7	0.25		1	0.04		1636	57.95		14	0.50		180	6.38		0	0.00		0	0.00		46	1.63		1	0.04		0	0.00		2823	93.73		189	6.27		3012	3.51
Epping South		37	1.44		103	4.02		22	0.86		5	0.20		0	0.00		0	0.00		27	1.05		464	18.12		14	0.55		2	0.08		1729	67.51		2	0.08		110	4.30		1	0.04		0	0.00		44	1.72		0	0.00		1	0.04		2561	92.79		199	7.21		2760	3.21
Findon		40	1.26		108	3.41		26	0.82		3	0.09		0	0.00		1	0.03		38	1.20		769	24.27		4	0.13		1	0.03		1873	59.10		10	0.32		230	7.26		0	0.00		1	0.03		64	2.02		1	0.03		0	0.00		3169	93.45		222	6.55		3391	3.95
Greenhills		55	2.48		35	1.58		20	0.90		1	0.05		1	0.05		1	0.05		38	1.72		995	44.94		1	0.05		1	0.05		718	32.43		11	0.50		189	8.54		0	0.00		1	0.05		144	6.50		2	0.09		1	0.05		2214	94.70		124	5.30		2338	2.72
Greensborough		23	1.93		28	2.35		16	1.34		2	0.17		0	0.00		0	0.00		13	1.09		472	39.60		5	0.42		0	0.00		475	39.85		7	0.59		93	7.80		0	0.00		0	0.00		54	4.53		2	0.17		2	0.17		1192	94.53		69	5.47		1261	1.47
Greensborough East		26	2.27		18	1.57		12	1.05		1	0.09		0	0.00		0	0.00		15	1.31		573	50.13		5	0.44		1	0.09		369	32.28		6	0.52		81	7.09		0	0.00		0	0.00		36	3.15		0	0.00		0	0.00		1143	97.03		35	2.97		1178	1.37
Grimshaw		38	1.84		44	2.13		26	1.26		0	0.00		1	0.05		1	0.05		45	2.18		764	37.03		11	0.53		4	0.19		940	45.56		11	0.53		114	5.53		0	0.00		1	0.05		62	3.01		1	0.05		0	0.00		2063	93.35		147	6.65		2210	2.57
Keelbundoora		6	1.45		17	4.12		8	1.94		2	0.48		0	0.00		1	0.24		7	1.69		119	28.81		2	0.48		0	0.00		220	53.27		1	0.24		27	6.54		0	0.00		0	0.00		3	0.73		0	0.00		0	0.00		413	92.19		35	7.81		448	0.52
Lalor		44	2.10		85	4.05		19	0.90		1	0.05		1	0.05		1	0.05		52	2.48		329	15.67		8	0.38		1	0.05		1417	67.48		0	0.00		100	4.76		1	0.05		2	0.10		37	1.76		1	0.05		1	0.05		2100	88.64		269	11.36		2369	2.76
Lalor East		59	1.75		138	4.10		20	0.59		6	0.18		2	0.06		3	0.09		36	1.07		521	15.48		18	0.53		3	0.09		2272	67.50		11	0.33		222	6.60		1	0.03		0	0.00		53	1.57		1	0.03		0	0.00		3366	88.98		417	11.02		3783	4.41
Lalor North		24	1.38		110	6.32		6	0.34		7	0.40		3	0.17		3	0.17		20	1.15		213	12.24		6	0.34		3	0.17		1247	71.67		0	0.00		69	3.97		0	0.00		1	0.06		26	1.49		2	0.11		0	0.00		1740	88.28		231	11.72		1971	2.30
Lalor Park		50	2.37		95	4.50		20	0.95		0	0.00		1	0.05		2	0.09		19	0.90		290	13.74		7	0.33		1	0.05		1479	70.09		5	0.24		105	4.98		1	0.05		2	0.09		29	1.37		3	0.14		1	0.05		2110	87.26		308	12.74		2418	2.82
Lalor South		36	1.80		121	6.06		24	1.20		9	0.45		0	0.00		0	0.00		16	0.80		215	10.76		8	0.40		1	0.05		1465	73.32		1	0.05		81	4.05		1	0.05		2	0.10		18	0.90		0	0.00		0	0.00		1998	90.61		207	9.39		2205	2.57
Lalor West		41	1.98		109	5.26		20	0.97		4	0.19		2	0.10		1	0.05		23	1.11		308	14.86		6	0.29		0	0.00		1440	69.50		2	0.10		77	3.72		1	0.05		2	0.10		34	1.64		2	0.10		0	0.00		2072	89.66		239	10.34		2311	2.69
Meadowglen		24	1.13		74	3.49		22	1.04		1	0.05		0	0.00		3	0.14		40	1.89		566	26.70		7	0.33		0	0.00		1231	58.07		11	0.52		104	4.91		0	0.00		1	0.05		36	1.70		0	0.00		0	0.00		2120	94.18		131	5.82		2251	2.62
Melbourne (Scullin)		4	5.33		4	5.33		1	1.33		0	0.00		0	0.00		0	0.00		1	1.33		18	24.00		0	0.00		0	0.00		37	49.33		1	1.33		7	9.33		0	0.00		0	0.00		2	2.67		0	0.00		0	0.00		75	98.68		1	1.32		76	0.09
Mill Park		40	1.55		65	2.51		24	0.93		4	0.15		0	0.00		2	0.08		31	1.20		716	27.70		2	0.08		4	0.15		1456	56.32		18	0.70		168	6.50		0	0.00		0	0.00		53	2.05		2	0.08		0	0.00		2585	93.59		177	6.41		2762	3.22
