House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Melbourne																							
				TANNER			FERRARI			JOLLY			CURR			FRANTZESKOS			MCKENNA				
				Lindsay James			James Stephen			Stephen			Pamela			Con			Brent				
				ALP									GRN			LP			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Abbotsford                                                     																							
	FIRST			624	50.32		11	0.89		24	1.94		236	19.03		245	19.76		100	8.06		1240	
	SECOND			4	36.36			Excluded		3	27.27		3	27.27		1	9.09		0	0.00		11	
		TOTAL		628	50.65					27	2.18		239	19.27		246	19.84		100	8.06		1240	
	THIRD			8	29.63						Excluded		14	51.85		2	7.41		3	11.11		27	
		TOTAL		636	51.29								253	20.40		248	20.00		103	8.31		1240	
	FOURTH			30	29.13								64	62.14		9	8.74			Excluded		103	
		TOTAL		666	53.71								317	25.56		257	20.73					1240	
	FIFTH			289	91.17									Excluded		28	8.83					317	
		TOTAL		955	77.02											285	22.98					1240	
				Elected																			
																							
Ascot Vale                                                     																							
	FIRST			435	75.00		3	0.52		2	0.34		34	5.86		74	12.76		32	5.52		580	
	SECOND			1	33.33			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		3	
		TOTAL		436	75.17					4	0.69		34	5.86		74	12.76		32	5.52		580	
	THIRD			0	0.00						Excluded		4	100.00		0	0.00		0	0.00		4	
		TOTAL		436	75.17								38	6.55		74	12.76		32	5.52		580	
	FOURTH			4	12.50								23	71.88		5	15.63			Excluded		32	
		TOTAL		440	75.86								61	10.52		79	13.62					580	
	FIFTH			51	83.61									Excluded		10	16.39					61	
		TOTAL		491	84.66											89	15.34					580	
				Elected																			
																							
Ascot Vale Central                                             																							
	FIRST			1107	54.11		10	0.49		31	1.52		125	6.11		615	30.06		158	7.72		2046	
	SECOND			3	30.00			Excluded		2	20.00		2	20.00		2	20.00		1	10.00		10	
		TOTAL		1110	54.25					33	1.61		127	6.21		617	30.16		159	7.77		2046	
	THIRD			4	12.12						Excluded		26	78.79		1	3.03		2	6.06		33	
		TOTAL		1114	54.45								153	7.48		618	30.21		161	7.87		2046	
	FOURTH			31	19.25								100	62.11		30	18.63			Excluded		161	
		TOTAL		1145	55.96								253	12.37		648	31.67					2046	
	FIFTH			195	77.08									Excluded		58	22.92					253	
		TOTAL		1340	65.49											706	34.51					2046	
				Elected																			
																							
Ascot Vale East                                                																							
	FIRST			1061	54.66		19	0.98		25	1.29		199	10.25		503	25.91		134	6.90		1941	
	SECOND			7	36.84			Excluded		4	21.05		5	26.32		2	10.53		1	5.26		19	
		TOTAL		1068	55.02					29	1.49		204	10.51		505	26.02		135	6.96		1941	
	THIRD			5	17.24						Excluded		19	65.52		2	6.90		3	10.34		29	
		TOTAL		1073	55.28								223	11.49		507	26.12		138	7.11		1941	
	FOURTH			28	20.29								82	59.42		28	20.29			Excluded		138	
		TOTAL		1101	56.72								305	15.71		535	27.56					1941	
	FIFTH			265	86.89									Excluded		40	13.11					305	
		TOTAL		1366	70.38											575	29.62					1941	
				Elected																			
																							
Ascot Vale West                                                																							
	FIRST			725	51.45		13	0.92		16	1.14		113	8.02		447	31.72		95	6.74		1409	
	SECOND			6	46.15			Excluded		5	38.46		1	7.69		0	0.00		1	7.69		13	
		TOTAL		731	51.88					21	1.49		114	8.09		447	31.72		96	6.81		1409	
	THIRD			6	28.57						Excluded		8	38.10		4	19.05		3	14.29		21	
		TOTAL		737	52.31								122	8.66		451	32.01		99	7.03		1409	
	FOURTH			21	21.21								63	63.64		15	15.15			Excluded		99	
		TOTAL		758	53.80								185	13.13		466	33.07					1409	
	FIFTH			146	78.92									Excluded		39	21.08					185	
		TOTAL		904	64.16											505	35.84					1409	
				Elected																			
																							
Brunswick East                                                 																							
	FIRST			725	52.61		24	1.74		20	1.45		214	15.53		276	20.03		119	8.64		1378	
	SECOND			13	54.17			Excluded		1	4.17		5	20.83		3	12.50		2	8.33		24	
		TOTAL		738	53.56					21	1.52		219	15.89		279	20.25		121	8.78		1378	
	THIRD			8	38.10						Excluded		11	52.38		0	0.00		2	9.52		21	
		TOTAL		746	54.14								230	16.69		279	20.25		123	8.93		1378	
	FOURTH			28	22.76								76	61.79		19	15.45			Excluded		123	
		TOTAL		774	56.17								306	22.21		298	21.63					1378	
	FIFTH			282	92.16									Excluded		24	7.84					306	
		TOTAL		1056	76.63											322	23.37					1378	
				Elected																			
																							
Brunswick South                                                																							
	FIRST			587	58.35		10	0.99		14	1.39		145	14.41		182	18.09		68	6.76		1006	
	SECOND			6	60.00			Excluded		3	30.00		0	0.00		0	0.00		1	10.00		10	
		TOTAL		593	58.95					17	1.69		145	14.41		182	18.09		69	6.86		1006	
	THIRD			2	11.76						Excluded		12	70.59		2	11.76		1	5.88		17	
		TOTAL		595	59.15								157	15.61		184	18.29		70	6.96		1006	
	FOURTH			13	18.57								51	72.86		6	8.57			Excluded		70	
		TOTAL		608	60.44								208	20.68		190	18.89					1006	
	FIFTH			181	87.02									Excluded		27	12.98					208	
		TOTAL		789	78.43											217	21.57					1006	
				Elected																			
																							
Brunswick South East                                           																							
	FIRST			591	48.32		11	0.90		13	1.06		251	20.52		247	20.20		110	8.99		1223	
	SECOND			1	9.09			Excluded		1	9.09		4	36.36		4	36.36		1	9.09		11	
		TOTAL		592	48.41					14	1.14		255	20.85		251	20.52		111	9.08		1223	
	THIRD			3	21.43						Excluded		9	64.29		0	0.00		2	14.29		14	
		TOTAL		595	48.65								264	21.59		251	20.52		113	9.24		1223	
	FOURTH			29	25.66								73	64.60		11	9.73			Excluded		113	
		TOTAL		624	51.02								337	27.56		262	21.42					1223	
	FIFTH			304	90.21									Excluded		33	9.79					337	
		TOTAL		928	75.88											295	24.12					1223	
				Elected																			
																							
Brunswick South West                                           																							
	FIRST			1132	51.50		6	0.27		47	2.14		288	13.10		562	25.57		163	7.42		2198	
	SECOND			4	66.67			Excluded		2	33.33		0	0.00		0	0.00		0	0.00		6	
		TOTAL		1136	51.68					49	2.23		288	13.10		562	25.57		163	7.42		2198	
	THIRD			11	22.45						Excluded		31	63.27		2	4.08		5	10.20		49	
		TOTAL		1147	52.18								319	14.51		564	25.66		168	7.64		2198	
	FOURTH			40	23.81								114	67.86		14	8.33			Excluded		168	
		TOTAL		1187	54.00								433	19.70		578	26.30					2198	
	FIFTH			381	87.99									Excluded		52	12.01					433	
		TOTAL		1568	71.34											630	28.66					2198	
				Elected																			
																							
Carlton                                                        																							
	FIRST			1095	58.68		6	0.32		25	1.34		236	12.65		331	17.74		173	9.27		1866	
	SECOND			1	16.67			Excluded		4	66.67		1	16.67		0	0.00		0	0.00		6	
		TOTAL		1096	58.74					29	1.55		237	12.70		331	17.74		173	9.27		1866	
	THIRD			9	31.03						Excluded		15	51.72		2	6.90		3	10.34		29	
		TOTAL		1105	59.22								252	13.50		333	17.85		176	9.43		1866	
	FOURTH			34	19.32								119	67.61		23	13.07			Excluded		176	
		TOTAL		1139	61.04								371	19.88		356	19.08					1866	
	FIFTH			315	84.91									Excluded		56	15.09					371	
		TOTAL		1454	77.92											412	22.08					1866	
				Elected																			
																							
Carlton Central                                                																							
	FIRST			1020	42.03		10	0.41		55	2.27		577	23.77		503	20.73		262	10.80		2427	
	SECOND			1	10.00			Excluded		4	40.00		4	40.00		1	10.00		0	0.00		10	
		TOTAL		1021	42.07					59	2.43		581	23.94		504	20.77		262	10.80		2427	
	THIRD			10	16.95						Excluded		41	69.49		2	3.39		6	10.17		59	
		TOTAL		1031	42.48								622	25.63		506	20.85		268	11.04		2427	
	FOURTH			58	21.64								176	65.67		34	12.69			Excluded		268	
		TOTAL		1089	44.87								798	32.88		540	22.25					2427	
	FIFTH			700	87.72									Excluded		98	12.28					798	
		TOTAL		1789	73.71											638	26.29					2427	
				Elected																			
																							
Carlton North                                                  																							
	FIRST			774	41.35		12	0.64		23	1.23		415	22.17		479	25.59		169	9.03		1872	
	SECOND			1	8.33			Excluded		3	25.00		5	41.67		3	25.00		0	0.00		12	
		TOTAL		775	41.40					26	1.39		420	22.44		482	25.75		169	9.03		1872	
	THIRD			5	19.23						Excluded		19	73.08		2	7.69		0	0.00		26	
		TOTAL		780	41.67								439	23.45		484	25.85		169	9.03		1872	
	FOURTH			41	24.26								116	68.64		12	7.10			Excluded		169	
		TOTAL		821	43.86								555	29.65		496	26.50					1872	
	FIFTH			486	87.57									Excluded		69	12.43					555	
		TOTAL		1307	69.82											565	30.18					1872	
				Elected																			
																							
Carlton South                                                  																							
	FIRST			380	39.83		5	0.52		4	0.42		176	18.45		287	30.08		102	10.69		954	
	SECOND			2	40.00			Excluded		1	20.00		0	0.00		1	20.00		1	20.00		5	
		TOTAL		382	40.04					5	0.52		176	18.45		288	30.19		103	10.80		954	
	THIRD			0	0.00						Excluded		3	60.00		1	20.00		1	20.00		5	
		TOTAL		382	40.04								179	18.76		289	30.29		104	10.90		954	
	FOURTH			17	16.35								76	73.08		11	10.58			Excluded		104	
		TOTAL		399	41.82								255	26.73		300	31.45					954	
	FIFTH			213	83.53									Excluded		42	16.47					255	
		TOTAL		612	64.15											342	35.85					954	
				Elected																			
																							
Clifton Hill                                                   																							
	FIRST			785	44.96		9	0.52		35	2.00		375	21.48		363	20.79		179	10.25		1746	
	SECOND			4	44.44			Excluded		3	33.33		0	0.00		1	11.11		1	11.11		9	
		TOTAL		789	45.19					38	2.18		375	21.48		364	20.85		180	10.31		1746	
	THIRD			9	23.68						Excluded		25	65.79		2	5.26		2	5.26		38	
		TOTAL		798	45.70								400	22.91		366	20.96		182	10.42		1746	
	FOURTH			40	21.98								126	69.23		16	8.79			Excluded		182	
		TOTAL		838	48.00								526	30.13		382	21.88					1746	
	FIFTH			478	90.87									Excluded		48	9.13					526	
		TOTAL		1316	75.37											430	24.63					1746	
				Elected																			
																							
Collingwood                                                    																							
	FIRST			1215	60.15		8	0.40		52	2.57		310	15.35		280	13.86		155	7.67		2020	
	SECOND			5	62.50			Excluded		0	0.00		2	25.00		1	12.50		0	0.00		8	
		TOTAL		1220	60.40					52	2.57		312	15.45		281	13.91		155	7.67		2020	
	THIRD			10	19.23						Excluded		36	69.23		1	1.92		5	9.62		52	
		TOTAL		1230	60.89								348	17.23		282	13.96		160	7.92		2020	
	FOURTH			23	14.38								117	73.13		20	12.50			Excluded		160	
		TOTAL		1253	62.03								465	23.02		302	14.95					2020	
	FIFTH			404	86.88									Excluded		61	13.12					465	
		TOTAL		1657	82.03											363	17.97					2020	
				Elected																			
																							
Collingwood North                                              																							
	FIRST			773	44.86		10	0.58		39	2.26		383	22.23		325	18.86		193	11.20		1723	
	SECOND			4	40.00			Excluded		4	40.00		1	10.00		0	0.00		1	10.00		10	
		TOTAL		777	45.10					43	2.50		384	22.29		325	18.86		194	11.26		1723	
	THIRD			5	11.63						Excluded		31	72.09		1	2.33		6	13.95		43	
		TOTAL		782	45.39								415	24.09		326	18.92		200	11.61		1723	
	FOURTH			42	21.00								139	69.50		19	9.50			Excluded		200	
		TOTAL		824	47.82								554	32.15		345	20.02					1723	
	FIFTH			486	87.73									Excluded		68	12.27					554	
		TOTAL		1310	76.03											413	23.97					1723	
				Elected																			
																							
Delbridge                                                      																							
	FIRST			416	43.88		9	0.95		11	1.16		209	22.05		208	21.94		95	10.02		948	
	SECOND			1	11.11			Excluded		3	33.33		3	33.33		2	22.22		0	0.00		9	
		TOTAL		417	43.99					14	1.48		212	22.36		210	22.15		95	10.02		948	
	THIRD			3	21.43						Excluded		10	71.43		0	0.00		1	7.14		14	
		TOTAL		420	44.30								222	23.42		210	22.15		96	10.13		948	
	FOURTH			17	17.71								59	61.46		20	20.83			Excluded		96	
		TOTAL		437	46.10								281	29.64		230	24.26					948	
	FIFTH			243	86.48									Excluded		38	13.52					281	
		TOTAL		680	71.73											268	28.27					948	
				Elected																			
																							
East Melbourne                                                 																							
	FIRST			450	25.67		12	0.68		13	0.74		246	14.03		883	50.37		149	8.50		1753	
	SECOND			3	25.00			Excluded		4	33.33		5	41.67		0	0.00		0	0.00		12	
		TOTAL		453	25.84					17	0.97		251	14.32		883	50.37		149	8.50		1753	
	THIRD			3	17.65						Excluded		14	82.35		0	0.00		0	0.00		17	
		TOTAL		456	26.01								265	15.12		883	50.37		149	8.50		1753	
	FOURTH			31	20.81								91	61.07		27	18.12			Excluded		149	
		TOTAL		487	27.78								356	20.31		910	51.91					1753	
	FIFTH			283	79.49									Excluded		73	20.51					356	
		TOTAL		770	43.92											983	56.08					1753	
				Elected																			
																							
Edward                                                         																							
