House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Melbourne Ports																				
				CHIPP			BECK			DANBY			KAVANAGH			MCLORINAN				
				Greg			Jeremy			Michael			Jeannette			Andrew				
				DEM			CEC			ALP			GRN			LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alfred Hospital                                                																				
	FIRST			39	10.57		1	0.27		123	33.33		29	7.86		177	47.97		369	
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		39	10.57					124	33.60		29	7.86		177	47.97		369	
	THIRD				Excluded					16	41.03		18	46.15		5	12.82		39	
		TOTAL								140	37.94		47	12.74		182	49.32		369	
	FOURTH									34	72.34			Excluded		13	27.66		47	
		TOTAL								174	47.15					195	52.85		369	
										Elected										
																				
Argyle                                                         																				
	FIRST			81	7.69		6	0.57		542	51.42		155	14.71		270	25.62		1054	
	SECOND			2	33.33			Excluded		1	16.67		3	50.00		0	0.00		6	
		TOTAL		83	7.87					543	51.52		158	14.99		270	25.62		1054	
	THIRD				Excluded					22	26.51		58	69.88		3	3.61		83	
		TOTAL								565	53.61		216	20.49		273	25.90		1054	
	FOURTH									186	86.11			Excluded		30	13.89		216	
		TOTAL								751	71.25					303	28.75		1054	
										Elected										
																				
Bridport                                                       																				
	FIRST			167	7.09		12	0.51		1061	45.05		234	9.94		881	37.41		2355	
	SECOND			1	8.33			Excluded		2	16.67		8	66.67		1	8.33		12	
		TOTAL		168	7.13					1063	45.14		242	10.28		882	37.45		2355	
	THIRD				Excluded					41	24.40		98	58.33		29	17.26		168	
		TOTAL								1104	46.88		340	14.44		911	38.68		2355	
	FOURTH									273	80.29			Excluded		67	19.71		340	
		TOTAL								1377	58.47					978	41.53		2355	
										Elected										
																				
Camden                                                         																				
	FIRST			178	8.43		4	0.19		770	36.48		155	7.34		1004	47.56		2111	
	SECOND			1	25.00			Excluded		0	0.00		2	50.00		1	25.00		4	
		TOTAL		179	8.48					770	36.48		157	7.44		1005	47.61		2111	
	THIRD				Excluded					39	21.79		121	67.60		19	10.61		179	
		TOTAL								809	38.32		278	13.17		1024	48.51		2111	
	FOURTH									230	82.73			Excluded		48	17.27		278	
		TOTAL								1039	49.22					1072	50.78		2111	
										Elected										
																				
Caulfield                                                      																				
	FIRST			123	6.85		3	0.17		659	36.69		92	5.12		919	51.17		1796	
	SECOND			1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		124	6.90					660	36.75		93	5.18		919	51.17		1796	
	THIRD				Excluded					32	25.81		77	62.10		15	12.10		124	
		TOTAL								692	38.53		170	9.47		934	52.00		1796	
	FOURTH									125	73.53			Excluded		45	26.47		170	
		TOTAL								817	45.49					979	54.51		1796	
										Elected										
																				
Caulfield East                                                 																				
	FIRST			166	7.89		4	0.19		809	38.43		164	7.79		962	45.70		2105	
	SECOND			2	50.00			Excluded		0	0.00		1	25.00		1	25.00		4	
		TOTAL		168	7.98					809	38.43		165	7.84		963	45.75		2105	
	THIRD				Excluded					46	27.38		105	62.50		17	10.12		168	
		TOTAL								855	40.62		270	12.83		980	46.56		2105	
	FOURTH									212	78.52			Excluded		58	21.48		270	
		TOTAL								1067	50.69					1038	49.31		2105	
										Elected										
																				
Caulfield North                                                																				
	FIRST			194	7.76		7	0.28		834	33.36		180	7.20		1285	51.40		2500	
	SECOND			4	57.14			Excluded		0	0.00		1	14.29		2	28.57		7	
		TOTAL		198	7.92					834	33.36		181	7.24		1287	51.48		2500	
