House of Representatives - 2001 Election: Victoria																																																																												
First Preference Votes and TCP																																																																	By Candidate by Vote Type by Division 																																																																										
																																																																												
Aston (90211)																																																																												
																																																																												
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total																																																															
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%																																																														
	"LEVICK, Ray"	CTA	872	1.20	82	2.04	6	2.88	40	1.37	74	1.47	1074	1.27																																																														
#	"PEARCE, Chris"	LP	36500	50.39	1932	48.02	100	48.08	1520	52.07	2921	57.99	42973	50.78																																																														
	"KENDALL, Ruth"	DEM	5043	6.96	429	10.66	11	5.29	217	7.43	252	5.00	5952	7.03																																																														
	"BOLAND, Kieran"	ALP	27228	37.59	1277	31.74	84	40.38	1006	34.46	1674	33.23	31269	36.95																																																														
	"MITCHELL, Doug"	CEC	229	0.32	24	0.60	0	0.00	18	0.62	19	0.38	290	0.34																																																														
	"KIR, Mick"	GRN	2561	3.54	279	6.94	7	3.37	118	4.04	97	1.93	3062	3.62																																																														
		FORMAL	72433	96.66	4023	95.69	208	97.65	2919	98.48	5037	99.02	84620	96.82																																																														
		INFORMAL	2501	3.34	181	4.31	5	2.35	45	1.52	50	0.98	2782	3.18																																																														
		TOTAL	74934	85.73	4204	4.81	213	0.24	2964	3.39	5087	5.82	87402	96.89																																																														
Two Candidate Preferred																																																																												
#	"PEARCE, Chris"	LP	40360	55.72	2258	56.13	116	55.77	1677	57.45	3120	61.94	47531	56.17																																																														
	"BOLAND, Kieran"	ALP	32073	44.28	1765	43.87	92	44.23	1242	42.55	1917	38.06	37089	43.83																																																														
	EXHAUSTED		0		0		0		0		0		0																																																															
																																																																												
																																																																												
																																																																												
Ballarat (85877)																																																																												
																																																																												
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total																																																															
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%																																																														
#	"KING, Catherine"	ALP	29891	44.46	1599	38.49	408	48.63	1860	42.36	1800	45.70	35558	44.14																																																														
	"KELLY, Tony"	GRN	4224	6.28	468	11.27	77	9.18	232	5.28	125	3.17	5126	6.36																																																														
	"COLLINS, Charles"	LP	28736	42.75	1691	40.71	284	33.85	1977	45.02	1824	46.31	34512	42.85																																																														
	"CORIC, Danii"	DEM	2675	3.98	291	7.01	50	5.96	185	4.21	99	2.51	3300	4.10																																																														
	"BLANCHARD, John"	HAN	1700	2.53	105	2.53	20	2.38	137	3.12	91	2.31	2053	2.55																																																														
		FORMAL	67226	97.01	4154	96.85	839	95.12	4391	98.04	3939	98.62	80549	97.12																																																														
		INFORMAL	2070	2.99	135	3.15	43	4.88	88	1.96	55	1.38	2391	2.88																																																														
		TOTAL	69296	83.55	4289	5.17	882	1.06	4479	5.40	3994	4.82	82940	96.58																																																														
Two Candidate Preferred																																																																												
#	"KING, Catherine"	ALP	35576	52.92	2183	52.55	506	60.31	2204	50.19	2002	50.83	42471	52.73																																																														
	"COLLINS, Charles"	LP	31650	47.08	1971	47.45	333	39.69	2187	49.81	1937	49.17	38078	47.27																																																														
	EXHAUSTED		0		0		0		0		0		0																																																															
																																																																												
																																																																												
																																																																												
Batman (89998)																																																																												
																																																																												
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total																																																															
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%																																																														
	"BHATHAL, Alexandra"	GRN	7771	11.46	817	15.59	54	11.42	381	12.50	148	5.62	9171	11.58																																																														
#	"FERGUSON, Martin"	ALP	40594	59.85	2508	47.84	294	62.16	1591	52.22	1519	57.65	46506	58.70																																																														
	"KNEEBONE, Scott"	DEM	3957	5.83	555	10.59	35	7.40	279	9.16	128	4.86	4954	6.25																																																														
	"LYNCH, Jackie"		847	1.25	144	2.75	5	1.06	40	1.31	28	1.06	1064	1.34																																																														
	"DAVIES, John"	LP	14418	21.26	1168	22.28	85	17.97	731	23.99	794	30.13	17196	21.71																																																														
	"BARWICK, Wayne"	CEC	236	0.35	50	0.95	0	0.00	25	0.82	18	0.68	329	0.42																																																														
		FORMAL	67823	94.21	5242	95.08	473	92.20	3047	96.61	2635	97.66	79220	94.46																																																														
		INFORMAL	4166	5.79	271	4.92	40	7.80	107	3.39	63	2.34	4647	5.54																																																														
		TOTAL	71989	85.84	5513	6.57	513	0.61	3154	3.76	2698	3.22	83867	93.19																																																														
Two Candidate Preferred																																																																												
#	"FERGUSON, Martin"	ALP	51425	75.82	3739	71.33	376	79.49	2184	71.68	1754	66.57	59478	75.08																																																														
	"DAVIES, John"	LP	16398	24.18	1503	28.67	97	20.51	863	28.32	881	33.43	19742	24.92																																																														
	EXHAUSTED		0		0		0		0		0		0																																																															
																																																																												
																																																																												
																																																																												
Bendigo (88150)																																																																												
																																																																												
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total																																																															
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%																																																														
#	"GIBBONS, Steve"	ALP	30662	43.81	1503	37.45	258	51.91	1392	39.92	1815	45.91	35630	43.48																																																														
	"BARROW, Ron"		656	0.94	23	0.57	6	1.21	25	0.72	34	0.86	744	0.91																																																														
	"ZEGERS, Karel"	IND	1207	1.72	54	1.35	10	2.01	82	2.35	34	0.86	1387	1.69																																																														
	"PASQUARELLI, John"	IND	950	1.36	54	1.35	8	1.61	27	0.77	34	0.86	1073	1.31																																																														
	"LILLEY, Helen"	DEM	2089	2.98	291	7.25	14	2.82	127	3.64	99	2.50	2620	3.20																																																														
	"SHARKEY, Maurie"	LP	27403	39.15	1576	39.27	149	29.98	1503	43.10	1680	42.50	32311	39.43																																																														
	"SMITH, Neil H"	HAN	1693	2.42	110	2.74	22	4.43	87	2.49	127	3.21	2039	2.49																																																														
	"RIVENDELL, Bruce"	GRN	3641	5.20	329	8.20	27	5.43	193	5.53	89	2.25	4279	5.22																																																														
	"ARNOLD, Phil"	CTA	1689	2.41	73	1.82	3	0.60	51	1.46	41	1.04	1857	2.27																																																														
		FORMAL	69990	96.10	4013	96.14	497	93.60	3487	98.23	3953	98.43	81940	96.28																																																														
