Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Kooyong (87128)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Auburn		35	2.36		33	2.22		20	1.35		0	0.00		2	0.13		1	0.07		13	0.88		631	42.49		6	0.40		1	0.07		415	27.95		9	0.61		143	9.63		1	0.07		3	0.20		171	11.52		0	0.00		1	0.07		1485	93.05		111	6.95		1596	1.93
Auburn North		37	1.37		30	1.11		29	1.07		1	0.04		2	0.07		0	0.00		14	0.52		1224	45.32		7	0.26		0	0.00		577	21.36		3	0.11		393	14.55		0	0.00		2	0.07		379	14.03		0	0.00		3	0.11		2701	94.84		147	5.16		2848	3.44
Auburn South		41	1.28		31	0.97		32	1.00		0	0.00		0	0.00		1	0.03		21	0.66		1704	53.33		16	0.50		1	0.03		590	18.47		8	0.25		382	11.96		0	0.00		1	0.03		365	11.42		1	0.03		1	0.03		3195	96.21		126	3.79		3321	4.01
Balwyn		70	2.97		33	1.40		26	1.10		1	0.04		1	0.04		0	0.00		23	0.98		1230	52.16		12	0.51		1	0.04		510	21.63		15	0.64		222	9.41		0	0.00		0	0.00		211	8.95		1	0.04		2	0.08		2358	94.06		149	5.94		2507	3.03
Balwyn Central		29	2.04		20	1.41		17	1.20		1	0.07		1	0.07		0	0.00		25	1.76		759	53.38		5	0.35		0	0.00		310	21.80		14	0.98		125	8.79		0	0.00		3	0.21		110	7.74		0	0.00		3	0.21		1422	94.30		86	5.70		1508	1.82
Balwyn North		63	2.00		46	1.46		27	0.86		3	0.10		2	0.06		0	0.00		30	0.95		1480	46.97		22	0.70		1	0.03		866	27.48		15	0.48		307	9.74		2	0.06		3	0.10		283	8.98		1	0.03		0	0.00		3151	95.08		163	4.92		3314	4.00
Balwyn North Central		30	1.92		19	1.22		17	1.09		1	0.06		0	0.00		0	0.00		14	0.90		885	56.77		5	0.32		0	0.00		320	20.53		6	0.38		152	9.75		0	0.00		1	0.06		106	6.80		2	0.13		1	0.06		1559	93.52		108	6.48		1667	2.01
Balwyn North East		87	2.34		40	1.08		36	0.97		2	0.05		4	0.11		0	0.00		45	1.21		1903	51.24		20	0.54		2	0.05		831	22.37		6	0.16		365	9.83		0	0.00		1	0.03		365	9.83		2	0.05		5	0.13		3714	94.14		231	5.86		3945	4.76
Balwyn North West		30	2.22		20	1.48		18	1.33		0	0.00		0	0.00		0	0.00		25	1.85		698	51.74		8	0.59		0	0.00		317	23.50		4	0.30		99	7.34		0	0.00		2	0.15		125	9.27		2	0.15		1	0.07		1349	92.52		109	7.48		1458	1.76
Balwyn West		30	1.79		30	1.79		6	0.36		0	0.00		2	0.12		0	0.00		16	0.95		781	46.49		7	0.42		0	0.00		435	25.89		9	0.54		186	11.07		0	0.00		0	0.00		175	10.42		2	0.12		1	0.06		1680	93.39		119	6.61		1799	2.17
Boroondara		52	2.41		49	2.27		23	1.06		1	0.05		1	0.05		0	0.00		36	1.67		1051	48.63		15	0.69		0	0.00		545	25.22		14	0.65		195	9.02		0	0.00		1	0.05		176	8.14		0	0.00		2	0.09		2161	95.24		108	4.76		2269	2.74
Camberwell East		16	1.52		4	0.38		9	0.85		1	0.09		0	0.00		0	0.00		14	1.33		605	57.45		1	0.09		0	0.00		185	17.57		7	0.66		114	10.83		0	0.00		2	0.19		94	8.93		1	0.09		0	0.00		1053	96.69		36	3.31		1089	1.31
Camberwell North		36	1.81		17	0.85		11	0.55		2	0.10		0	0.00		1	0.05		13	0.65		1193	59.98		11	0.55		0	0.00		295	14.83		3	0.15		205	10.31		0	0.00		0	0.00		202	10.16		0	0.00		0	0.00		1989	96.04		82	3.96		2071	2.50
Canterbury North		26	1.64		27	1.70		13	0.82		0	0.00		0	0.00		1	0.06		10	0.63		783	49.40		3	0.19		1	0.06		345	21.77		8	0.50		186	11.74		0	0.00		1	0.06		179	11.29		2	0.13		0	0.00		1585	97.00		49	3.00		1634	1.97
Canterbury South		34	1.17		20	0.69		26	0.89		1	0.03		0	0.00		0	0.00		26	0.89		1470	50.50		15	0.52		0	0.00		552	18.96		12	0.41		339	11.65		1	0.03		5	0.17		410	14.08		0	0.00		0	0.00		2911	96.81		96	3.19		3007	3.63
Chatham		32	1.92		24	1.44		19	1.14		2	0.12		0	0.00		0	0.00		15	0.90		755	45.37		3	0.18		0	0.00		360	21.63		28	1.68		205	12.32		0	0.00		1	0.06		220	13.22		0	0.00		0	0.00		1664	96.18		66	3.82		1730	2.09
Cotham		36	1.66		25	1.15		17	0.78		1	0.05		3	0.14		0	0.00		19	0.88		1282	59.08		10	0.46		0	0.00		324	14.93		7	0.32		227	10.46		1	0.05		1	0.05		217	10.00		0	0.00		0	0.00		2170	95.38		105	4.62		2275	2.75
Deepdene		15	1.26		9	0.76		13	1.10		0	0.00		1	0.08		0	0.00		12	1.01		676	57.00		8	0.67		1	0.08		202	17.03		2	0.17		123	10.37		0	0.00		0	0.00		123	10.37		1	0.08		0	0.00		1186	97.53		30	2.47		1216	1.47
Glenferrie		37	1.29		43	1.50		25	0.87		4	0.14		0	0.00		1	0.03		27	0.94		1224	42.72		16	0.56		2	0.07		672	23.46		7	0.24		408	14.24		0	0.00		5	0.17		388	13.54		2	0.07		4	0.14		2865	95.79		126	4.21		2991	3.61
Glenferrie Central		30	2.14		16	1.14		14	1.00		0	0.00		0	0.00		0	0.00		9	0.64		579	41.36		5	0.36		1	0.07		297	21.21		4	0.29		210	15.00		0	0.00		1	0.07		231	16.50		2	0.14		1	0.07		1400	93.71		94	6.29		1494	1.80
