Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Batman (89998)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alphington		19	1.38		20	1.45		29	2.11		0	0.00		2	0.15		0	0.00		10	0.73		297	21.58		3	0.22		0	0.00		476	34.59		4	0.29		161	11.70		0	0.00		0	0.00		339	24.64		14	1.02		2	0.15		1376	96.02		57	3.98		1433	1.70
Alphington North		32	2.37		39	2.89		28	2.08		0	0.00		0	0.00		0	0.00		15	1.11		280	20.77		6	0.45		0	0.00		632	46.88		1	0.07		138	10.24		0	0.00		1	0.07		176	13.06		0	0.00		0	0.00		1348	91.95		118	8.05		1466	1.74
Bell		31	1.70		69	3.79		50	2.75		2	0.11		1	0.05		2	0.11		28	1.54		324	17.79		6	0.33		1	0.05		916	50.30		3	0.16		169	9.28		0	0.00		2	0.11		213	11.70		4	0.22		0	0.00		1821	90.64		188	9.36		2009	2.38
Boldrewood		48	2.86		81	4.83		12	0.72		4	0.24		1	0.06		2	0.12		36	2.15		327	19.51		5	0.30		1	0.06		997	59.49		5	0.30		78	4.65		0	0.00		0	0.00		79	4.71		0	0.00		0	0.00		1676	92.34		139	7.66		1815	2.15
Burbank		21	1.98		52	4.89		11	1.03		0	0.00		1	0.09		0	0.00		14	1.32		234	22.01		3	0.28		1	0.09		661	62.18		5	0.47		41	3.86		1	0.09		0	0.00		18	1.69		0	0.00		0	0.00		1063	89.63		123	10.37		1186	1.40
Croxton		21	1.50		37	2.64		18	1.29		2	0.14		2	0.14		0	0.00		12	0.86		199	14.21		5	0.36		1	0.07		692	49.43		2	0.14		136	9.71		1	0.07		0	0.00		269	19.21		3	0.21		0	0.00		1400	91.92		123	8.08		1523	1.80
Faircote		11	2.21		20	4.02		11	2.21		0	0.00		1	0.20		0	0.00		8	1.61		100	20.12		3	0.60		1	0.20		269	54.12		1	0.20		27	5.43		0	0.00		1	0.20		44	8.85		0	0.00		0	0.00		497	87.96		68	12.04		565	0.67
Fairfield		34	1.65		35	1.69		47	2.28		1	0.05		0	0.00		1	0.05		19	0.92		402	19.47		8	0.39		0	0.00		895	43.34		2	0.10		216	10.46		2	0.10		1	0.05		395	19.13		5	0.24		2	0.10		2065	92.60		165	7.40		2230	2.64
Fairfield North		10	0.94		15	1.41		18	1.69		0	0.00		0	0.00		3	0.28		7	0.66		231	21.67		6	0.56		0	0.00		467	43.81		2	0.19		88	8.26		1	0.09		1	0.09		213	19.98		4	0.38		0	0.00		1066	91.98		93	8.02		1159	1.37
Keon Park		11	1.47		37	4.95		13	1.74		1	0.13		2	0.27		0	0.00		21	2.81		165	22.09		2	0.27		1	0.13		443	59.30		3	0.40		31	4.15		1	0.13		0	0.00		16	2.14		0	0.00		0	0.00		747	88.30		99	11.70		846	1.00
Kingsbury		57	3.07		62	3.34		18	0.97		4	0.22		5	0.27		1	0.05		40	2.15		440	23.67		12	0.65		1	0.05		992	53.36		7	0.38		129	6.94		0	0.00		3	0.16		88	4.73		0	0.00		0	0.00		1859	92.81		144	7.19		2003	2.37
Melbourne (Batman)		1	0.81		4	3.23		2	1.61		0	0.00		1	0.81		0	0.00		1	0.81		22	17.74		2	1.61		0	0.00		51	41.13		0	0.00		16	12.90		0	0.00		0	0.00		23	18.55		1	0.81		0	0.00		124	95.38		6	4.62		130	0.15
Merrilands		43	2.33		90	4.87		21	1.14		0	0.00		2	0.11		1	0.05		41	2.22		345	18.67		7	0.38		2	0.11		1193	64.56		8	0.43		61	3.30		1	0.05		0	0.00		32	1.73		0	0.00		1	0.05		1848	93.38		131	6.62		1979	2.34
Murray		25	2.13		37	3.15		40	3.41		4	0.34		0	0.00		0	0.00		16	1.36		269	22.93		3	0.26		0	0.00		607	51.75		4	0.34		67	5.71		0	0.00		1	0.09		99	8.44		1	0.09		0	0.00		1173	88.06		159	11.94		1332	1.58
Newlands		23	1.69		45	3.31		41	3.02		3	0.22		0	0.00		3	0.22		16	1.18		252	18.56		6	0.44		0	0.00		780	57.44		3	0.22		95	7.00		0	0.00		2	0.15		87	6.41		2	0.15		0	0.00		1358	90.71		139	9.29		1497	1.77
Northcote		48	1.48		63	1.95		94	2.90		3	0.09		1	0.03		1	0.03		19	0.59		479	14.79		13	0.40		1	0.03		1403	43.33		10	0.31		375	11.58		0	0.00		2	0.06		708	21.87		16	0.49		2	0.06		3238	92.46		264	7.54		3502	4.15
Northcote North		34	2.19		60	3.86		21	1.35		3	0.19		2	0.13		2	0.13		12	0.77		266	17.11		7	0.45		2	0.13		798	51.32		8	0.51		139	8.94		0	0.00		0	0.00		196	12.60		4	0.26		1	0.06		1555	91.15		151	8.85		1706	2.02
Northcote South		28	1.12		51	2.04		32	1.28		2	0.08		0	0.00		0	0.00		18	0.72		386	15.45		5	0.20		0	0.00		1121	44.86		6	0.24		263	10.52		0	0.00		1	0.04		577	23.09		9	0.36		0	0.00		2499	93.11		185	6.89		2684	3.18
Northcote West		10	1.22		7	0.85		24	2.93		0	0.00		1	0.12		1	0.12		7	0.85		131	15.98		3	0.37		0	0.00		299	36.46		1	0.12		95	11.59		0	0.00		0	0.00		237	28.90		3	0.37		1	0.12		820	95.68		37	4.32		857	1.02
Oakhill		27	2.18		49	3.95		23	1.86		2	0.16		0	0.00		0	0.00		16	1.29		310	25.02		3	0.24		2	0.16		668	53.91		7	0.56		69	5.57		1	0.08		0	0.00		62	5.00		0	0.00		0	0.00		1239	91.71		112	8.29		1351	1.60
