House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences																						
By Polling Place																						
Aston																						
				LEVICK			PEARCE			KENDALL			BOLAND			MITCHELL			KIR			
				Ray			Chris			Ruth			Kieran			Doug			Mick			
				CTA			LP			DEM			ALP			CEC			GRN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bayswater                                                      																						
	FIRST			39	1.59		1009	41.02		196	7.97		1072	43.58		12	0.49		132	5.37		2460
	SECOND			2	16.67		6	50.00		0	0.00		1	8.33			Excluded		3	25.00		12
		TOTAL		41	1.67		1015	41.26		196	7.97		1073	43.62					135	5.49		2460
	THIRD				Excluded		19	46.34		7	17.07		5	12.20					10	24.39		41
		TOTAL					1034	42.03		203	8.25		1078	43.82					145	5.89		2460
	FOURTH						17	11.72		97	66.90		31	21.38						Excluded		145
		TOTAL					1051	42.72		300	12.20		1109	45.08								2460
	FIFTH						111	37.00			Excluded		189	63.00								300
		TOTAL					1162	47.24					1298	52.76								2460
							Elected															
																						
Bayswater South                                                																						
	FIRST			17	1.36		595	47.52		78	6.23		502	40.10		9	0.72		51	4.07		1252
	SECOND			4	44.44		2	22.22		1	11.11		0	0.00			Excluded		2	22.22		9
		TOTAL		21	1.68		597	47.68		79	6.31		502	40.10					53	4.23		1252
	THIRD				Excluded		6	28.57		3	14.29		4	19.05					8	38.10		21
		TOTAL					603	48.16		82	6.55		506	40.42					61	4.87		1252
	FOURTH						6	9.84		35	57.38		20	32.79						Excluded		61
		TOTAL					609	48.64		117	9.35		526	42.01								1252
	FIFTH						42	35.90			Excluded		75	64.10								117
		TOTAL					651	52.00					601	48.00								1252
							Elected															
																						
Bayswater West                                                 																						
	FIRST			21	1.13		907	48.82		113	6.08		749	40.31		9	0.48		59	3.18		1858
	SECOND			0	0.00		2	22.22		1	11.11		3	33.33			Excluded		3	33.33		9
		TOTAL		21	1.13		909	48.92		114	6.14		752	40.47					62	3.34		1858
	THIRD				Excluded		12	57.14		4	19.05		1	4.76					4	19.05		21
		TOTAL					921	49.57		118	6.35		753	40.53					66	3.55		1858
	FOURTH						7	10.61		32	48.48		27	40.91						Excluded		66
		TOTAL					928	49.95		150	8.07		780	41.98								1858
	FIFTH						60	40.00			Excluded		90	60.00								150
		TOTAL					988	53.18					870	46.82								1858
							Elected															
																						
Blackwood Park                                                 																						
	FIRST			15	1.06		695	49.05		95	6.70		533	37.61		3	0.21		76	5.36		1417
	SECOND			0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		3
		TOTAL		15	1.06		695	49.05		95	6.70		536	37.83					76	5.36		1417
	THIRD				Excluded		8	53.33		2	13.33		2	13.33					3	20.00		15
		TOTAL					703	49.61		97	6.85		538	37.97					79	5.58		1417
	FOURTH						13	16.46		40	50.63		26	32.91						Excluded		79
		TOTAL					716	50.53		137	9.67		564	39.80								1417
	FIFTH						53	38.69			Excluded		84	61.31								137
		TOTAL					769	54.27					648	45.73								1417
							Elected															
																						
Charlesworth Park                                              																						
	FIRST			40	1.20		1773	53.21		184	5.52		1166	34.99		6	0.18		163	4.89		3332
	SECOND			0	0.00		1	16.67		2	33.33		2	33.33			Excluded		1	16.67		6
		TOTAL		40	1.20		1774	53.24		186	5.58		1168	35.05					164	4.92		3332
	THIRD				Excluded		27	67.50		3	7.50		5	12.50					5	12.50		40
		TOTAL					1801	54.05		189	5.67		1173	35.20					169	5.07		3332
	FOURTH						14	8.28		106	62.72		49	28.99						Excluded		169
		TOTAL					1815	54.47		295	8.85		1222	36.67								3332
	FIFTH						110	37.29			Excluded		185	62.71								295
		TOTAL					1925	57.77					1407	42.23								3332
							Elected															
																						
Eastmont                                                       																						
	FIRST			19	1.10		925	53.72		120	6.97		587	34.09		6	0.35		65	3.77		1722
	SECOND			3	50.00		1	16.67		1	16.67		0	0.00			Excluded		1	16.67		6
		TOTAL		22	1.28		926	53.77		121	7.03		587	34.09					66	3.83		1722
	THIRD				Excluded		8	36.36		7	31.82		3	13.64					4	18.18		22
		TOTAL					934	54.24		128	7.43		590	34.26					70	4.07		1722
	FOURTH						7	10.00		38	54.29		25	35.71						Excluded		70
		TOTAL					941	54.65		166	9.64		615	35.71								1722
	FIFTH						77	46.39			Excluded		89	53.61								166
		TOTAL					1018	59.12					704	40.88								1722
							Elected															
																						
Flamingo                                                       																						
	FIRST			23	1.07		1229	57.38		112	5.23		731	34.13		4	0.19		43	2.01		2142
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		4
		TOTAL		24	1.12		1229	57.38		112	5.23		733	34.22					44	2.05		2142
	THIRD				Excluded		18	75.00		3	12.50		3	12.50					0	0.00		24
		TOTAL					1247	58.22		115	5.37		736	34.36					44	2.05		2142
	FOURTH						9	20.45		19	43.18		16	36.36						Excluded		44
		TOTAL					1256	58.64		134	6.26		752	35.11								2142
	FIFTH						62	46.27			Excluded		72	53.73								134
		TOTAL					1318	61.53					824	38.47								2142
							Elected															
																						
Heany Park                                                     																						
	FIRST			48	1.21		2034	51.38		246	6.21		1522	38.44		7	0.18		102	2.58		3959
	SECOND			2	28.57		0	0.00		2	28.57		0	0.00			Excluded		3	42.86		7
		TOTAL		50	1.26		2034	51.38		248	6.26		1522	38.44					105	2.65		3959
	THIRD				Excluded		35	70.00		6	12.00		7	14.00					2	4.00		50
		TOTAL					2069	52.26		254	6.42		1529	38.62					107	2.70		3959
	FOURTH						16	14.95		67	62.62		24	22.43						Excluded		107
		TOTAL					2085	52.66		321	8.11		1553	39.23								3959
	FIFTH						139	43.30			Excluded		182	56.70								321
		TOTAL					2224	56.18					1735	43.82								3959
							Elected															
																						
Heathmont (Aston)                                              																						
	FIRST			17	2.04		441	52.88		72	8.63		243	29.14		7	0.84		54	6.47		834
	SECOND			3	42.86		0	0.00		0	0.00		1	14.29			Excluded		3	42.86		7
		TOTAL		20	2.40		441	52.88		72	8.63		244	29.26					57	6.83		834
	THIRD				Excluded		16	80.00		2	10.00		0	0.00					2	10.00		20
		TOTAL					457	54.80		74	8.87		244	29.26					59	7.07		834
	FOURTH						10	16.95		28	47.46		21	35.59						Excluded		59
		TOTAL					467	56.00		102	12.23		265	31.77								834
	FIFTH						29	28.43			Excluded		73	71.57								102
		TOTAL					496	59.47					338	40.53								834
							Elected															
																						
Heathmont East                                                 																						
	FIRST			16	1.42		601	53.37		80	7.10		360	31.97		6	0.53		63	5.60		1126
	SECOND			1	16.67		2	33.33		2	33.33		0	0.00			Excluded		1	16.67		6
		TOTAL		17	1.51		603	53.55		82	7.28		360	31.97					64	5.68		1126
	THIRD				Excluded		7	41.18		3	17.65		2	11.76					5	29.41		17
		TOTAL					610	54.17		85	7.55		362	32.15					69	6.13		1126
	FOURTH						10	14.49		37	53.62		22	31.88						Excluded		69
		TOTAL					620	55.06		122	10.83		384	34.10								1126
	FIFTH						54	44.26			Excluded		68	55.74								122
		TOTAL					674	59.86					452	40.14								1126
							Elected															
																						
Heathmont High                                                 																						
	FIRST			14	0.94		778	52.18		122	8.18		476	31.92		10	0.67		91	6.10		1491
	SECOND			2	20.00		0	0.00		2	20.00		2	20.00			Excluded		4	40.00		10
		TOTAL		16	1.07		778	52.18		124	8.32		478	32.06					95	6.37		1491
	THIRD				Excluded		5	31.25		6	37.50		1	6.25					4	25.00		16
		TOTAL					783	52.52		130	8.72		479	32.13					99	6.64		1491
	FOURTH						17	17.17		49	49.49		33	33.33						Excluded		99
		TOTAL					800	53.66		179	12.01		512	34.34								1491
	FIFTH						66	36.87			Excluded		113	63.13								179
		TOTAL					866	58.08					625	41.92								1491
							Elected															
																						
Karoo                                                          																						
	FIRST			27	1.23		1120	50.93		138	6.28		854	38.84		3	0.14		57	2.59		2199
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67			Excluded		1	33.33		3
		TOTAL		27	1.23		1120	50.93		138	6.28		856	38.93					58	2.64		2199
	THIRD				Excluded		19	70.37		2	7.41		4	14.81					2	7.41		27
		TOTAL					1139	51.80		140	6.37		860	39.11					60	2.73		2199
	FOURTH						12	20.00		26	43.33		22	36.67						Excluded		60
		TOTAL					1151	52.34		166	7.55		882	40.11								2199
	FIFTH						79	47.59			Excluded		87	52.41								166
		TOTAL					1230	55.93					969	44.07								2199
							Elected															
																						
Knox Gardens                                                   																						
	FIRST			34	1.12		1551	51.26		233	7.70		1121	37.05		10	0.33		77	2.54		3026
	SECOND			3	30.00		3	30.00		1	10.00		1	10.00			Excluded		2	20.00		10
		TOTAL		37	1.22		1554	51.35		234	7.73		1122	37.08					79	2.61		3026
	THIRD				Excluded		25	67.57		4	10.81		5	13.51					3	8.11		37
		TOTAL					1579	52.18		238	7.87		1127	37.24					82	2.71		3026
	FOURTH						7	8.54		46	56.10		29	35.37						Excluded		82
		TOTAL					1586	52.41		284	9.39		1156	38.20								3026
	FIFTH						130	45.77			Excluded		154	54.23								284
		TOTAL					1716	56.71					1310	43.29								3026
							Elected															
																						
Knoxfield                                                      																						
	FIRST			47	1.50		1434	45.63		249	7.92		1249	39.74		10	0.32		154	4.90		3143
	SECOND			1	10.00		4	40.00		1	10.00		3	30.00			Excluded		1	10.00		10
		TOTAL		48	1.53		1438	45.75		250	7.95		1252	39.83					155	4.93		3143
	THIRD				Excluded		26	54.17		8	16.67		5	10.42					9	18.75		48
		TOTAL					1464	46.58		258	8.21		1257	39.99					164	5.22		3143
	FOURTH						16	9.76		109	66.46		39	23.78						Excluded		164
		TOTAL					1480	47.09		367	11.68		1296	41.23								3143
	FIFTH						147	40.05			Excluded		220	59.95								367
		TOTAL					1627	51.77					1516	48.23								3143
							Elected															
																						
Knoxfield North                                                																						
	FIRST			20	1.37		754	51.50		103	7.04		530	36.20		5	0.34		52	3.55		1464
	SECOND			2	40.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		5
		TOTAL		22	1.50		754	51.50		104	7.10		530	36.20					54	3.69		1464
	THIRD				Excluded		10	45.45		3	13.64		2	9.09					7	31.82		22
		TOTAL					764	52.19		107	7.31		532	36.34					61	4.17		1464
	FOURTH						10	16.39		28	45.90		23	37.70						Excluded		61
		TOTAL					774	52.87		135	9.22		555	37.91								1464
	FIFTH						48	35.56			Excluded		87	64.44								135
		TOTAL					822	56.15					642	43.85								1464
							Elected															
																						
Lysterfield                                                    																						
	FIRST			20	1.24		932	57.89		102	6.34		519	32.24		4	0.25		33	2.05		1610
	SECOND			0	0.00		2	50.00		0	0.00		2	50.00			Excluded		0	0.00		4
		TOTAL		20	1.24		934	58.01		102	6.34		521	32.36					33	2.05		1610
	THIRD				Excluded		15	75.00		1	5.00		3	15.00					1	5.00		20
		TOTAL					949	58.94		103	6.40		524	32.55					34	2.11		1610
	FOURTH						5	14.71		20	58.82		9	26.47						Excluded		34
		TOTAL					954	59.25		123	7.64		533	33.11								1610
	FIFTH						49	39.84			Excluded		74	60.16								123
		TOTAL					1003	62.30					607	37.70								1610
							Elected															
																						
Melbourne (Aston)                                              																						
