House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Jagajaga																							
				WIGG			GALLAGHER			JONES			ROBERTS			MACKLIN			SCHOREL-HLAVKA				
				Peter			Paul			Brett Lloyd			Samantha			Jenny			Gary				
				DEM			CEC			LP			GRN			ALP			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Banyule                                                        																							
	FIRST			141	5.72		7	0.28		1014	41.12		131	5.31		1158	46.96		15	0.61		2466	
	SECOND			1	14.29			Excluded		1	14.29		2	28.57		2	28.57		1	14.29		7	
		TOTAL		142	5.76					1015	41.16		133	5.39		1160	47.04		16	0.65		2466	
	THIRD			3	18.75					3	18.75		5	31.25		5	31.25			Excluded		16	
		TOTAL		145	5.88					1018	41.28		138	5.60		1165	47.24					2466	
	FOURTH			72	52.17					7	5.07			Excluded		59	42.75					138	
		TOTAL		217	8.80					1025	41.57					1224	49.64					2466	
	FIFTH				Excluded					55	25.35					162	74.65					217	
		TOTAL								1080	43.80					1386	56.20					2466	
																Elected							
																							
Briar Hill                                                     																							
	FIRST			188	7.30		8	0.31		1052	40.87		172	6.68		1132	43.98		22	0.85		2574	
	SECOND			1	12.50			Excluded		1	12.50		1	12.50		2	25.00		3	37.50		8	
		TOTAL		189	7.34					1053	40.91		173	6.72		1134	44.06		25	0.97		2574	
	THIRD			5	20.00					4	16.00		8	32.00		8	32.00			Excluded		25	
		TOTAL		194	7.54					1057	41.06		181	7.03		1142	44.37					2574	
	FOURTH			103	56.91					16	8.84			Excluded		62	34.25					181	
		TOTAL		297	11.54					1073	41.69					1204	46.78					2574	
	FIFTH				Excluded					99	33.33					198	66.67					297	
		TOTAL								1172	45.53					1402	54.47					2574	
																Elected							
																							
Bundoora                                                       																							
	FIRST			82	4.16		5	0.25		642	32.54		74	3.75		1156	58.59		14	0.71		1973	
	SECOND			2	40.00			Excluded		2	40.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL		84	4.26					644	32.64		75	3.80		1156	58.59		14	0.71		1973	
	THIRD			2	14.29					6	42.86		2	14.29		4	28.57			Excluded		14	
		TOTAL		86	4.36					650	32.94		77	3.90		1160	58.79					1973	
	FOURTH			46	59.74					11	14.29			Excluded		20	25.97					77	
		TOTAL		132	6.69					661	33.50					1180	59.81					1973	
	FIFTH				Excluded					49	37.12					83	62.88					132	
		TOTAL								710	35.99					1263	64.01					1973	
																Elected							
																							
Eaglemont                                                      																							
	FIRST			58	4.30		2	0.15		704	52.23		96	7.12		486	36.05		2	0.15		1348	
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		59	4.38					705	52.30		96	7.12		486	36.05		2	0.15		1348	
	THIRD			1	50.00					0	0.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		60	4.45					705	52.30		96	7.12		487	36.13					1348	
	FOURTH			63	65.63					6	6.25			Excluded		27	28.13					96	
		TOTAL		123	9.12					711	52.74					514	38.13					1348	
	FIFTH				Excluded					28	22.76					95	77.24					123	
		TOTAL								739	54.82					609	45.18					1348	
																Elected							
																							
Eltham                                                         																							
	FIRST			346	8.77		4	0.10		1686	42.74		348	8.82		1540	39.04		21	0.53		3945	
	SECOND			2	50.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		4	
		TOTAL		348	8.82					1687	42.76		349	8.85		1540	39.04		21	0.53		3945	
	THIRD			5	23.81					8	38.10		5	23.81		3	14.29			Excluded		21	
		TOTAL		353	8.95					1695	42.97		354	8.97		1543	39.11					3945	
	FOURTH			219	61.86					22	6.21			Excluded		113	31.92					354	
		TOTAL		572	14.50					1717	43.52					1656	41.98					3945	
	FIFTH				Excluded					158	27.62					414	72.38					572	
		TOTAL								1875	47.53					2070	52.47					3945	
																Elected							
																							
Eltham East                                                    																							
	FIRST			322	10.02		5	0.16		1379	42.92		229	7.13		1255	39.06		23	0.72		3213	
	SECOND			2	40.00			Excluded		2	40.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL		324	10.08					1381	42.98		230	7.16		1255	39.06		23	0.72		3213	
	THIRD			8	34.78					4	17.39		7	30.43		4	17.39			Excluded		23	
		TOTAL		332	10.33					1385	43.11		237	7.38		1259	39.18					3213	
	FOURTH			146	61.60					17	7.17			Excluded		74	31.22					237	
		TOTAL		478	14.88					1402	43.64					1333	41.49					3213	
	FIFTH				Excluded					137	28.66					341	71.34					478	
		TOTAL								1539	47.90					1674	52.10					3213	
																Elected							
																							
Eltham North                                                   																							
	FIRST			153	7.79		7	0.36		842	42.87		190	9.67		764	38.90		8	0.41		1964	
	SECOND			2	28.57			Excluded		1	14.29		1	14.29		1	14.29		2	28.57		7	
		TOTAL		155	7.89					843	42.92		191	9.73		765	38.95		10	0.51		1964	
	THIRD			3	30.00					4	40.00		3	30.00		0	0.00			Excluded		10	
		TOTAL		158	8.04					847	43.13		194	9.88		765	38.95					1964	
	FOURTH			125	64.43					15	7.73			Excluded		54	27.84					194	
		TOTAL		283	14.41					862	43.89					819	41.70					1964	
	FIFTH				Excluded					71	25.09					212	74.91					283	
		TOTAL								933	47.51					1031	52.49					1964	
																Elected							
																							
Eltham Woods                                                   																							
	FIRST			54	6.44		2	0.24		413	49.23		54	6.44		309	36.83		7	0.83		839	
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		55	6.56					413	49.23		54	6.44		309	36.83		8	0.95		839	
	THIRD			3	37.50					0	0.00		3	37.50		2	25.00			Excluded		8	
		TOTAL		58	6.91					413	49.23		57	6.79		311	37.07					839	
	FOURTH			37	64.91					6	10.53			Excluded		14	24.56					57	
		TOTAL		95	11.32					419	49.94					325	38.74					839	
	FIFTH				Excluded					30	31.58					65	68.42					95	
		TOTAL								449	53.52					390	46.48					839	
																Elected							
																							
Fairy Hills                                                    																							
	FIRST			69	5.14		1	0.07		668	49.78		111	8.27		483	35.99		10	0.75		1342	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		69	5.14					668	49.78		111	8.27		483	35.99		11	0.82		1342	
	THIRD			4	36.36					1	9.09		3	27.27		3	27.27			Excluded		11	
		TOTAL		73	5.44					669	49.85		114	8.49		486	36.21					1342	
	FOURTH			61	53.51					18	15.79			Excluded		35	30.70					114	
		TOTAL		134	9.99					687	51.19					521	38.82					1342	
	FIFTH				Excluded					38	28.36					96	71.64					134	
		TOTAL								725	54.02					617	45.98					1342	
																Elected							
																							
Glen Katherine                                                 																							
	FIRST			229	7.33		6	0.19		1481	47.41		140	4.48		1251	40.04		17	0.54		3124	
	SECOND			2	33.33			Excluded		0	0.00		0	0.00		2	33.33		2	33.33		6	
		TOTAL		231	7.39					1481	47.41		140	4.48		1253	40.11		19	0.61		3124	
	THIRD			2	10.53					7	36.84		6	31.58		4	21.05			Excluded		19	
		TOTAL		233	7.46					1488	47.63		146	4.67		1257	40.24					3124	
	FOURTH			96	65.75					12	8.22			Excluded		38	26.03					146	
		TOTAL		329	10.53					1500	48.02					1295	41.45					3124	
	FIFTH				Excluded					114	34.65					215	65.35					329	
		TOTAL								1614	51.66					1510	48.34					3124	
																Elected							
																							
Golf Links                                                     																							
	FIRST			48	4.22		2	0.18		517	45.47		90	7.92		471	41.42		9	0.79		1137	
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		49	4.31					518	45.56		90	7.92		471	41.42		9	0.79		1137	
	THIRD			4	44.44					1	11.11		2	22.22		2	22.22			Excluded		9	
		TOTAL		53	4.66					519	45.65		92	8.09		473	41.60					1137	
	FOURTH			57	61.96					8	8.70			Excluded		27	29.35					92	
		TOTAL		110	9.67					527	46.35					500	43.98					1137	
	FIFTH				Excluded					40	36.36					70	63.64					110	
		TOTAL								567	49.87					570	50.13					1137	
																Elected							
																							
Grace Park                                                     																							
	FIRST			112	8.42		6	0.45		502	37.74		67	5.04		629	47.29		14	1.05		1330	
	SECOND			0	0.00			Excluded		1	16.67		2	33.33		1	16.67		2	33.33		6	
		TOTAL		112	8.42					503	37.82		69	5.19		630	47.37		16	1.20		1330	
	THIRD			3	18.75					6	37.50		6	37.50		1	6.25			Excluded		16	
		TOTAL		115	8.65					509	38.27		75	5.64		631	47.44					1330	
	FOURTH			52	69.33					5	6.67			Excluded		18	24.00					75	
		TOTAL		167	12.56					514	38.65					649	48.80					1330	
	FIFTH				Excluded					54	32.34					113	67.66					167	
		TOTAL								568	42.71					762	57.29					1330	
																Elected							
																							
Greensborough Central                                          																							
	FIRST			86	7.68		7	0.63		426	38.04		58	5.18		531	47.41		12	1.07		1120	
	SECOND			4	57.14			Excluded		0	0.00		0	0.00		1	14.29		2	28.57		7	
		TOTAL		90	8.04					426	38.04		58	5.18		532	47.50		14	1.25		1120	
	THIRD			4	28.57					2	14.29		6	42.86		2	14.29			Excluded		14	
		TOTAL		94	8.39					428	38.21		64	5.71		534	47.68					1120	
	FOURTH			31	48.44					10	15.63			Excluded		23	35.94					64	
		TOTAL		125	11.16					438	39.11					557	49.73					1120	
	FIFTH				Excluded					50	40.00					75	60.00					125	
		TOTAL								488	43.57					632	56.43					1120	
																Elected							
																							
Haig                                                           																							
	FIRST			79	3.93		15	0.75		493	24.53		124	6.17		1280	63.68		19	0.95		2010	
	SECOND			4	26.67			Excluded		3	20.00		2	13.33		3	20.00		3	20.00		15	
		TOTAL		83	4.13					496	24.68		126	6.27		1283	63.83		22	1.09		2010	
	THIRD			5	22.73					6	27.27		5	22.73		6	27.27			Excluded		22	
		TOTAL		88	4.38					502	24.98		131	6.52		1289	64.13					2010	
	FOURTH			94	71.76					4	3.05			Excluded		33	25.19					131	
		TOTAL		182	9.05					506	25.17					1322	65.77					2010	
	FIFTH				Excluded					42	23.08					140	76.92					182	
		TOTAL								548	27.26					1462	72.74					2010	
																Elected							
																							
Heidelberg                                                     																							
	FIRST			240	7.30		11	0.33		1320	40.17		253	7.70		1433	43.61		29	0.88		3286	
	SECOND			3	27.27			Excluded		5	45.45		1	9.09		0	0.00		2	18.18		11	
		TOTAL		243	7.40					1325	40.32		254	7.73		1433	43.61		31	0.94		3286	
	THIRD			4	12.90					4	12.90		17	54.84		6	19.35			Excluded		31	
