House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Chisholm (86680)																																
	CLOWES			BENNETT			# BURKE			MURRAY			TANKEY			FORMAL			INFORMAL			TOTAL										
	Ros			James			Anna			John			Howard												Two Candidate Preferred							
	LP			DEM			ALP			NGST			GRN												 CLOWES LP			# BURKE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Ashwood	1476	40.85		233	6.45		1612	44.62		60	1.66		232	6.42		3613	97.10		108	2.90		3721	4.51		1618	44.78		1995	55.22			
Bennettswood	1179	42.32		136	4.88		1306	46.88		37	1.33		128	4.59		2786	95.97		117	4.03		2903	3.52		1268	45.51		1518	54.49			
Box Hill	701	36.04		134	6.89		923	47.46		13	0.67		174	8.95		1945	95.95		82	4.05		2027	2.46		782	40.21		1163	59.79			
Box Hill Central	582	37.72		94	6.09		737	47.76		7	0.45		123	7.97		1543	97.47		40	2.53		1583	1.92		625	40.51		918	59.49			
Box Hill North	537	40.56		83	6.27		597	45.09		8	0.60		99	7.48		1324	97.35		36	2.65		1360	1.65		574	43.35		750	56.65			
Box Hill South	696	40.12		127	7.32		784	45.19		12	0.69		116	6.69		1735	96.55		62	3.45		1797	2.18		756	43.57		979	56.43			
Burwood Central	869	44.86		118	6.09		767	39.60		18	0.93		165	8.52		1937	96.95		61	3.05		1998	2.42		948	48.94		989	51.06			
Chadstone East	749	33.11		153	6.76		1209	53.45		26	1.15		125	5.53		2262	96.26		88	3.74		2350	2.85		810	35.81		1452	64.19
Clayton	468	28.54		107	6.52		973	59.33		18	1.10		74	4.51		1640	95.46		78	4.54		1718	2.08		511	31.16		1129	68.84
Clayton East	397	30.14		78	5.92		787	59.76		17	1.29		38	2.89		1317	95.85		57	4.15		1374	1.67		426	32.35		891	67.65
Clayton North	547	31.51		105	6.05		949	54.67		28	1.61		107	6.16		1736	95.96		73	4.04		1809	2.19		601	34.62		1135	65.38
Elgar Park	928	49.65		121	6.47		638	34.14		11	0.59		171	9.15		1869	97.85		41	2.15		1910	2.32		1000	53.50		869	46.50
Essex Heights	1509	48.32		186	5.96		1205	38.58		59	1.89		164	5.25		3123	97.38		84	2.62		3207	3.89		1645	52.67		1478	47.33
Glendal	1331	50.82		165	6.30		998	38.11		16	0.61		109	4.16		2619	97.04		80	2.96		2699	3.27		1413	53.95		1206	46.05
