House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences																															
By Polling Place																															
Bendigo																															
				GIBBONS			BARROW			ZEGERS			PASQUARELLI			LILLEY			SHARKEY			SMITH			RIVENDELL			ARNOLD			
				Steve			Ron			Karel			John			Helen			Maurie			Neil H			Bruce			Phil			
				ALP						IND			IND			DEM			LP			HAN			GRN			CTA			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Axedale                                                        																															
	FIRST			191	34.73		3	0.55		6	1.09		9	1.64		13	2.36		298	54.18		11	2.00		13	2.36		6	1.09		550
	SECOND			0	0.00			Excluded		1	33.33		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		191	34.73					7	1.27		9	1.64		14	2.55		299	54.36		11	2.00		13	2.36		6	1.09		550
	THIRD			0	0.00					2	22.22			Excluded		0	0.00		2	22.22		3	33.33		0	0.00		2	22.22		9
		TOTAL		191	34.73					9	1.64					14	2.55		301	54.73		14	2.55		13	2.36		8	1.45		550
	FOURTH			2	25.00					1	12.50					0	0.00		3	37.50		1	12.50		1	12.50			Excluded		8
		TOTAL		193	35.09					10	1.82					14	2.55		304	55.27		15	2.73		14	2.55					550
	FIFTH			3	30.00						Excluded					1	10.00		2	20.00		3	30.00		1	10.00					10
		TOTAL		196	35.64											15	2.73		306	55.64		18	3.27		15	2.73					550
	SIXTH			5	27.78											3	16.67		9	50.00			Excluded		1	5.56					18
		TOTAL		201	36.55											18	3.27		315	57.27					16	2.91					550
	SEVENTH			5	27.78												Excluded		8	44.44					5	27.78					18
		TOTAL		206	37.45														323	58.73					21	3.82					550
	EIGHTH			17	80.95														4	19.05						Excluded					21
		TOTAL		223	40.55														327	59.45											550
				Elected																											
																															
Bealiba                                                        																															
	FIRST			67	35.83		1	0.53		2	1.07		4	2.14		4	2.14		90	48.13		12	6.42		7	3.74		0	0.00		187
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		67	35.83					2	1.07		5	2.67		4	2.14		90	48.13		12	6.42		7	3.74		0	0.00		187
	THIRD			1	20.00					3	60.00			Excluded		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		68	36.36					5	2.67					4	2.14		90	48.13		13	6.95		7	3.74		0	0.00		187
	FOURTH			0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		68	36.36					5	2.67					4	2.14		90	48.13		13	6.95		7	3.74					187
	FIFTH			0	0.00						Excluded					0	0.00		4	80.00		1	20.00		0	0.00					5
		TOTAL		68	36.36											4	2.14		94	50.27		14	7.49		7	3.74					187
	SIXTH			3	21.43											1	7.14		7	50.00			Excluded		3	21.43					14
		TOTAL		71	37.97											5	2.67		101	54.01					10	5.35					187
	SEVENTH			1	20.00												Excluded		0	0.00					4	80.00					5
		TOTAL		72	38.50														101	54.01					14	7.49					187
	EIGHTH			9	64.29														5	35.71						Excluded					14
		TOTAL		81	43.32														106	56.68											187
				Elected																											
																															
Bendigo Base Hospital                                          																															
