House of Representatives - 2001 Election: Victoria																													
First Preference Votes and TCP 																													
By Candidate by Polling Place																													

Lalor (89277)																													
	HOWE			MCCONNELL			BRIFFA			# GILLARD			FORMAL			INFORMAL			TOTAL										
	Roger			David V			Tony			Julia												Two Candidate Preferred							
	DEM			LP			GRN			ALP												 MCCONNELL LP			# GILLARD ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Altona	274	8.87		1035	33.50		155	5.02		1626	52.62		3090	95.05		161	4.95		3251	3.80		1170	37.86		1920	62.14			
Altona Bay	387	8.51		1058	23.28		179	3.94		2921	64.27		4545	95.81		199	4.19		4744	5.55		1189	26.16		3356	73.84			
Altona Meadows	287	7.57		797	21.03		125	3.30		2580	68.09		3789	95.13		194	4.87		3983	4.66		944	24.91		2845	75.09			
Altona West	154	8.23		553	29.54		95	5.07		1070	57.16		1872	94.98		99	5.02		1971	2.31		637	34.03		1235	65.97			
Ardeer East (Lalor)	24	7.08		60	17.70		5	1.47		250	73.75		339	91.62		31	8.38		370	0.43		73	21.53		266	78.47			
Ardeer South	206	8.80		385	16.44		45	1.92		1706	72.84		2342	94.25		143	5.75		2485	2.91		484	20.67		1858	79.33			
Bellbridge	392	8.94		1270	28.97		192	4.38		2530	57.71		4384	96.35		166	3.65		4550	5.32		1476	33.67		2908	66.33			
Cambridge	254	8.65		933	31.79		108	3.68		1640	55.88		2935	96.45		108	3.55		3043	3.56		1075	36.63		1860	63.37
Derrimut Heath	182	7.82		853	36.66		115	4.94		1177	50.58		2327	95.88		100	4.12		2427	2.84		912	39.19		1415	60.81
Exford	7	5.38		59	45.38		6	4.62		58	44.62		130	97.74		3	2.26		133	0.16		62	47.69		68	52.31
Galvin Park	289	8.52		1047	30.86		152	4.48		1905	56.15		3393	95.50		160	4.50		3553	4.16		1188	35.01		2205	64.99
Glengala (Lalor)	102	4.61		386	17.45		74	3.35		1650	74.59		2212	93.18		162	6.82		2374	2.78		460	20.80		1752	79.20
Glengala South	81	4.45		278	15.28		54	2.97		1406	77.30		1819	95.79		80	4.21		1899	2.22		335	18.42		1484	81.58
Glenorden	165	7.05		532	22.74		99	4.23		1543	65.97		2339	95.74		104	4.26		2443	2.86		649	27.75		1690	72.25
Iramoo	291	8.61		966	28.58		130	3.85		1993	58.96		3380	96.38		127	3.62		3507	4.10		1112	32.90		2268	67.10
Laverton	82	6.96		265	22.50		33	2.80		798	67.74		1178	95.23		59	4.77		1237	1.45		320	27.16		858	72.84
Laverton North	132	6.62		443	22.22		68	3.41		1351	67.75		1994	94.46		117	5.54		2111	2.47		509	25.53		1485	74.47
Little River	25	6.27		181	45.36		28	7.02		165	41.35		399	94.77		22	5.23		421	0.49		195	48.87		204	51.13
Manorvale	231	8.78		969	36.83		78	2.96		1353	51.43		2631	96.52		95	3.48		2726	3.19		1075	40.86		1556	59.14
Melbourne (Lalor)	9	11.11		27	33.33		11	13.58		34	41.98		81	94.19		5	5.81		86	0.10		33	40.74		48	59.26
Mossfiel	329	7.82		1333	31.67		164	3.90		2383	56.62		4209	95.42		202	4.58		4411	5.16		1495	35.52		2714	64.48
Point Cook	7	7.45		40	42.55		8	8.51		39	41.49		94	96.91		3	3.09		97	0.11		49	52.13		45	47.87
Seabrook	252	7.24		1118	32.11		99	2.84		2013	57.81		3482	95.35		170	4.65		3652	4.27		1266	36.36		2216	63.64
Seaholme	192	7.66		830	33.12		185	7.38		1299	51.84		2506	95.21		126	4.79		2632	3.08		939	37.47		1567	62.53			
The Grange	132	5.90		702	31.35		72	3.22		1333	59.54		2239	95.28		111	4.72		2350	2.75		788	35.19		1451	64.81			
Thomas Chirnside	96	5.80		564	34.10		45	2.72		949	57.38		1654	96.05		68	3.95		1722	2.01		616	37.24		1038	62.76			
Werribee	249	7.99		1371	44.00		137	4.40		1359	43.61		3116	95.76		138	4.24		3254	3.81		1523	48.88		1593	51.12			
Werribee Central	177	7.66		956	41.37		110	4.76		1068	46.21		2311	95.85		100	4.15		2411	2.82		1070	46.30		1241	53.70			
Werribee South	48	5.61		486	56.84		27	3.16		294	34.39		855	95.96		36	4.04		891	1.04		521	60.94		334	39.06			
Westgrove	145	8.02		471	26.04		58	3.21		1135	62.74		1809	96.53		65	3.47		1874	2.19		551	30.46		1258	69.54			
Woodville	236	7.86		1013	33.73		119	3.96		1635	54.45		3003	95.64		137	4.36		3140	3.67		1129	37.60		1874	62.40			
Special Hospitals	3	15.79		6	31.58		1	5.26		9	47.37		19	100.00		0	0.00		19	0.02		9	47.37		10	52.63			
Total Ordinary	5440	7.72		20987	29.78		2777	3.94		41272	58.56		70476	95.54		3291	4.46		73767	86.32		23854	33.85		46622	66.15			
ABSENT	385	9.67		1189	29.87		261	6.56		2145	53.89		3980	94.47		233	5.53		4213	4.93		1467	36.86		2513	63.14			
POSTAL	104	5.14		682	33.68		81	4.00		1158	57.19		2025	98.73		26	1.27		2051	2.40		759	37.48		1266	62.52			
PRE_POLL	325	6.87		1639	34.62		171	3.61		2599	54.90		4734	97.07		143	2.93		4877	5.71		1850	39.08		2884	60.92			
PROVISIONAL	43	8.16		137	26.00		31	5.88		316	59.96		527	95.47		25	4.53		552	0.65		168	31.88		359	68.12			
Division Summary	6297	7.70		24634	30.14		3321	4.06		47490	58.10		81742	95.65		3718	4.35		85460	95.72		28098	34.37		53644	65.63			
																													
																										
																										
																										
																										
