House of Representatives - 2001 Election: Victoria																
Distribution of Preferences 																
By Polling Place																
Casey																
				JOYCE			SMITH			LEACH			MCKENZIE			
				Tom			Tony			Lorraine			David			
				DEM			LP			GRN			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total
Bayswater North                                                																
	FIRST			279	8.83		1522	48.16		142	4.49		1217	38.51		3160
	SECOND			62	43.66		21	14.79			Excluded		59	41.55		142
		TOTAL		341	10.79		1543	48.83					1276	40.38		3160
	THIRD				Excluded		167	48.97					174	51.03		341
		TOTAL					1710	54.11					1450	45.89		3160
							Elected									
																
Bimbadeen Heights                                              																
	FIRST			172	8.86		955	49.18		125	6.44		690	35.53		1942
	SECOND			53	42.40		14	11.20			Excluded		58	46.40		125
		TOTAL		225	11.59		969	49.90					748	38.52		1942
	THIRD				Excluded		109	48.44					116	51.56		225
		TOTAL					1078	55.51					864	44.49		1942
							Elected									
																
Birmingham                                                     																
	FIRST			412	11.14		1785	48.26		340	9.19		1162	31.41		3699
	SECOND			134	39.41		37	10.88			Excluded		169	49.71		340
		TOTAL		546	14.76		1822	49.26					1331	35.98		3699
	THIRD				Excluded		232	42.49					314	57.51		546
		TOTAL					2054	55.53					1645	44.47		3699
							Elected									
																
Chirnside Park                                                 																
	FIRST			217	8.31		1468	56.20		87	3.33		840	32.16		2612
	SECOND			42	48.28		19	21.84			Excluded		26	29.89		87
		TOTAL		259	9.92		1487	56.93					866	33.15		2612
	THIRD				Excluded		124	47.88					135	52.12		259
		TOTAL					1611	61.68					1001	38.32		2612
							Elected									
																
Coldstream                                                     																
	FIRST			82	6.09		768	57.02		81	6.01		416	30.88		1347
	SECOND			28	34.57		8	9.88			Excluded		45	55.56		81
		TOTAL		110	8.17		776	57.61					461	34.22		1347
	THIRD				Excluded		55	50.00					55	50.00		110
		TOTAL					831	61.69					516	38.31		1347
							Elected									
																
Croydon                                                        																
	FIRST			83	6.59		584	46.35		89	7.06		504	40.00		1260
	SECOND			34	38.20		13	14.61			Excluded		42	47.19		89
		TOTAL		117	9.29		597	47.38					546	43.33		1260
	THIRD				Excluded		43	36.75					74	63.25		117
		TOTAL					640	50.79					620	49.21		1260
							Elected									
																
Croydon Central                                                																
	FIRST			245	9.08		1299	48.15		234	8.67		920	34.10		2698
	SECOND			101	43.16		29	12.39			Excluded		104	44.44		234
		TOTAL		346	12.82		1328	49.22					1024	37.95		2698
	THIRD				Excluded		127	36.71					219	63.29		346
		TOTAL					1455	53.93					1243	46.07		2698
							Elected									
																
Croydon East                                                   																
	FIRST			227	7.65		1461	49.21		197	6.64		1084	36.51		2969
	SECOND			74	37.56		24	12.18			Excluded		99	50.25		197
		TOTAL		301	10.14		1485	50.02					1183	39.85		2969
	THIRD				Excluded		138	45.85					163	54.15		301
		TOTAL					1623	54.66					1346	45.34		2969
							Elected									
																
Croydon Hills                                                  																
	FIRST			258	7.10		2128	58.54		165	4.54		1084	29.82		3635
	SECOND			64	38.79		20	12.12			Excluded		81	49.09		165
		TOTAL		322	8.86		2148	59.09					1165	32.05		3635
	THIRD				Excluded		148	45.96					174	54.04		322
		TOTAL					2296	63.16					1339	36.84		3635
							Elected									
																
Croydon North                                                  																
	FIRST			222	8.70		1263	49.49		191	7.48		876	34.33		2552
	SECOND			70	36.65		17	8.90			Excluded		104	54.45		191
		TOTAL		292	11.44		1280	50.16					980	38.40		2552
	THIRD				Excluded		124	42.47					168	57.53		292
		TOTAL					1404	55.02					1148	44.98		2552
							Elected									
																
Croydon West                                                   																
	FIRST			108	5.86		923	50.08		119	6.46		693	37.60		1843
	SECOND			53	44.54		13	10.92			Excluded		53	44.54		119
		TOTAL		161	8.74		936	50.79					746	40.48		1843
	THIRD				Excluded		54	33.54					107	66.46		161
		TOTAL					990	53.72					853	46.28		1843
							Elected									
																
Gruyere                                                        																
	FIRST			7	2.34		205	68.56		22	7.36		65	21.74		299
	SECOND			12	54.55		1	4.55			Excluded		9	40.91		22
		TOTAL		19	6.35		206	68.90					74	24.75		299
	THIRD				Excluded		9	47.37					10	52.63		19
		TOTAL					215	71.91					84	28.09		299
							Elected									
																
Kallista (Casey)                                               																
	FIRST			84	9.30		332	36.77		185	20.49		302	33.44		903
	SECOND			49	26.49		12	6.49			Excluded		124	67.03		185
		TOTAL		133	14.73		344	38.10					426	47.18		903
	THIRD				Excluded		36	27.07					97	72.93		133
		TOTAL					380	42.08					523	57.92		903
							Elected									
																
Kilsyth                                                        																
	FIRST			244	9.67		1154	45.72		157	6.22		969	38.39		2524
	SECOND			74	47.13		22	14.01			Excluded		61	38.85		157
		TOTAL		318	12.60		1176	46.59					1030	40.81		2524
	THIRD				Excluded		134	42.14					184	57.86		318
		TOTAL					1310	51.90					1214	48.10		2524
							Elected									
																
Kilsyth South                                                  																
	FIRST			93	6.11		738	48.46		96	6.30		596	39.13		1523
	SECOND			38	39.58		12	12.50			Excluded		46	47.92		96
		TOTAL		131	8.60		750	49.24					642	42.15		1523
	THIRD				Excluded		58	44.27					73	55.73		131
		TOTAL					808	53.05					715	46.95		1523
							Elected									
																
Lilydale                                                       																
	FIRST			287	9.92		1466	50.66		179	6.19		962	33.24		2894
	SECOND			65	36.31		25	13.97			Excluded		89	49.72		179
		TOTAL		352	12.16		1491	51.52					1051	36.32		2894
	THIRD				Excluded		157	44.60					195	55.40		352
		TOTAL					1648	56.95					1246	43.05		2894
							Elected									
																
Lilydale Lake                                                  																
	FIRST			188	9.55		1093	55.54		74	3.76		613	31.15		1968
	SECOND			37	50.00		7	9.46			Excluded		30	40.54		74
		TOTAL		225	11.43		1100	55.89					643	32.67		1968
	THIRD				Excluded		122	54.22					103	45.78		225
		TOTAL					1222	62.09					746	37.91		1968
							Elected									
																
Lilydale North                                                 																
	FIRST			75	10.19		353	47.96		31	4.21		277	37.64		736
	SECOND			12	38.71		5	16.13			Excluded		14	45.16		31
		TOTAL		87	11.82		358	48.64					291	39.54		736
	THIRD				Excluded		36	41.38					51	58.62		87
		TOTAL					394	53.53					342	46.47		736
							Elected									
																
Lilydale West                                                  																
	FIRST			253	8.25		1727	56.35		148	4.83		937	30.57		3065
	SECOND			57	38.51		26	17.57			Excluded		65	43.92		148
		TOTAL		310	10.11		1753	57.19					1002	32.69		3065
	THIRD				Excluded		177	57.10					133	42.90		310
		TOTAL					1930	62.97					1135	37.03		3065
							Elected									
																
Manchester                                                     																
	FIRST			118	6.46		895	48.99		85	4.65		729	39.90		1827
	SECOND			32	37.65		16	18.82			Excluded		37	43.53		85
		TOTAL		150	8.21		911	49.86					766	41.93		1827
	THIRD				Excluded		57	38.00					93	62.00		150
		TOTAL					968	52.98					859	47.02		1827
							Elected									
																
Melbourne (Casey)                                              																
	FIRST			12	22.64		26	49.06		6	11.32		9	16.98		53
	SECOND			2	33.33		3	50.00			Excluded		1	16.67		6
		TOTAL		14	26.42		29	54.72					10	18.87		53
	THIRD				Excluded		5	35.71					9	64.29		14
		TOTAL					34	64.15					19	35.85		53
							Elected									
																
Monbulk                                                        																
	FIRST			232	10.00		1148	49.46		272	11.72		669	28.82		2321
	SECOND			102	37.50		30	11.03			Excluded		140	51.47		272
		TOTAL		334	14.39		1178	50.75					809	34.86		2321
	THIRD				Excluded		137	41.02					197	58.98		334
		TOTAL					1315	56.66					1006	43.34		2321
							Elected									
																
Montrose                                                       																
	FIRST			289	8.96		1585	49.15		287	8.90		1064	32.99		3225
	SECOND			86	29.97		41	14.29			Excluded		160	55.75		287
		TOTAL		375	11.63		1626	50.42					1224	37.95		3225
	THIRD				Excluded		155	41.33					220	58.67		375
		TOTAL					1781	55.22					1444	44.78		3225
							Elected									
																
Montrose South                                                 																
	FIRST			108	9.42		596	52.01		99	8.64		343	29.93		1146
	SECOND			46	46.46		20	20.20			Excluded		33	33.33		99
		TOTAL		154	13.44		616	53.75					376	32.81		1146
	THIRD				Excluded		61	39.61					93	60.39		154
		TOTAL					677	59.08					469	40.92		1146
							Elected									
																
Mooroolbark                                                    																
	FIRST			216	9.16		1075	45.59		132	5.60		935	39.65		2358
	SECOND			49	37.12		14	10.61			Excluded		69	52.27		132
		TOTAL		265	11.24		1089	46.18					1004	42.58		2358
	THIRD				Excluded		123	46.42					142	53.58		265
		TOTAL					1212	51.40					1146	48.60		2358
							Elected									
																
Mooroolbark East                                               																
	FIRST			160	8.41		962	50.58		114	5.99		666	35.02		1902
	SECOND			46	40.35		10	8.77			Excluded		58	50.88		114
		TOTAL		206	10.83		972	51.10					724	38.07		1902
	THIRD				Excluded		83	40.29					123	59.71		206
		TOTAL					1055	55.47					847	44.53		1902
							Elected									
																
Mooroolbark South                                              																
	FIRST			158	7.81		1054	52.13		124	6.13		686	33.93		2022
	SECOND			40	32.26		13	10.48			Excluded		71	57.26		124
		TOTAL		198	9.79		1067	52.77					757	37.44		2022
	THIRD				Excluded		89	44.95					109	55.05		198
		TOTAL					1156	57.17					866	42.83		2022
							Elected									
																
Mount Dandenong (Casey)                                        																
	FIRST			57	9.22		225	36.41		108	17.48		228	36.89		618
	SECOND			44	40.74		12	11.11			Excluded		52	48.15		108
		TOTAL		101	16.34		237	38.35					280	45.31		618
	THIRD				Excluded		25	24.75					76	75.25		101
		TOTAL					262	42.39					356	57.61		618
							Elected									
																
Mount Evelyn                                                   																
	FIRST			90	9.37		437	45.47		83	8.64		351	36.52		961
	SECOND			31	37.35		7	8.43			Excluded		45	54.22		83
		TOTAL		121	12.59		444	46.20					396	41.21		961
	THIRD				Excluded		50	41.32					71	58.68		121
		TOTAL					494	51.40					467	48.60		961
							Elected									
																
Rolling Hills                                                  																
	FIRST			165	8.56		1052	54.56		89	4.62		622	32.26		1928
	SECOND			47	52.81		14	15.73			Excluded		28	31.46		89
		TOTAL		212	11.00		1066	55.29					650	33.71		1928
	THIRD				Excluded		99	46.70					113	53.30		212
		TOTAL					1165	60.43					763	39.57		1928
							Elected									
																
Seville                                                        																
	FIRST			114	7.25		831	52.83		137	8.71		491	31.21		1573
	SECOND			62	45.26		17	12.41			Excluded		58	42.34		137
		TOTAL		176	11.19		848	53.91					549	34.90		1573
	THIRD				Excluded		76	43.18					100	56.82		176
		TOTAL					924	58.74					649	41.26		1573
							Elected									
																
Silvan                                                         																
	FIRST			43	5.96		423	58.67		58	8.04		197	27.32		721
	SECOND			25	43.10		7	12.07			Excluded		26	44.83		58
		TOTAL		68	9.43		430	59.64					223	30.93		721
	THIRD				Excluded		31	45.59					37	54.41		68
		TOTAL					461	63.94					260	36.06		721
							Elected									
																
The Patch                                                      																
	FIRST			42	7.92		229	43.21		93	17.55		166	31.32		530
	SECOND			36	38.71		9	9.68			Excluded		48	51.61		93
		TOTAL		78	14.72		238	44.91					214	40.38		530
	THIRD				Excluded		27	34.62					51	65.38		78
		TOTAL					265	50.00					265	50.00		530
							Elected									
																
Wandin Yallock                                                 																
	FIRST			141	8.59		954	58.10		100	6.09		447	27.22		1642
	SECOND			43	43.00		10	10.00			Excluded		47	47.00		100
		TOTAL		184	11.21		964	58.71					494	30.09		1642
	THIRD				Excluded		93	50.54					91	49.46		184
		TOTAL					1057	64.37					585	35.63		1642
							Elected									
																
Yarra Road                                                     																
	FIRST			69	5.14		828	61.65		79	5.88		367	27.33		1343
	SECOND			34	43.04		11	13.92			Excluded		34	43.04		79
		TOTAL		103	7.67		839	62.47					401	29.86		1343
	THIRD				Excluded		63	61.17					40	38.83		103
		TOTAL					902	67.16					441	32.84		1343
							Elected									
																
Special Hospital Team 1                                        																
	FIRST			23	4.71		338	69.26		9	1.84		118	24.18		488
	SECOND			3	33.33		5	55.56			Excluded		1	11.11		9
		TOTAL		26	5.33		343	70.29					119	24.39		488
	THIRD				Excluded		11	42.31					15	57.69		26
		TOTAL					354	72.54					134	27.46		488
							Elected									
																
Special Hospital Team 2                                        																
	FIRST			20	4.27		302	64.53		12	2.56		134	28.63		468
	SECOND			5	41.67		3	25.00			Excluded		4	33.33		12
		TOTAL		25	5.34		305	65.17					138	29.49		468
	THIRD				Excluded		12	48.00					13	52.00		25
		TOTAL					317	67.74					151	32.26		468
							Elected									
																
ABSENT																
	FIRST			600	11.95		2304	45.90		517	10.30		1599	31.85		5020
	SECOND			287	55.51		82	15.86			Excluded		148	28.63		517
		TOTAL		887	17.67		2386	47.53					1747	34.80		5020
	THIRD				Excluded		383	43.18					504	56.82		887
		TOTAL					2769	55.16					2251	44.84		5020
							Elected									
																
POSTAL																
	FIRST			210	6.68		1935	61.55		136	4.33		863	27.45		3144
	SECOND			78	57.35		22	16.18			Excluded		36	26.47		136
		TOTAL		288	9.16		1957	62.25					899	28.59		3144
	THIRD				Excluded		113	39.24					175	60.76		288
		TOTAL					2070	65.84					1074	34.16		3144
							Elected									
																
PRE POLL																
	FIRST			291	8.55		1732	50.88		194	5.70		1187	34.87		3404
	SECOND			102	52.58		33	17.01			Excluded		59	30.41		194
		TOTAL		393	11.55		1765	51.85					1246	36.60		3404
	THIRD				Excluded		178	45.29					215	54.71		393
		TOTAL					1943	57.08					1461	42.92		3404
							Elected									
																
PROVISIONAL																
	FIRST			44	10.89		199	49.26		28	6.93		133	32.92		404
	SECOND			12	42.86		6	21.43			Excluded		10	35.71		28
		TOTAL		56	13.86		205	50.74					143	35.40		404
	THIRD				Excluded		19	33.93					37	66.07		56
		TOTAL					224	55.45					180	44.55		404
							Elected									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
