Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Corio (85836)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aberdeen		42	3.41		21	1.71		18	1.46		0	0.00		0	0.00		0	0.00		20	1.62		644	52.32		1	0.08		0	0.00		269	21.85		7	0.57		108	8.77		0	0.00		0	0.00		99	8.04		1	0.08		1	0.08		1231	95.80		54	4.20		1285	1.56
Anakie		8	1.82		5	1.14		4	0.91		1	0.23		0	0.00		0	0.00		20	4.55		223	50.68		0	0.00		0	0.00		110	25.00		9	2.05		28	6.36		0	0.00		0	0.00		32	7.27		0	0.00		0	0.00		440	94.42		26	5.58		466	0.57
Barwon		23	2.32		31	3.12		12	1.21		2	0.20		0	0.00		2	0.20		17	1.71		379	38.17		6	0.60		1	0.10		348	35.05		10	1.01		88	8.86		0	0.00		0	0.00		74	7.45		0	0.00		0	0.00		993	94.48		58	5.52		1051	1.28
Batesford		6	3.39		5	2.82		1	0.56		0	0.00		1	0.56		0	0.00		6	3.39		65	36.72		0	0.00		0	0.00		57	32.20		7	3.95		17	9.60		0	0.00		0	0.00		12	6.78		0	0.00		0	0.00		177	93.65		12	6.35		189	0.23
Bell Park		133	3.49		168	4.41		19	0.50		5	0.13		1	0.03		0	0.00		93	2.44		1222	32.08		14	0.37		1	0.03		1705	44.76		14	0.37		334	8.77		0	0.00		3	0.08		89	2.34		6	0.16		2	0.05		3809	89.43		450	10.57		4259	5.17
Breakwater		12	1.97		15	2.47		8	1.32		1	0.16		0	0.00		2	0.33		12	1.97		185	30.43		1	0.16		1	0.16		311	51.15		2	0.33		29	4.77		0	0.00		0	0.00		29	4.77		0	0.00		0	0.00		608	95.60		28	4.40		636	0.77
Britannia		33	2.62		34	2.70		21	1.67		2	0.16		1	0.08		1	0.08		21	1.67		417	33.10		2	0.16		0	0.00		553	43.89		6	0.48		92	7.30		1	0.08		1	0.08		75	5.95		0	0.00		0	0.00		1260	93.54		87	6.46		1347	1.64
Chilwell		58	2.21		39	1.49		25	0.95		4	0.15		0	0.00		3	0.11		33	1.26		1134	43.30		4	0.15		1	0.04		765	29.21		12	0.46		302	11.53		1	0.04		2	0.08		236	9.01		0	0.00		0	0.00		2619	96.07		107	3.93		2726	3.31
Clifton Springs		64	2.09		58	1.90		20	0.65		3	0.10		0	0.00		2	0.07		103	3.37		1305	42.70		6	0.20		0	0.00		1118	36.58		41	1.34		202	6.61		0	0.00		0	0.00		129	4.22		4	0.13		1	0.03		3056	96.46		112	3.54		3168	3.85
Corio		72	1.95		145	3.94		29	0.79		4	0.11		2	0.05		0	0.00		117	3.18		754	20.47		6	0.16		8	0.22		2239	60.79		11	0.30		155	4.21		1	0.03		8	0.22		115	3.12		17	0.46		0	0.00		3683	93.81		243	6.19		3926	4.77
Corio Central		56	1.87		110	3.67		23	0.77		2	0.07		2	0.07		1	0.03		83	2.77		646	21.54		5	0.17		4	0.13		1827	60.92		19	0.63		160	5.34		1	0.03		4	0.13		49	1.63		6	0.20		1	0.03		2999	94.58		172	5.42		3171	3.85
Corio West		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
Drysdale (Corio)		40	2.30		24	1.38		12	0.69		2	0.11		1	0.06		0	0.00		53	3.04		780	44.78		4	0.23		1	0.06		587	33.70		32	1.84		112	6.43		0	0.00		1	0.06		92	5.28		1	0.06		0	0.00		1742	93.76		116	6.24		1858	2.26
Fyans Park		22	2.06		14	1.31		11	1.03		0	0.00		1	0.09		0	0.00		11	1.03		604	56.55		7	0.66		0	0.00		253	23.69		7	0.66		77	7.21		0	0.00		0	0.00		61	5.71		0	0.00		0	0.00		1068	94.60		61	5.40		1129	1.37
Geelong East		52	2.10		60	2.42		23	0.93		1	0.04		2	0.08		3	0.12		39	1.58		906	36.61		13	0.53		4	0.16		881	35.60		12	0.48		231	9.33		0	0.00		4	0.16		243	9.82		0	0.00		1	0.04		2475	93.96		159	6.04		2634	3.20
Geelong West		28	0.96		69	2.37		14	0.48		4	0.14		1	0.03		1	0.03		59	2.03		901	30.98		1	0.03		5	0.17		1217	41.85		22	0.76		339	11.66		0	0.00		5	0.17		232	7.98		8	0.28		2	0.07		2908	93.75		194	6.25		3102	3.77
Hamlyn Heights		73	2.07		89	2.52		15	0.43		3	0.09		0	0.00		0	0.00		65	1.84		1324	37.53		9	0.26		1	0.03		1510	42.80		21	0.60		293	8.30		2	0.06		4	0.11		113	3.20		6	0.17		0	0.00		3528	92.28		295	7.72		3823	4.64
Herne Hill		14	1.13		31	2.50		12	0.97		2	0.16		1	0.08		1	0.08		26	2.10		434	35.03		5	0.40		1	0.08		549	44.31		7	0.56		105	8.47		0	0.00		0	0.00		48	3.87		2	0.16		1	0.08		1239	95.90		53	4.10		1292	1.57
Kardinia Park		17	1.89		19	2.11		12	1.33		0	0.00		1	0.11		0	0.00		12	1.33		316	35.15		2	0.22		0	0.00		365	40.60		11	1.22		82	9.12		0	0.00		0	0.00		62	6.90		0	0.00		0	0.00		899	93.35		64	6.65		963	1.17
Lara		76	2.22		92	2.69		33	0.97		2	0.06		1	0.03		3	0.09		103	3.02		1367	40.02		4	0.12		8	0.23		1295	37.91		18	0.53		271	7.93		0	0.00		3	0.09		139	4.07		1	0.03		0	0.00		3416	95.15		174	4.85		3590	4.36
