House of Representatives - 2001  Election: Victoria																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Corio (85836)																																									
	MENHEERE-THOMPSON			# O'CONNOR			GOODEN			MALESIC			HILL			TIRKOT			FAIRBROTHER			JOHNSON			FORMAL			INFORMAL			TOTAL										
	Erica			Gavan			Tim			Steve			Gareth			Herbert Georg			Cheryl			Catherine												Two Candidate Preferred							
	DEM			ALP						LP			CEC			HAN						GRN												# O'CONNOR ALP			 MALESIC LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aberdeen	100	8.14		323	26.30		5	0.41		680	55.37		2	0.16		15	1.22		3	0.24		100	8.14		1228	95.94		52	4.06		1280	1.56		467	38.03		761	61.97			
Anakie	19	4.27		132	29.66		3	0.67		238	53.48		2	0.45		17	3.82		2	0.45		32	7.19		445	95.49		21	4.51		466	0.57		174	39.10		271	60.90			
Barwon	84	8.35		422	41.95		9	0.89		408	40.56		0	0.00		7	0.70		4	0.40		72	7.16		1006	95.72		45	4.28		1051	1.28		535	53.18		471	46.82			
Batesford	19	10.61		69	38.55		0	0.00		74	41.34		0	0.00		7	3.91		1	0.56		9	5.03		179	94.71		10	5.29		189	0.23		92	51.40		87	48.60			
Bell Park	318	8.09		1955	49.75		49	1.25		1386	35.27		13	0.33		81	2.06		27	0.69		101	2.57		3930	92.25		330	7.75		4260	5.18		2342	59.59		1588	40.41			
Breakwater	26	4.28		355	58.48		1	0.16		188	30.97		2	0.33		10	1.65		1	0.16		24	3.95		607	95.44		29	4.56		636	0.77		406	66.89		201	33.11			
Britannia	69	5.39		678	52.97		6	0.47		434	33.91		7	0.55		12	0.94		4	0.31		70	5.47		1280	95.03		67	4.97		1347	1.64		795	62.11		485	37.89			
Chilwell	242	9.21		935	35.58		4	0.15		1195	45.47		8	0.30		22	0.84		6	0.23		216	8.22		2628	96.33		100	3.67		2728	3.32		1252	47.64		1376	52.36
Clifton Springs	191	6.25		1265	41.39		15	0.49		1369	44.80		1	0.03		73	2.39		12	0.39		130	4.25		3056	96.31		117	3.69		3173	3.86		1541	50.43		1515	49.57
Corio	162	4.39		2464	66.78		76	2.06		765	20.73		1	0.03		61	1.65		59	1.60		102	2.76		3690	94.28		224	5.72		3914	4.76		2772	75.12		918	24.88
Corio Central	152	5.04		2017	66.90		25	0.83		659	21.86		6	0.20		62	2.06		42	1.39		52	1.72		3015	95.02		158	4.98		3173	3.86		2235	74.13		780	25.87
Corio West	0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	******		0	0.00		0	0.00
