House of Representatives - 2001 Election: Victoria																	
Distribution of Preferences																	
By Polling Place																	
Kooyong																	
				GEORGIOU			CAMPBELL			SHARP			WILSON				
				Petro			Peter			Ari			Tom				
				LP			GRN			DEM			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total	
Auburn                                                         																	
	FIRST			742	48.59		170	11.13		102	6.68		513	33.60		1527	
	SECOND			17	16.67		57	55.88			Excluded		28	27.45		102	
		TOTAL		759	49.71		227	14.87					541	35.43		1527	
	THIRD			54	23.79			Excluded					173	76.21		227	
		TOTAL		813	53.24								714	46.76		1527	
				Elected													
																	
Auburn North                                                   																	
	FIRST			1371	49.37		344	12.39		266	9.58		796	28.66		2777	
	SECOND			30	11.28		168	63.16			Excluded		68	25.56		266	
		TOTAL		1401	50.45		512	18.44					864	31.11		2777	
	THIRD			135	26.37			Excluded					377	73.63		512	
		TOTAL		1536	55.31								1241	44.69		2777	
				Elected													
																	
Auburn South                                                   																	
	FIRST			1911	58.71		355	10.91		270	8.29		719	22.09		3255	
	SECOND			46	17.04		167	61.85			Excluded		57	21.11		270	
		TOTAL		1957	60.12		522	16.04					776	23.84		3255	
	THIRD			152	29.12			Excluded					370	70.88		522	
		TOTAL		2109	64.79								1146	35.21		3255	
				Elected													
																	
Balwyn                                                         																	
	FIRST			1466	60.16		238	9.77		140	5.74		593	24.33		2437	
	SECOND			22	15.71		88	62.86			Excluded		30	21.43		140	
		TOTAL		1488	61.06		326	13.38					623	25.56		2437	
	THIRD			103	31.60			Excluded					223	68.40		326	
		TOTAL		1591	65.29								846	34.71		2437	
				Elected													
																	
Balwyn Central                                                 																	
	FIRST			886	60.44		111	7.57		93	6.34		376	25.65		1466	
	SECOND			9	9.68		56	60.22			Excluded		28	30.11		93	
		TOTAL		895	61.05		167	11.39					404	27.56		1466	
	THIRD			49	29.34			Excluded					118	70.66		167	
		TOTAL		944	64.39								522	35.61		1466	
				Elected													
																	
Balwyn North                                                   																	
	FIRST			1718	53.45		274	8.53		192	5.97		1030	32.05		3214	
	SECOND			27	14.06		127	66.15			Excluded		38	19.79		192	
		TOTAL		1745	54.29		401	12.48					1068	33.23		3214	
	THIRD			125	31.17			Excluded					276	68.83		401	
		TOTAL		1870	58.18								1344	41.82		3214	
				Elected													
																	
Balwyn North Central                                           																	
	FIRST			1011	63.03		111	6.92		106	6.61		376	23.44		1604	
	SECOND			18	16.98		66	62.26			Excluded		22	20.75		106	
