House of Representatives - 2001 Election: Victoria																			
Distribution of Preferences 																			
By Polling Place																			
Ballarat										COLLINS									
				KING			KELLY						CORIC			BLANCHARD			
				Catherine			Tony			Charles			Danii			John			
				ALP			GRN			LP			DEM			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alfredton                                                      																			
	FIRST			230	40.56		21	3.70		286	50.44		19	3.35		11	1.94		567
	SECOND			4	36.36		2	18.18		5	45.45		0	0.00			Excluded		11
		TOTAL		234	41.27		23	4.06		291	51.32		19	3.35					567
	THIRD			9	47.37		5	26.32		5	26.32			Excluded					19
		TOTAL		243	42.86		28	4.94		296	52.20								567
	FOURTH			14	50.00			Excluded		14	50.00								28
		TOTAL		257	45.33					310	54.67								567
				Elected															
																			
Alfredton West                                                 																			
	FIRST			726	31.51		88	3.82		1342	58.25		115	4.99		33	1.43		2304
	SECOND			6	18.18		2	6.06		17	51.52		8	24.24			Excluded		33
		TOTAL		732	31.77		90	3.91		1359	58.98		123	5.34					2304
	THIRD			27	21.95		68	55.28		28	22.76			Excluded					123
		TOTAL		759	32.94		158	6.86		1387	60.20								2304
	FOURTH			97	61.39			Excluded		61	38.61								158
		TOTAL		856	37.15					1448	62.85								2304
				Elected															
																			
Amphitheatre                                                   																			
	FIRST			55	30.56		8	4.44		105	58.33		5	2.78		7	3.89		180
	SECOND			2	28.57		1	14.29		3	42.86		1	14.29			Excluded		7
		TOTAL		57	31.67		9	5.00		108	60.00		6	3.33					180
	THIRD			1	16.67		2	33.33		3	50.00			Excluded					6
		TOTAL		58	32.22		11	6.11		111	61.67								180
	FOURTH			8	72.73			Excluded		3	27.27								11
		TOTAL		66	36.67					114	63.33								180
				Elected															
																			
Ascot                                                          																			
	FIRST			29	18.01		9	5.59		113	70.19		5	3.11		5	3.11		161
	SECOND			1	20.00		1	20.00		2	40.00		1	20.00			Excluded		5
		TOTAL		30	18.63		10	6.21		115	71.43		6	3.73					161
	THIRD			1	16.67		1	16.67		4	66.67			Excluded					6
		TOTAL		31	19.25		11	6.83		119	73.91								161
	FOURTH			9	81.82			Excluded		2	18.18								11
		TOTAL		40	24.84					121	75.16								161
				Elected															
																			
Avoca                                                          																			
	FIRST			357	43.17		40	4.84		383	46.31		14	1.69		33	3.99		827
	SECOND			7	21.21		8	24.24		11	33.33		7	21.21			Excluded		33
		TOTAL		364	44.01		48	5.80		394	47.64		21	2.54					827
	THIRD			4	19.05		11	52.38		6	28.57			Excluded					21
		TOTAL		368	44.50		59	7.13		400	48.37								827
	FOURTH			40	67.80			Excluded		19	32.20								59
		TOTAL		408	49.33					419	50.67								827
				Elected															
																			
Ballan                                                         																			
	FIRST			800	48.13		115	6.92		611	36.76		71	4.27		65	3.91		1662
	SECOND			20	30.77		6	9.23		31	47.69		8	12.31			Excluded		65
		TOTAL		820	49.34		121	7.28		642	38.63		79	4.75					1662
	THIRD			27	34.18		31	39.24		21	26.58			Excluded					79
		TOTAL		847	50.96		152	9.15		663	39.89								1662
	FOURTH			124	81.58			Excluded		28	18.42								152
