House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Hotham																				
				BENNETT			HALL			RUFFOLO			JOSS			CREAN				
				Ollie			Simon Joseph			Priscilla			Jessica			Simon				
				GRN			CEC			LP			DEM			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bentleigh Central (Hotham)                                     																				
	FIRST			99	4.06		24	0.99		1039	42.65		210	8.62		1064	43.68		2436	
	SECOND			3	12.50			Excluded		6	25.00		14	58.33		1	4.17		24	
		TOTAL		102	4.19					1045	42.90		224	9.20		1065	43.72		2436	
	THIRD				Excluded					24	23.53		51	50.00		27	26.47		102	
		TOTAL								1069	43.88		275	11.29		1092	44.83		2436	
	FOURTH									104	37.82			Excluded		171	62.18		275	
		TOTAL								1173	48.15					1263	51.85		2436	
																Elected				
																				
Bentleigh East                                                 																				
	FIRST			66	3.24		7	0.34		954	46.81		117	5.74		894	43.87		2038	
	SECOND			4	57.14			Excluded		2	28.57		1	14.29		0	0.00		7	
		TOTAL		70	3.43					956	46.91		118	5.79		894	43.87		2038	
	THIRD				Excluded					15	21.43		41	58.57		14	20.00		70	
		TOTAL								971	47.64		159	7.80		908	44.55		2038	
	FOURTH									55	34.59			Excluded		104	65.41		159	
		TOTAL								1026	50.34					1012	49.66		2038	
																Elected				
																				
Carnegie East                                                  																				
	FIRST			151	6.71		14	0.62		831	36.93		160	7.11		1094	48.62		2250	
	SECOND			8	57.14			Excluded		2	14.29		1	7.14		3	21.43		14	
		TOTAL		159	7.07					833	37.02		161	7.16		1097	48.76		2250	
	THIRD				Excluded					27	16.98		92	57.86		40	25.16		159	
		TOTAL								860	38.22		253	11.24		1137	50.53		2250	
	FOURTH									63	24.90			Excluded		190	75.10		253	
		TOTAL								923	41.02					1327	58.98		2250	
																Elected				
																				
Cheltenham East (Hotham)                                       																				
	FIRST			93	4.01		8	0.34		1062	45.78		141	6.08		1016	43.79		2320	
	SECOND			2	25.00			Excluded		4	50.00		1	12.50		1	12.50		8	
		TOTAL		95	4.09					1066	45.95		142	6.12		1017	43.84		2320	
	THIRD				Excluded					21	22.11		46	48.42		28	29.47		95	
		TOTAL								1087	46.85		188	8.10		1045	45.04		2320	
	FOURTH									71	37.77			Excluded		117	62.23		188	
		TOTAL								1158	49.91					1162	50.09		2320	
																Elected				
																				
Cheltenham North                                               																				
	FIRST			108	4.35		7	0.28		992	40.00		163	6.57		1210	48.79		2480	
	SECOND			4	57.14			Excluded		1	14.29		1	14.29		1	14.29		7	
		TOTAL		112	4.52					993	40.04		164	6.61		1211	48.83		2480	
	THIRD				Excluded					16	14.29		62	55.36		34	30.36		112	
		TOTAL								1009	40.69		226	9.11		1245	50.20		2480	
	FOURTH									60	26.55			Excluded		166	73.45		226	
		TOTAL								1069	43.10					1411	56.90		2480	
																Elected				
																				
Clarinda                                                       																				
	FIRST			69	2.80		16	0.65		541	21.94		102	4.14		1738	70.48		2466	
	SECOND			6	37.50			Excluded		8	50.00		2	12.50		0	0.00		16	
		TOTAL		75	3.04					549	22.26		104	4.22		1738	70.48		2466	
	THIRD				Excluded					21	28.00		32	42.67		22	29.33		75	
		TOTAL								570	23.11		136	5.52		1760	71.37		2466	
	FOURTH									52	38.24			Excluded		84	61.76		136	
		TOTAL								622	25.22					1844	74.78		2466	
																Elected				
																				
Clarinda South                                                 																				
	FIRST			68	2.59		9	0.34		474	18.07		100	3.81		1972	75.18		2623	
	SECOND			4	44.44			Excluded		1	11.11		1	11.11		3	33.33		9	
		TOTAL		72	2.74					475	18.11		101	3.85		1975	75.30		2623	
	THIRD				Excluded					22	30.56		35	48.61		15	20.83		72	
		TOTAL								497	18.95		136	5.18		1990	75.87		2623	
	FOURTH									26	19.12			Excluded		110	80.88		136	
		TOTAL								523	19.94					2100	80.06		2623	
																Elected				
																				
Clayton South                                                  																				
	FIRST			114	3.28		23	0.66		692	19.92		116	3.34		2529	72.80		3474	
	SECOND			13	56.52			Excluded		4	17.39		1	4.35		5	21.74		23	
		TOTAL		127	3.66					696	20.03		117	3.37		2534	72.94		3474	
	THIRD				Excluded					33	25.98		66	51.97		28	22.05		127	
		TOTAL								729	20.98		183	5.27		2562	73.75		3474	
	FOURTH									61	33.33			Excluded		122	66.67		183	
		TOTAL								790	22.74					2684	77.26		3474	
																Elected				
																				
Clayton West                                                   																				
	FIRST			64	6.01		11	1.03		270	25.35		46	4.32		674	63.29		1065	
	SECOND			1	9.09			Excluded		3	27.27		3	27.27		4	36.36		11	
