House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Scullin (88866)																																
	MAWHINNEY			CAMPBELL			KOSTADINOSKI			GRAY			# JENKINS			FORMAL			INFORMAL			TOTAL										
	Brian			Trudy			Lucas			Merinda			Harry											Two Candidate Preferred								
	DEM			CEC			LP			GRN			ALP											 KOSTADINOSKI LP				# JENKINS ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Apollo Parkways	313	9.35		19	0.57		1483	44.31		161	4.81		1371	40.96		3347	96.26		130	3.74		3477	4.07		1660	49.60		1687	50.40			
Blossom Park	118	4.73		10	0.40		728	29.19		51	2.04		1587	63.63		2494	95.92		106	4.08		2600	3.04		795	31.88		1699	68.12			
Epping	183	6.01		30	0.99		851	27.96		67	2.20		1913	62.84		3044	95.24		152	4.76		3196	3.74		979	32.16		2065	67.84			
Epping East	195	6.77		31	1.08		769	26.70		56	1.94		1829	63.51		2880	95.62		132	4.38		3012	3.52		877	30.45		2003	69.55			
Epping South	138	5.25		22	0.84		496	18.87		60	2.28		1912	72.75		2628	95.15		134	4.85		2762	3.23		610	23.21		2018	76.79			
Findon	225	6.93		18	0.55		801	24.68		61	1.88		2140	65.95		3245	95.50		153	4.50		3398	3.97		912	28.10		2333	71.90			
Greenhills	149	6.60		17	0.75		1079	47.76		185	8.19		829	36.70		2259	96.46		83	3.54		2342	2.74		1188	52.59		1071	47.41			
Greensborough	82	6.82		4	0.33		502	41.76		58	4.83		556	46.26		1202	95.55		56	4.45		1258	1.47		561	46.67		641	53.33
Greensborough East	64	5.60		5	0.44		609	53.33		33	2.89		431	37.74		1142	96.94		36	3.06		1178	1.38		651	57.01		491	42.99
Grimshaw	112	5.25		12	0.56		823	38.58		63	2.95		1123	52.65		2133	96.65		74	3.35		2207	2.58		908	42.57		1225	57.43
Keelbundoora	22	5.18		4	0.94		130	30.59		9	2.12		260	61.18		425	94.87		23	5.13		448	0.52		144	33.88		281	66.12
Lalor	131	5.88		24	1.08		368	16.53		49	2.20		1654	74.30		2226	93.81		147	6.19		2373	2.78		443	19.90		1783	80.10
Lalor East	273	7.76		25	0.71		583	16.58		66	1.88		2570	73.07		3517	93.02		264	6.98		3781	4.42		732	20.81		2785	79.19
Lalor North	97	5.17		14	0.75		247	13.16		31	1.65		1488	79.28		1877	95.13		96	4.87		1973	2.31		313	16.68		1564	83.32
Lalor Park	144	6.39		13	0.58		355	15.75		41	1.82		1701	75.47		2254	93.10		167	6.90		2421	2.83		439	19.48		1815	80.52
Lalor South	108	5.16		12	0.57		266	12.70		31	1.48		1678	80.10		2095	94.97		111	5.03		2206	2.58		335	15.99		1760	84.01
Lalor West	81	3.69		14	0.64		375	17.08		58	2.64		1668	75.96		2196	94.98		116	5.02		2312	2.70		439	19.99		1757	80.01
Meadowglen	113	5.21		12	0.55		565	26.06		52	2.40		1426	65.77		2168	96.23		85	3.77		2253	2.64		643	29.66		1525	70.34
Melbourne (Scullin)	10	13.70		1	1.37		20	27.40		2	2.74		40	54.79		73	96.05		3	3.95		76	0.09		26	35.62		47	64.38
Mill Park	152	5.79		8	0.30		765	29.14		54	2.06		1646	62.70		2625	95.45		125	4.55		2750	3.22		853	32.50		1772	67.50
Mill Park Heights	241	7.63		13	0.41		753	23.85		78	2.47		2072	65.63		3157	96.02		131	3.98		3288	3.85		866	27.43		2291	72.57
Norris Bank	257	7.28		14	0.40		935	26.49		72	2.04		2251	63.79		3529	94.59		202	5.41		3731	4.36		1062	30.09		2467	69.91
Plenty	36	5.19		5	0.72		410	59.08		36	5.19		207	29.83		694	96.12		28	3.88		722	0.84		441	63.54		253	36.46
South Morang	154	6.71		20	0.87		914	39.84		76	3.31		1130	49.26		2294	94.83		125	5.17		2419	2.83		1039	45.29		1255	54.71			
The Stables	312	7.32		27	0.63		1148	26.92		136	3.19		2642	61.95		4265	94.48		249	5.52		4514	5.28		1327	31.11		2938	68.89			
Thomastown	63	6.34		9	0.91		175	17.62		13	1.31		733	73.82		993	95.39		48	4.61		1041	1.22		204	20.54		789	79.46			
