House of Representatives - 2001 Election: Victoria																	
Distribution of Preferences																	
By Polling Place																	
Higgins																	
				STEPHENS			GILES			MOSS			COSTELLO				
				Katie			Tania			Katie			Peter				
				ALP			GRN			DEM			LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alamein                                                        																	
	FIRST			384	48.00		56	7.00		86	10.75		274	34.25		800	
	SECOND			11	19.64			Excluded		41	73.21		4	7.14		56	
		TOTAL		395	49.38					127	15.88		278	34.75		800	
	THIRD			85	66.93						Excluded		42	33.07		127	
		TOTAL		480	60.00								320	40.00		800	
													Elected				
																	
Armadale                                                       																	
	FIRST			474	25.43		154	8.26		162	8.69		1074	57.62		1864	
	SECOND			45	29.22			Excluded		88	57.14		21	13.64		154	
		TOTAL		519	27.84					250	13.41		1095	58.74		1864	
	THIRD			167	66.80						Excluded		83	33.20		250	
		TOTAL		686	36.80								1178	63.20		1864	
													Elected				
																	
Ashburton                                                      																	
	FIRST			792	33.15		251	10.51		222	9.29		1124	47.05		2389	
	SECOND			63	25.10			Excluded		166	66.14		22	8.76		251	
		TOTAL		855	35.79					388	16.24		1146	47.97		2389	
	THIRD			297	76.55						Excluded		91	23.45		388	
		TOTAL		1152	48.22								1237	51.78		2389	
													Elected				
																	
Burwood                                                        																	
	FIRST			346	32.67		77	7.27		109	10.29		527	49.76		1059	
	SECOND			15	19.48			Excluded		56	72.73		6	7.79		77	
		TOTAL		361	34.09					165	15.58		533	50.33		1059	
	THIRD			118	71.52						Excluded		47	28.48		165	
		TOTAL		479	45.23								580	54.77		1059	
													Elected				
																	
Burwood West                                                   																	
	FIRST			337	28.88		132	11.31		95	8.14		603	51.67		1167	
	SECOND			36	27.27			Excluded		82	62.12		14	10.61		132	
		TOTAL		373	31.96					177	15.17		617	52.87		1167	
	THIRD			134	75.71						Excluded		43	24.29		177	
		TOTAL		507	43.44								660	56.56		1167	
													Elected				
																	
Camberwell                                                     																	
	FIRST			287	23.84		100	8.31		99	8.22		718	59.63		1204	
	SECOND			31	31.00			Excluded		60	60.00		9	9.00		100	
		TOTAL		318	26.41					159	13.21		727	60.38		1204	
	THIRD			110	69.18						Excluded		49	30.82		159	
		TOTAL		428	35.55								776	64.45		1204	
													Elected				
																	
Camberwell Middle                                              																	
	FIRST			310	26.45		74	6.31		86	7.34		702	59.90		1172	
	SECOND			24	32.43			Excluded		40	54.05		10	13.51		74	
		TOTAL		334	28.50					126	10.75		712	60.75		1172	
	THIRD			92	73.02						Excluded		34	26.98		126	
		TOTAL		426	36.35								746	63.65		1172	
													Elected				
																	
Camberwell South                                               																	
	FIRST			617	25.78		221	9.24		212	8.86		1343	56.12		2393	
	SECOND			46	20.81			Excluded		141	63.80		34	15.38		221	
		TOTAL		663	27.71					353	14.75		1377	57.54		2393	
	THIRD			246	69.69						Excluded		107	30.31		353	
		TOTAL		909	37.99								1484	62.01		2393	
													Elected				
																	
Carnegie North                                                 																	
	FIRST			457	30.35		110	7.30		119	7.90		820	54.45		1506	
	SECOND			32	29.09			Excluded		67	60.91		11	10.00		110	
		TOTAL		489	32.47					186	12.35		831	55.18		1506	
	THIRD			138	74.19						Excluded		48	25.81		186	
		TOTAL		627	41.63								879	58.37		1506	
													Elected				
																	
Carnegie Upper                                                 																	
	FIRST			568	42.80		114	8.59		155	11.68		490	36.93		1327	
	SECOND			28	24.56			Excluded		81	71.05		5	4.39		114	
		TOTAL		596	44.91					236	17.78		495	37.30		1327	
	THIRD			169	71.61						Excluded		67	28.39		236	
		TOTAL		765	57.65								562	42.35		1327	
													Elected				
																	
Chadstone                                                      																	
	FIRST			920	43.05		97	4.54		175	8.19		945	44.22		2137	
	SECOND			24	24.74			Excluded		66	68.04		7	7.22		97	
		TOTAL		944	44.17					241	11.28		952	44.55		2137	
	THIRD			165	68.46						Excluded		76	31.54		241	
		TOTAL		1109	51.90								1028	48.10		2137	
													Elected				
																	
Darling                                                        																	
	FIRST			213	19.09		73	6.54		78	6.99		752	67.38		1116	
	SECOND			15	20.55			Excluded		46	63.01		12	16.44		73	
		TOTAL		228	20.43					124	11.11		764	68.46		1116	
	THIRD			80	64.52						Excluded		44	35.48		124	
		TOTAL		308	27.60								808	72.40		1116	
													Elected				
																	
Fawkner Park (Higgins)                                         																	
	FIRST			465	28.48		185	11.33		177	10.84		806	49.36		1633	
	SECOND			42	22.70			Excluded		132	71.35		11	5.95		185	
		TOTAL		507	31.05					309	18.92		817	50.03		1633	
	THIRD			244	78.96						Excluded		65	21.04		309	
		TOTAL		751	45.99								882	54.01		1633	
													Elected				
																	
Ferndale                                                       																	
	FIRST			199	25.09		66	8.32		59	7.44		469	59.14		793	
	SECOND			9	13.64			Excluded		46	69.70		11	16.67		66	
		TOTAL		208	26.23					105	13.24		480	60.53		793	
	THIRD			73	69.52						Excluded		32	30.48		105	
		TOTAL		281	35.44								512	64.56		793	
													Elected				
																	
Gardiner                                                       																	
	FIRST			602	30.01		153	7.63		210	10.47		1041	51.89		2006	
	SECOND			37	24.18			Excluded		96	62.75		20	13.07		153	
		TOTAL		639	31.85					306	15.25		1061	52.89		2006	
	THIRD			211	68.95						Excluded		95	31.05		306	
		TOTAL		850	42.37								1156	57.63		2006	
													Elected				
																	
Glen Iris                                                      																	
	FIRST			753	27.17		230	8.30		238	8.59		1550	55.94		2771	
	SECOND			47	20.43			Excluded		167	72.61		16	6.96		230	
		TOTAL		800	28.87					405	14.62		1566	56.51		2771	
	THIRD			289	71.36						Excluded		116	28.64		405	
		TOTAL		1089	39.30								1682	60.70		2771	
													Elected				
																	
Glen Iris South                                                																	
	FIRST			483	28.97		172	10.32		155	9.30		857	51.41		1667	
	SECOND			37	21.51			Excluded		127	73.84		8	4.65		172	
		TOTAL		520	31.19					282	16.92		865	51.89		1667	
	THIRD			209	74.11						Excluded		73	25.89		282	
		TOTAL		729	43.73								938	56.27		1667	
													Elected				
																	
Hartwell West                                                  																	
	FIRST			174	30.16		63	10.92		40	6.93		300	51.99		577	
	SECOND			17	26.98			Excluded		41	65.08		5	7.94		63	
		TOTAL		191	33.10					81	14.04		305	52.86		577	
	THIRD			62	76.54						Excluded		19	23.46		81	
		TOTAL		253	43.85								324	56.15		577	
													Elected				
																	
Hawksburn                                                      																	
	FIRST			711	23.75		301	10.05		306	10.22		1676	55.98		2994	
