House of Representatives - 2001 Election: South Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barker																									
				DETCHON			RIGNEY			BALLINGER			WRIGHT			CORNISH			MILLER			SECKER			
				David			Matt			Liz			Dona			Philip			Louise			Patrick			
				ALP			GRN			IND			HAN			IND			DEM			LP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Allendale East                                                 																									
	FIRST			54	18.95		10	3.51		10	3.51		22	7.72		3	1.05		12	4.21		174	61.05		285
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00			Excluded		2	66.67		0	0.00		3
		TOTAL		54	18.95		10	3.51		11	3.86		22	7.72					14	4.91		174	61.05		285
	THIRD			3	30.00			Excluded		4	40.00		1	10.00					1	10.00		1	10.00		10
		TOTAL		57	20.00					15	5.26		23	8.07					15	5.26		175	61.40		285
	FOURTH			3	20.00						Excluded		4	26.67					4	26.67		4	26.67		15
		TOTAL		60	21.05								27	9.47					19	6.67		179	62.81		285
	FIFTH			6	22.22									Excluded					8	29.63		13	48.15		27
		TOTAL		66	23.16														27	9.47		192	67.37		285
	SIXTH			15	55.56															Excluded		12	44.44		27
		TOTAL		81	28.42																	204	71.58		285
																						Elected			
																									
American River                                                 																									
	FIRST			43	24.16		4	2.25		6	3.37		21	11.80		0	0.00		24	13.48		80	44.94		178
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		43	24.16		4	2.25		6	3.37		21	11.80					24	13.48		80	44.94		178
	THIRD			1	25.00			Excluded		0	0.00		1	25.00					1	25.00		1	25.00		4
		TOTAL		44	24.72					6	3.37		22	12.36					25	14.04		81	45.51		178
	FOURTH			0	0.00						Excluded		1	16.67					2	33.33		3	50.00		6
		TOTAL		44	24.72								23	12.92					27	15.17		84	47.19		178
	FIFTH			4	17.39									Excluded					10	43.48		9	39.13		23
		TOTAL		48	26.97														37	20.79		93	52.25		178
	SIXTH			17	45.95															Excluded		20	54.05		37
		TOTAL		65	36.52																	113	63.48		178
																						Elected			
																									
Ashbourne                                                      																									
	FIRST			24	18.32		12	9.16		6	4.58		9	6.87		5	3.82		15	11.45		60	45.80		131
	SECOND			1	20.00		0	0.00		2	40.00		0	0.00			Excluded		0	0.00		2	40.00		5
		TOTAL		25	19.08		12	9.16		8	6.11		9	6.87					15	11.45		62	47.33		131
	THIRD			4	33.33			Excluded		3	25.00		1	8.33					2	16.67		2	16.67		12
		TOTAL		29	22.14					11	8.40		10	7.63					17	12.98		64	48.85		131
	FOURTH			2	18.18						Excluded		2	18.18					5	45.45		2	18.18		11
		TOTAL		31	23.66								12	9.16					22	16.79		66	50.38		131
	FIFTH			3	25.00									Excluded					2	16.67		7	58.33		12
		TOTAL		34	25.95														24	18.32		73	55.73		131
	SIXTH			18	75.00															Excluded		6	25.00		24
		TOTAL		52	39.69																	79	60.31		131
																						Elected			
																									
Beachport                                                      																									
	FIRST			92	20.72		16	3.60		21	4.73		36	8.11		6	1.35		9	2.03		264	59.46		444
	SECOND			0	0.00		0	0.00		3	50.00		2	33.33			Excluded		0	0.00		1	16.67		6
		TOTAL		92	20.72		16	3.60		24	5.41		38	8.56					9	2.03		265	59.68		444
	THIRD			7	43.75			Excluded		1	6.25		2	12.50					5	31.25		1	6.25		16
		TOTAL		99	22.30					25	5.63		40	9.01					14	3.15		266	59.91		444
	FOURTH			3	12.00						Excluded		6	24.00					6	24.00		10	40.00		25
		TOTAL		102	22.97								46	10.36					20	4.50		276	62.16		444
	FIFTH			12	26.09									Excluded					20	43.48		14	30.43		46
		TOTAL		114	25.68														40	9.01		290	65.32		444
	SIXTH			24	60.00															Excluded		16	40.00		40
		TOTAL		138	31.08																	306	68.92		444
																						Elected			
																									
Bordertown                                                     																									
	FIRST			250	13.98		28	1.57		163	9.12		70	3.91		104	5.82		50	2.80		1123	62.81		1788
	SECOND			7	6.73		1	0.96		27	25.96		15	14.42			Excluded		3	2.88		51	49.04		104
