House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences 																				
By Polling Place																				
																				
Adelaide																				
				OSBORN			STANLEY			WORTH			PEACOCK			MANN				
				Lynne			Tim			Trish			Lee			Sue				
				GRN			ALP			LP			HAN			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adelaide (Adelaide)                                            																				
	FIRST			33	10.31		109	34.06		112	35.00		7	2.19		59	18.44		320	
	SECOND			2	28.57		1	14.29		2	28.57			Excluded		2	28.57		7	
		TOTAL		35	10.94		110	34.38		114	35.63					61	19.06		320	
	THIRD				Excluded		10	28.57		2	5.71					23	65.71		35	
		TOTAL					120	37.50		116	36.25					84	26.25		320	
	FOURTH						67	79.76		17	20.24						Excluded		84	
		TOTAL					187	58.44		133	41.56								320	
										Elected										
																				
Adelaide East                                                  																				
	FIRST			87	9.75		258	28.92		422	47.31		12	1.35		113	12.67		892	
	SECOND			3	25.00		1	8.33		6	50.00			Excluded		2	16.67		12	
		TOTAL		90	10.09		259	29.04		428	47.98					115	12.89		892	
	THIRD				Excluded		25	27.78		4	4.44					61	67.78		90	
		TOTAL					284	31.84		432	48.43					176	19.73		892	
	FOURTH						136	77.27		40	22.73						Excluded		176	
		TOTAL					420	47.09		472	52.91								892	
										Elected										
																				
Adelaide Hospital                                              																				
	FIRST			44	12.68		93	26.80		149	42.94		5	1.44		56	16.14		347	
	SECOND			2	40.00		1	20.00		0	0.00			Excluded		2	40.00		5	
		TOTAL		46	13.26		94	27.09		149	42.94					58	16.71		347	
	THIRD				Excluded		13	28.26		7	15.22					26	56.52		46	
		TOTAL					107	30.84		156	44.96					84	24.21		347	
	FOURTH						57	67.86		27	32.14						Excluded		84	
		TOTAL					164	47.26		183	52.74								347	
										Elected										
																				
Adelaide South                                                 																				
	FIRST			170	10.69		591	37.15		605	38.03		16	1.01		209	13.14		1591	
	SECOND			5	31.25		2	12.50		6	37.50			Excluded		3	18.75		16	
		TOTAL		175	11.00		593	37.27		611	38.40					212	13.32		1591	
	THIRD				Excluded		53	30.29		14	8.00					108	61.71		175	
		TOTAL					646	40.60		625	39.28					320	20.11		1591	
	FOURTH						248	77.50		72	22.50						Excluded		320	
		TOTAL					894	56.19		697	43.81								1591	
										Elected										
																				
Adelaide West                                                  																				
	FIRST			36	9.40		175	45.69		110	28.72		7	1.83		55	14.36		383	
	SECOND			3	42.86		1	14.29		3	42.86			Excluded		0	0.00		7	
		TOTAL		39	10.18		176	45.95		113	29.50					55	14.36		383	
	THIRD				Excluded		14	35.90		1	2.56					24	61.54		39	
		TOTAL					190	49.61		114	29.77					79	20.63		383	
	FOURTH						59	74.68		20	25.32						Excluded		79	
		TOTAL					249	65.01		134	34.99								383	
										Elected										
																				
Black Forest East                                              																				
	FIRST			125	6.23		701	34.95		892	44.47		26	1.30		262	13.06		2006	
	SECOND			8	30.77		1	3.85		11	42.31			Excluded		6	23.08		26	
		TOTAL		133	6.63		702	35.00		903	45.01					268	13.36		2006	
	THIRD				Excluded		36	27.07		10	7.52					87	65.41		133	
		TOTAL					738	36.79		913	45.51					355	17.70		2006	
	FOURTH						254	71.55		101	28.45						Excluded		355	
		TOTAL					992	49.45		1014	50.55								2006	
										Elected										
																				
Blair Athol North                                              																				
	FIRST			39	2.87		742	54.56		417	30.66		43	3.16		119	8.75		1360	
	SECOND			15	34.88		9	20.93		13	30.23			Excluded		6	13.95		43	
		TOTAL		54	3.97		751	55.22		430	31.62					125	9.19		1360	
	THIRD				Excluded		25	46.30		8	14.81					21	38.89		54	
		TOTAL					776	57.06		438	32.21					146	10.74		1360	
	FOURTH						97	66.44		49	33.56						Excluded		146	
		TOTAL					873	64.19		487	35.81								1360	
										Elected										
																				
Broadview                                                      																				
	FIRST			75	3.90		609	31.64		1012	52.57		28	1.45		201	10.44		1925	
	SECOND			6	21.43		3	10.71		15	53.57			Excluded		4	14.29		28	
		TOTAL		81	4.21		612	31.79		1027	53.35					205	10.65		1925	
	THIRD				Excluded		23	28.40		11	13.58					47	58.02		81	
		TOTAL					635	32.99		1038	53.92					252	13.09		1925	
	FOURTH						161	63.89		91	36.11						Excluded		252	
		TOTAL					796	41.35		1129	58.65								1925	
										Elected										
																				
Brompton                                                       																				
	FIRST			131	10.00		613	46.79		354	27.02		31	2.37		181	13.82		1310	
	SECOND			6	19.35		15	48.39		5	16.13			Excluded		5	16.13		31	
		TOTAL		137	10.46		628	47.94		359	27.40					186	14.20		1310	
	THIRD				Excluded		43	31.39		3	2.19					91	66.42		137	
		TOTAL					671	51.22		362	27.63					277	21.15		1310	
	FOURTH						207	74.73		70	25.27						Excluded		277	
		TOTAL					878	67.02		432	32.98								1310	
										Elected										
																				
Clarence Park                                                  																				
	FIRST			70	6.24		333	29.71		566	50.49		21	1.87		131	11.69		1121	
