House of Representatives - 2001 Election: South Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Mayo																										
				MCLAREN			SPRAGG			DOWNER			CLARK			THOMAS			COOMBE			BRENNAN				
				John			Bill			Alexander			Dave			Mike			Howie F			Delia				
				DEM			IND			LP			GRN			HAN			IND			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aberfoyle Park                                                 																										
	FIRST			583	17.03		106	3.10		1648	48.14		120	3.51		98	2.86		5	0.15		863	25.21		3423	
	SECOND			1	20.00		3	60.00		0	0.00		1	20.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		584	17.06		109	3.18		1648	48.14		121	3.53		98	2.86					863	25.21		3423	
	THIRD			11	11.22		12	12.24		51	52.04		13	13.27			Excluded					11	11.22		98	
		TOTAL		595	17.38		121	3.53		1699	49.63		134	3.91								874	25.53		3423	
	FOURTH			29	23.97			Excluded		36	29.75		40	33.06								16	13.22		121	
		TOTAL		624	18.23					1735	50.69		174	5.08								890	26.00		3423	
	FIFTH			98	56.32					41	23.56			Excluded								35	20.11		174	
		TOTAL		722	21.09					1776	51.88											925	27.02		3423	
	SIXTH				Excluded					268	37.12											454	62.88		722	
		TOTAL								2044	59.71											1379	40.29		3423	
										Elected																
																										
Aberfoyle Park North (Mayo)                                    																										
	FIRST			353	16.91		38	1.82		1134	54.31		52	2.49		34	1.63		6	0.29		471	22.56		2088	
	SECOND			1	16.67		1	16.67		2	33.33		0	0.00		2	33.33			Excluded		0	0.00		6	
		TOTAL		354	16.95		39	1.87		1136	54.41		52	2.49		36	1.72					471	22.56		2088	
	THIRD			6	16.67		12	33.33		9	25.00		3	8.33			Excluded					6	16.67		36	
		TOTAL		360	17.24		51	2.44		1145	54.84		55	2.63								477	22.84		2088	
	FOURTH			11	21.57			Excluded		14	27.45		19	37.25								7	13.73		51	
		TOTAL		371	17.77					1159	55.51		74	3.54								484	23.18		2088	
	FIFTH			50	67.57					11	14.86			Excluded								13	17.57		74	
		TOTAL		421	20.16					1170	56.03											497	23.80		2088	
	SIXTH				Excluded					161	38.24											260	61.76		421	
		TOTAL								1331	63.75											757	36.25		2088	
										Elected																
																										
Aberfoyle Park South                                           																										
	FIRST			170	18.56		29	3.17		452	49.34		24	2.62		33	3.60		7	0.76		201	21.94		916	
