House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hindmarsh (84806)											
		Candidate		"GEORGANAS, Steve"		           	"GALLUS, Chris"		              	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Adelaide (Hindmarsh)										
			1st Prefs	47	50.00		47	50.00		94	
		"FITZPATRICK, Peter (HAN)"	4	3	75.00		1	25.00		4	
		"CASHEL, Deb (GRN)"	10	7	70.00		3	30.00		10	
		"DOWD, Caroline (DEM)"	28	19	67.86		9	32.14		28	
		Total	42	76	55.88		60	44.12		136	

	Ascot Park South										
			1st Prefs	407	52.99		361	47.01		768	
		"FITZPATRICK, Peter (HAN)"	43	26	60.47		17	39.53		43	
		"CASHEL, Deb (GRN)"	25	20	80.00		5	20.00		25	
		"DOWD, Caroline (DEM)"	85	55	64.71		30	35.29		85	
		Total	153	508	55.16		413	44.84		921	

	Brooklyn Park										
			1st Prefs	939	56.13		734	43.87		1673	
		"FITZPATRICK, Peter (HAN)"	63	41	65.08		22	34.92		63	
		"CASHEL, Deb (GRN)"	71	53	74.65		18	25.35		71	
		"DOWD, Caroline (DEM)"	171	106	61.99		65	38.01		171	
		Total	305	1139	57.58		839	42.42		1978	

	Brooklyn Park South										
			1st Prefs	477	48.23		512	51.77		989	
		"FITZPATRICK, Peter (HAN)"	38	17	44.74		21	55.26		38	
		"CASHEL, Deb (GRN)"	27	18	66.67		9	33.33		27	
		"DOWD, Caroline (DEM)"	97	53	54.64		44	45.36		97	
		Total	162	565	49.09		586	50.91		1151	

	Camden Park										
			1st Prefs	438	47.20		490	52.80		928	
		"FITZPATRICK, Peter (HAN)"	55	32	58.18		23	41.82		55	
		"CASHEL, Deb (GRN)"	21	13	61.90		8	38.10		21	
		"DOWD, Caroline (DEM)"	75	40	53.33		35	46.67		75	
		Total	151	523	48.47		556	51.53		1079	

	Cowandilla										
			1st Prefs	1043	67.07		512	32.93		1555	
		"FITZPATRICK, Peter (HAN)"	60	46	76.67		14	23.33		60	
		"CASHEL, Deb (GRN)"	76	64	84.21		12	15.79		76	
		"DOWD, Caroline (DEM)"	128	84	65.63		44	34.38		128	
		Total	264	1237	68.00		582	32.00		1819	

	Cowandilla West										
			1st Prefs	319	56.76		243	43.24		562	
		"FITZPATRICK, Peter (HAN)"	13	7	53.85		6	46.15		13	
		"CASHEL, Deb (GRN)"	25	20	80.00		5	20.00		25	
		"DOWD, Caroline (DEM)"	57	35	61.40		22	38.60		57	
		Total	95	381	57.99		276	42.01		657	

	Edwardstown										
			1st Prefs	600	49.46		613	50.54		1213	
		"FITZPATRICK, Peter (HAN)"	74	49	66.22		25	33.78		74	
		"CASHEL, Deb (GRN)"	47	36	76.60		11	23.40		47	
		"DOWD, Caroline (DEM)"	146	92	63.01		54	36.99		146	
		Total	267	777	52.50		703	47.50		1480	

	Flinders Park										
			1st Prefs	1390	53.81		1193	46.19		2583	
		"FITZPATRICK, Peter (HAN)"	99	70	70.71		29	29.29		99	
		"CASHEL, Deb (GRN)"	79	64	81.01		15	18.99		79	
		"DOWD, Caroline (DEM)"	206	121	58.74		85	41.26		206	
		Total	384	1645	55.44		1322	44.56		2967	

	Forbes										
			1st Prefs	966	50.74		938	49.26		1904	
		"FITZPATRICK, Peter (HAN)"	108	64	59.26		44	40.74		108	
