House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Kingston (85398)											
		Candidate		"HERSEY, Dean"		               	"COX, David"		                 	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Adelaide (Kingston)										
			1st Prefs	38	55.88		30	44.12		68	
		"ARANDELOVIC, Gordon (NGST)"	2	1	50.00		1	50.00		2	
		"MCCORMACK, Charlie (HAN)"	2	0	0.00		2	100.00		2	
		"GUILDNER, Deborah (GRN)"	6	0	0.00		6	100.00		6	
		"PRATT, Graham (DEM)"	20	10	50.00		10	50.00		20	
		Total	30	49	50.00		49	50.00		98	

	Aldinga Beach										
			1st Prefs	1178	51.13		1126	48.87		2304	
		"ARANDELOVIC, Gordon (NGST)"	27	13	48.15		14	51.85		27	
		"MCCORMACK, Charlie (HAN)"	166	100	60.24		66	39.76		166	
		"GUILDNER, Deborah (GRN)"	223	47	21.08		176	78.92		223	
		"PRATT, Graham (DEM)"	403	139	34.49		264	65.51		403	
		Total	819	1477	47.29		1646	52.71		3123	

	Christie Downs										
			1st Prefs	605	37.09		1026	62.91		1631	
		"ARANDELOVIC, Gordon (NGST)"	31	9	29.03		22	70.97		31	
		"MCCORMACK, Charlie (HAN)"	112	64	57.14		48	42.86		112	
		"GUILDNER, Deborah (GRN)"	55	15	27.27		40	72.73		55	
		"PRATT, Graham (DEM)"	247	65	26.32		182	73.68		247	
		Total	445	758	36.51		1318	63.49		2076	

	Christies Beach										
			1st Prefs	774	44.43		968	55.57		1742	
		"ARANDELOVIC, Gordon (NGST)"	33	10	30.30		23	69.70		33	
		"MCCORMACK, Charlie (HAN)"	128	89	69.53		39	30.47		128	
		"GUILDNER, Deborah (GRN)"	91	29	31.87		62	68.13		91	
		"PRATT, Graham (DEM)"	207	63	30.43		144	69.57		207	
		Total	459	965	43.84		1236	56.16		2201	

	Christies North										
			1st Prefs	135	43.13		178	56.87		313	
		"ARANDELOVIC, Gordon (NGST)"	9	3	33.33		6	66.67		9	
		"MCCORMACK, Charlie (HAN)"	24	14	58.33		10	41.67		24	
		"GUILDNER, Deborah (GRN)"	21	3	14.29		18	85.71		21	
		"PRATT, Graham (DEM)"	41	14	34.15		27	65.85		41	
		Total	95	169	41.42		239	58.58		408	

	Hackham										
			1st Prefs	566	35.49		1029	64.51		1595	
		"ARANDELOVIC, Gordon (NGST)"	46	19	41.30		27	58.70		46	
		"MCCORMACK, Charlie (HAN)"	128	101	78.91		27	21.09		128	
		"GUILDNER, Deborah (GRN)"	48	18	37.50		30	62.50		48	
		"PRATT, Graham (DEM)"	227	74	32.60		153	67.40		227	
		Total	449	778	38.06		1266	61.94		2044	

	Hackham East										
			1st Prefs	1288	50.63		1256	49.37		2544	
		"ARANDELOVIC, Gordon (NGST)"	87	16	18.39		71	81.61		87	
		"MCCORMACK, Charlie (HAN)"	163	111	68.10		52	31.90		163	
		"GUILDNER, Deborah (GRN)"	99	26	26.26		73	73.74		99	
		"PRATT, Graham (DEM)"	384	146	38.02		238	61.98		384	
		Total	733	1587	48.43		1690	51.57		3277	

	Hackham South										
			1st Prefs	453	38.23		732	61.77		1185	
		"ARANDELOVIC, Gordon (NGST)"	26	13	50.00		13	50.00		26	
		"MCCORMACK, Charlie (HAN)"	75	56	74.67		19	25.33		75	
		"GUILDNER, Deborah (GRN)"	46	19	41.30		27	58.70		46	
		"PRATT, Graham (DEM)"	173	48	27.75		125	72.25		173	
		Total	320	589	39.14		916	60.86		1505	

	Hallett Cove										
			1st Prefs	1275	55.41		1026	44.59		2301	
		"ARANDELOVIC, Gordon (NGST)"	26	11	42.31		15	57.69		26	
		"MCCORMACK, Charlie (HAN)"	94	70	74.47		24	25.53		94	
		"GUILDNER, Deborah (GRN)"	71	28	39.44		43	60.56		71	
		"PRATT, Graham (DEM)"	314	109	34.71		205	65.29		314	
		Total	505	1493	53.21		1313	46.79		2806	

	Happy Valley (Kingston)										
			1st Prefs	674	64.25		375	35.75		1049	
		"ARANDELOVIC, Gordon (NGST)"	11	6	54.55		5	45.45		11	
		"MCCORMACK, Charlie (HAN)"	30	24	80.00		6	20.00		30	
		"GUILDNER, Deborah (GRN)"	54	18	33.33		36	66.67		54	
		"PRATT, Graham (DEM)"	192	78	40.63		114	59.38		192	
		Total	287	800	59.88		536	40.12		1336	

	Karrara										
			1st Prefs	1597	55.30		1291	44.70		2888	
		"ARANDELOVIC, Gordon (NGST)"	26	10	38.46		16	61.54		26	
		"MCCORMACK, Charlie (HAN)"	114	84	73.68		30	26.32		114	
		"GUILDNER, Deborah (GRN)"	88	36	40.91		52	59.09		88	
		"PRATT, Graham (DEM)"	351	138	39.32		213	60.68		351	
		Total	579	1865	53.79		1602	46.21		3467	

	Lonsdale										
			1st Prefs	245	36.30		430	63.70		675	
		"ARANDELOVIC, Gordon (NGST)"	15	6	40.00		9	60.00		15	
		"MCCORMACK, Charlie (HAN)"	76	52	68.42		24	31.58		76	
		"GUILDNER, Deborah (GRN)"	22	9	40.91		13	59.09		22	
		"PRATT, Graham (DEM)"	84	28	33.33		56	66.67		84	
		Total	197	340	38.99		532	61.01		872	

	Maslin Beach										
			1st Prefs	166	43.46		216	56.54		382	
		"ARANDELOVIC, Gordon (NGST)"	9	2	22.22		7	77.78		9	
		"MCCORMACK, Charlie (HAN)"	35	23	65.71		12	34.29		35	
		"GUILDNER, Deborah (GRN)"	42	8	19.05		34	80.95		42	
		"PRATT, Graham (DEM)"	69	17	24.64		52	75.36		69	
		Total	155	216	40.22		321	59.78		537	

	Moana										
			1st Prefs	838	47.56		924	52.44		1762	
		"ARANDELOVIC, Gordon (NGST)"	22	7	31.82		15	68.18		22	
		"MCCORMACK, Charlie (HAN)"	120	88	73.33		32	26.67		120	
		"GUILDNER, Deborah (GRN)"	79	19	24.05		60	75.95		79	
		"PRATT, Graham (DEM)"	268	100	37.31		168	62.69		268	
		Total	489	1052	46.73		1199	53.27		2251	

	Morphett Vale										
			1st Prefs	1153	43.25		1513	56.75		2666	
		"ARANDELOVIC, Gordon (NGST)"	93	34	36.56		59	63.44		93	
		"MCCORMACK, Charlie (HAN)"	180	111	61.67		69	38.33		180	
		"GUILDNER, Deborah (GRN)"	81	32	39.51		49	60.49		81	
		"PRATT, Graham (DEM)"	419	159	37.95		260	62.05		419	
		Total	773	1489	43.30		1950	56.70		3439	

	Morphett Vale East										
			1st Prefs	1000	50.15		994	49.85		1994	
		"ARANDELOVIC, Gordon (NGST)"	27	10	37.04		17	62.96		27	
		"MCCORMACK, Charlie (HAN)"	105	74	70.48		31	29.52		105	
		"GUILDNER, Deborah (GRN)"	64	19	29.69		45	70.31		64	
		"PRATT, Graham (DEM)"	318	129	40.57		189	59.43		318	
		Total	514	1232	49.12		1276	50.88		2508	

	Morphett Vale North										
			1st Prefs	581	48.22		624	51.78		1205	
		"ARANDELOVIC, Gordon (NGST)"	15	5	33.33		10	66.67		15	
		"MCCORMACK, Charlie (HAN)"	79	65	82.28		14	17.72		79	
		"GUILDNER, Deborah (GRN)"	42	21	50.00		21	50.00		42	
		"PRATT, Graham (DEM)"	156	54	34.62		102	65.38		156	
		Total	292	726	48.50		771	51.50		1497	

	Morphett Vale South										
			1st Prefs	171	38.60		272	61.40		443	
		"ARANDELOVIC, Gordon (NGST)"	8	6	75.00		2	25.00		8	
		"MCCORMACK, Charlie (HAN)"	39	28	71.79		11	28.21		39	
		"GUILDNER, Deborah (GRN)"	22	4	18.18		18	81.82		22	
		"PRATT, Graham (DEM)"	39	11	28.21		28	71.79		39	
		Total	108	220	39.93		331	60.07		551	

	Noarlunga Downs										
			1st Prefs	335	35.98		596	64.02		931	
		"ARANDELOVIC, Gordon (NGST)"	27	10	37.04		17	62.96		27	
		"MCCORMACK, Charlie (HAN)"	65	36	55.38		29	44.62		65	
		"GUILDNER, Deborah (GRN)"	40	13	32.50		27	67.50		40	
		"PRATT, Graham (DEM)"	100	30	30.00		70	70.00		100	
		Total	232	424	36.46		739	63.54		1163	

	O'Halloran Hill										
			1st Prefs	1320	55.67		1051	44.33		2371	
		"ARANDELOVIC, Gordon (NGST)"	21	10	47.62		11	52.38		21	
		"MCCORMACK, Charlie (HAN)"	120	87	72.50		33	27.50		120	
		"GUILDNER, Deborah (GRN)"	76	22	28.95		54	71.05		76	
		"PRATT, Graham (DEM)"	325	123	37.85		202	62.15		325	
		Total	542	1562	53.62		1351	46.38		2913	

	O'Sullivan Beach										
			1st Prefs	367	36.37		642	63.63		1009	
		"ARANDELOVIC, Gordon (NGST)"	16	6	37.50		10	62.50		16	
		"MCCORMACK, Charlie (HAN)"	124	85	68.55		39	31.45		124	
		"GUILDNER, Deborah (GRN)"	40	12	30.00		28	70.00		40	
		"PRATT, Graham (DEM)"	149	46	30.87		103	69.13		149	
		Total	329	516	38.57		822	61.43		1338	

	Onkaparinga Hills										
			1st Prefs	468	44.44		585	55.56		1053	
