House of Representatives - 2001 Election: South Australia																																			
First Preference Votes and TCP																																			
By Candidate by Polling Place																																			

Bonython (85484)																																			
	HUNT			BLAKE			CHOMEL			DENNIS			# EVANS			MAHONEY			FORMAL			INFORMAL			TOTAL										
	Rita			Lisa			Brenton			Mark A			Martyn			John												Two Candidate Preferred							
	NGST			GRN			LP			DEM			ALP			HAN												 CHOMEL LP			# EVANS ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Adelaide (Bonython)	7	7.22		5	5.15		28	28.87		7	7.22		44	45.36		6	6.19		97	88.99		12	11.01		109	0.13		40	41.24		57	58.76			
Andrews Farm	42	3.59		39	3.33		371	31.71		157	13.42		506	43.25		55	4.70		1170	93.90		76	6.10		1246	1.53		495	42.31		675	57.69			
Angle Vale	51	3.68		35	2.53		614	44.36		121	8.74		461	33.31		102	7.37		1384	92.33		115	7.67		1499	1.84		786	56.79		598	43.21			
Brahma Lodge	71	3.98		44	2.46		558	31.26		190	10.64		830	46.50		92	5.15		1785	92.25		150	7.75		1935	2.37		734	41.12		1051	58.88			
Craigmore	100	3.38		62	2.09		1023	34.54		380	12.83		1222	41.26		175	5.91		2962	93.76		197	6.24		3159	3.87		1354	45.71		1608	54.29			
Craigmore South	66	2.25		87	2.97		1034	35.24		331	11.28		1265	43.12		151	5.15		2934	94.01		187	5.99		3121	3.82		1326	45.19		1608	54.81			
Davoren Park North	81	5.09		49	3.08		351	22.08		152	9.56		845	53.14		112	7.04		1590	92.82		123	7.18		1713	2.10		512	32.20		1078	67.80			
Davoren Park South	80	6.13		55	4.21		274	20.98		77	5.90		690	52.83		130	9.95		1306	91.58		120	8.42		1426	1.75		439	33.61		867	66.39			
Direk	26	3.67		22	3.10		163	22.99		60	8.46		389	54.87		49	6.91		709	94.66		40	5.34		749	0.92		226	31.88		483	68.12			
Elizabeth	22	3.06		27	3.76		271	37.74		61	8.50		305	42.48		32	4.46		718	95.35		35	4.65		753	0.92		336	46.80		382	53.20			
Elizabeth Downs	84	3.47		80	3.31		590	24.39		222	9.18		1252	51.76		191	7.90		2419	93.51		168	6.49		2587	3.17		844	34.89		1575	65.11			
Elizabeth East	60	2.89		41	1.97		538	25.90		213	10.26		1053	50.70		172	8.28		2077	93.35		148	6.65		2225	2.73		764	36.78		1313	63.22			
Elizabeth Grove	49	4.66		39	3.71		251	23.88		59	5.61		603	57.37		50	4.76		1051	90.53		110	9.47		1161	1.42		328	31.21		723	68.79			
Elizabeth North	72	4.00		45	2.50		413	22.96		177	9.84		940	52.25		152	8.45		1799	92.40		148	7.60		1947	2.39		621	34.52		1178	65.48			
Elizabeth Park	60	3.26		68	3.69		454	24.65		168	9.12		881	47.83		211	11.45		1842	93.22		134	6.78		1976	2.42		721	39.14		1121	60.86			
Elizabeth South	84	4.60		57	3.12		391	21.41		180	9.86		1005	55.04		109	5.97		1826	92.32		152	7.68		1978	2.42		566	31.00		1260	69.00			
Elizabeth Vale	68	2.72		64	2.56		761	30.43		250	10.00		1163	46.50		195	7.80		2501	92.39		206	7.61		2707	3.32		1000	39.98		1501	60.02			
