Senate - 2001 Election: South Australia																																							
First Preference Votes by Group																																							
By Polling Place																																							

Bonython (85484)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Bonython)		47	44.34		5	4.72		6	5.66		1	0.94		38	35.85		1	0.94		0	0.00		0	0.00		7	6.60		1	0.94		106	97.25		3	2.75		109	0.13
Andrews Farm		516	42.68		20	1.65		66	5.46		0	0.00		428	35.40		0	0.00		0	0.00		1	0.08		178	14.72		0	0.00		1209	97.11		36	2.89		1245	1.52
Angle Vale		456	31.54		33	2.28		97	6.71		3	0.21		710	49.10		1	0.07		1	0.07		2	0.14		143	9.89		0	0.00		1446	96.46		53	3.54		1499	1.83
Brahma Lodge		867	46.51		39	2.09		97	5.20		2	0.11		635	34.07		2	0.11		1	0.05		6	0.32		213	11.43		2	0.11		1864	96.28		72	3.72		1936	2.36
Craigmore		1230	40.03		45	1.46		172	5.60		3	0.10		1190	38.72		1	0.03		0	0.00		8	0.26		424	13.80		0	0.00		3073	96.91		98	3.09		3171	3.87
Craigmore South		1230	40.54		68	2.24		149	4.91		7	0.23		1195	39.39		3	0.10		2	0.07		4	0.13		372	12.26		4	0.13		3034	97.18		88	2.82		3122	3.81
Davoren Park North		870	52.57		37	2.24		133	8.04		1	0.06		439	26.53		3	0.18		1	0.06		2	0.12		168	10.15		1	0.06		1655	96.61		58	3.39		1713	2.09
Davoren Park South		734	53.65		38	2.78		118	8.63		1	0.07		349	25.51		1	0.07		2	0.15		3	0.22		120	8.77		2	0.15		1368	95.93		58	4.07		1426	1.74
Direk		392	53.33		15	2.04		44	5.99		1	0.14		206	28.03		0	0.00		0	0.00		4	0.54		71	9.66		2	0.27		735	98.13		14	1.87		749	0.91
Elizabeth		282	38.32		21	2.85		34	4.62		0	0.00		302	41.03		1	0.14		0	0.00		5	0.68		89	12.09		2	0.27		736	97.61		18	2.39		754	0.92
Elizabeth Downs		1290	51.64		61	2.44		172	6.89		3	0.12		703	28.14		5	0.20		0	0.00		8	0.32		254	10.17		2	0.08		2498	96.63		87	3.37		2585	3.15
Elizabeth East		1016	47.02		44	2.04		168	7.77		8	0.37		651	30.12		3	0.14		0	0.00		5	0.23		266	12.31		0	0.00		2161	97.17		63	2.83		2224	2.71
Elizabeth Grove		606	54.30		36	3.23		48	4.30		3	0.27		310	27.78		2	0.18		0	0.00		7	0.63		102	9.14		2	0.18		1116	96.12		45	3.88		1161	1.42
Elizabeth North		954	50.91		48	2.56		148	7.90		3	0.16		486	25.93		3	0.16		1	0.05		2	0.11		226	12.06		3	0.16		1874	96.25		73	3.75		1947	2.37
Elizabeth Park		896	46.94		50	2.62		201	10.53		3	0.16		547	28.65		1	0.05		0	0.00		4	0.21		202	10.58		5	0.26		1909	96.17		76	3.83		1985	2.42
Elizabeth South		1000	52.49		51	2.68		129	6.77		4	0.21		492	25.83		3	0.16		0	0.00		7	0.37		217	11.39		2	0.10		1905	96.26		74	3.74		1979	2.41
Elizabeth Vale		1118	42.93		62	2.38		200	7.68		3	0.12		911	34.98		3	0.12		0	0.00		5	0.19		296	11.37		6	0.23		2604	96.23		102	3.77		2706	3.30
