House of Representatives - 2001 South Australia								
Swing to ALP								
By Division by Polling Place								
								
Adelaide								
								
Polling Place	Formal	STANLEY		WORTH		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Adelaide)	320	187	58.44	133	41.56	5.60		
Adelaide East	892	420	47.09	472	52.91	-1.58		
Adelaide Hospital	347	164	47.26	183	52.74	-2.54		
Adelaide South	1591	894	56.19	697	43.81	3.44		
Adelaide West	383	249	65.01	134	34.99	-3.94		
Black Forest East	2006	992	49.45	1014	50.55	3.83		
Blair Athol North	1360	873	64.19	487	35.81	-4.99		
Broadview	1925	796	41.35	1129	58.65	-0.51		
Brompton	1310	878	67.02	432	32.98	-1.29		
Clarence Park	1121	473	42.19	648	57.81	1.44		
College Park	1155	464	40.17	691	59.83	-1.24		
Croydon (Adelaide)	332	216	65.06	116	34.94	0.48		
Croydon Park	1642	1105	67.30	537	32.70	2.68		
Croydon Park West (Adelaide)	418	294	70.33	124	29.67	-0.57		
Enfield	1303	675	51.80	628	48.20	-3.52		
Enfield North (Adelaide)	1137	661	58.14	476	41.86	-4.67		
Enfield South	1175	606	51.57	569	48.43	-5.36		
Everard Park	725	350	48.28	375	51.72	0.11		
Fullarton	2287	922	40.31	1365	59.69	-0.30		
Goodwood	1917	1151	60.04	766	39.96	2.92		
Goodwood Park	678	379	55.90	299	44.10	-1.16		
Greenacres	1346	729	54.16	617	45.84	-2.58		
Hampstead Gardens	895	451	50.39	444	49.61	-0.90		
Hindmarsh	82	52	63.41	30	36.59	-7.71		
Hyde Park	1588	505	31.80	1083	68.20	2.75		
Kent Town	444	202	45.50	242	54.50	-0.79		
Keswick	671	342	50.97	329	49.03	0.44		
Kilburn	1259	901	71.56	358	28.44	-2.38		
Kilburn South	827	577	69.77	250	30.23	17.95		
Lower North Adelaide	663	292	44.04	371	55.96	4.45		
Malvern	1673	607	36.28	1066	63.72	5.73		
Marden West (Adelaide)	204	105	51.47	99	48.53	-0.79		
Mile End (Adelaide)	1832	1232	67.25	600	32.75	-0.65		
Myrtle Bank	1628	535	32.86	1093	67.14	2.09		
Nailsworth	1404	691	49.22	713	50.78	0.38		
North Adelaide	2548	976	38.30	1572	61.70	1.39		
Northfield	1073	715	66.64	358	33.36	-0.24		
Northfield South	1379	753	54.60	626	45.40	-0.30		
Parkside East	2209	1123	50.84	1086	49.16	2.24		
Prospect	1764	979	55.50	785	44.50	3.99		
Prospect Estate	707	399	56.44	308	43.56	-4.70		
Prospect North	1882	1013	53.83	869	46.17	-4.17		
Prospect South	1219	568	46.60	651	53.40	2.55		
Prospect West	2376	1268	53.37	1108	46.63	0.85		
Renown Park	1727	1135	65.72	592	34.28	0.84		
Special Hospital Team 1	36	19	52.78	17	47.22	-		
Special Hospital Team 2	74	29	39.19	45	60.81	-		
Special Hospital Team 3	108	38	35.19	70	64.81	-		
Special Hospital Team 4	53	17	32.08	36	67.92	-		
Special Hospital Team 5	50	11	22.00	39	78.00	-		
Special Hospital Team 6	130	42	32.31	88	67.69	-		
Special Hospital Team 7	128	32	25.00	96	75.00	-		
Special Hospital Team 8	134	40	29.85	94	70.15	-		
St Peters	582	219	37.63	363	62.37	0.77		
St Peters East	1678	742	44.22	936	55.78	0.68		
Unley	2855	1436	50.30	1419	49.70	4.32		
Walkerville	2262	755	33.38	1507	66.62	4.52		
Walkerville North	821	313	38.12	508	61.88	5.29		
Wayville	560	265	47.32	295	52.68	2.55		
ABSENT	5374	2565	47.73	2809	52.27	-		
POSTAL	3752	1571	41.87	2181	58.13	-		
PRE POLL	2984	1325	44.40	1659	55.60	-		
PROVISIONAL	508	267	52.56	241	47.44	-		
Division Total	77513	38585	49.78	38928	50.22	0.43		
								
								
Barker								
								
Polling Place	Formal	DETCHON		SECKER		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Allendale East	285	81	28.42	204	71.58	-3.86		
American River	178	65	36.52	113	63.48	4.97		
Ashbourne	131	52	39.69	79	60.31	8.39		
Beachport	444	138	31.08	306	68.92	1.74		
Bordertown	1788	386	21.59	1402	78.41	-0.76		
Cambrai	223	82	36.77	141	63.23	-1.65		
Carpenter Rocks	197	72	36.55	125	63.45	-3.74		
Compton	342	84	24.56	258	75.44	-4.47		
Coomandook	171	22	12.87	149	87.13	-1.34		
Coonalpyn	289	49	16.96	240	83.04	1.82		
Coonawarra	207	31	14.98	176	85.02	2.48		
Currency Creek	373	112	30.03	261	69.97	5.65		
Delamere	208	72	34.62	136	65.38	2.65		
Frances	117	18	15.38	99	84.62	-3.37		
Furner	127	10	7.87	117	92.13	-6.55		
Geranium	132	19	14.39	113	85.61	7.31		
Glenburnie	199	61	30.65	138	69.35	-4.24		
Glencoe	369	145	39.30	224	60.70	-7.11		
Goolwa	2953	1227	41.55	1726	58.45	1.30		
Gosse	60	19	31.67	41	68.33	10.54		
Greenways	81	25	30.86	56	69.14	10.48		
Hindmarsh Valley	200	69	34.50	131	65.50	3.94		
Hope Forest	170	46	27.06	124	72.94	-5.29		
Hynam	141	25	17.73	116	82.27	-1.10		
Inman Valley	158	40	25.32	118	74.68	0.64		
Jervois	143	22	15.38	121	84.62	1.54		
Kalangadoo	312	111	35.58	201	64.42	6.78		
Karoonda	446	73	16.37	373	83.63	1.66		
Keith	1004	181	18.03	823	81.97	-2.78		
Keyneton	150	53	35.33	97	64.67	5.56		
Kingscote	1275	418	32.78	857	67.22	1.54		
Kingston	1293	310	23.98	983	76.02	-4.85		
Kongorong	257	57	22.18	200	77.82	-1.23		
Kybybolite	83	20	24.10	63	75.90	-5.45		
Lameroo	528	96	18.18	432	81.82	0.08		
Lucindale	508	82	16.14	426	83.86	-6.56		
Mannum	1757	713	40.58	1044	59.42	-1.08		
Meningie	802	168	20.95	634	79.05	-2.72		
Middleton	620	276	44.52	344	55.48	3.48		
Mil Lel	187	33	17.65	154	82.35	-15.28		
Milang	559	173	30.95	386	69.05	-0.03		
Millicent	2149	870	40.48	1279	59.52	-4.43		
Millicent South	929	431	46.39	498	53.61	-6.49		
Moorak	395	75	18.99	320	81.01	-5.07		
Mount Burr	297	145	48.82	152	51.18	-4.44		
Mount Compass	883	315	35.67	568	64.33	3.26		
Mount Gambier	3067	1117	36.42	1950	63.58	-2.95		
Mount Gambier East	2872	1455	50.66	1417	49.34	-8.86		
Mount Gambier North	1935	902	46.61	1033	53.39	-6.19		
Mount Gambier Park	2108	875	41.51	1233	58.49	-3.28		
Mount Gambier West	3027	1253	41.39	1774	58.61	-8.72		
Mundulla	352	63	17.90	289	82.10	1.59		
Murray Bridge	1890	735	38.89	1155	61.11	-1.99		
Murray Bridge East	1222	349	28.56	873	71.44	-1.30		
Murray Bridge South	2708	1166	43.06	1542	56.94	-2.52		
Murray Bridge West	2146	696	32.43	1450	67.57	-5.18		
Mypolonga	327	81	24.77	246	75.23	-3.67		
Myponga	380	107	28.16	273	71.84	0.93		
Nangula	163	47	28.83	116	71.17	3.68		
Nangwarry	313	201	64.22	112	35.78	-6.39		
Naracoorte	2011	542	26.95	1469	73.05	-3.98		
Naracoorte South	1504	433	28.79	1071	71.21	-6.36		
Narrung	86	38	44.19	48	55.81	-1.16		
Nildottie	165	30	18.18	135	81.82	-0.36		
O B Flat	190	59	31.05	131	68.95	11.42		
Padthaway	313	41	13.10	272	86.90	-2.93		
Parawa	102	14	13.73	88	86.27	-5.09		
Parilla	88	12	13.64	76	86.36	4.26		
Parndana	399	80	20.05	319	79.95	2.85		
Peake	162	22	13.58	140	86.42	5.72		
Penneshaw	296	100	33.78	196	66.22	-2.61		
Penola	1152	341	29.60	811	70.40	-0.75		
Pinnaroo	427	110	25.76	317	74.24	-0.86		
Ponde	127	37	29.13	90	70.87	-2.73		
Port Elliot	1036	409	39.48	627	60.52	-1.60		
Port MacDonnell	650	215	33.08	435	66.92	-5.71		
Purnong	134	26	19.40	108	80.60	4.72		
Rendelsham	146	48	32.88	98	67.12	12.07		
Robe	792	171	21.59	621	78.41	-2.48		
Salt Creek	55	18	32.73	37	67.27	-6.96		
Second Valley	95	43	45.26	52	54.74	5.08		
Sedan	157	40	25.48	117	74.52	-2.67		
Southend	167	31	18.56	136	81.44	-10.34		
Special Hospital Team 1	25	9	36.00	16	64.00	-		
Special Hospital Team 2	48	23	47.92	25	52.08	-		
Special Hospital Team 3	18	5	27.78	13	72.22	-		
Special Hospital Team 4	17	9	52.94	8	47.06	-		
Special Hospital Team 5	96	32	33.33	64	66.67	-		
Special Hospital Team 6	42	13	30.95	29	69.05	-		
Special Hospital Team 7	15	3	20.00	12	80.00	-		
Special Hospital Team 8	159	70	44.03	89	55.97	-		
Special Hospital Team 9	101	37	36.63	64	63.37	-		
Suttontown	734	240	32.70	494	67.30	-7.83		
Swan Reach	237	89	37.55	148	62.45	9.24		
Tailem Bend	1206	524	43.45	682	56.55	-4.27		
Tantanoola	271	89	32.84	182	67.16	-4.92		
Tarpeena	336	176	52.38	160	47.62	-5.03		
Tintinara	427	41	9.60	386	90.40	-1.00		
Victor Harbor	3240	1138	35.12	2102	64.88	-1.67		
Victor Harbor East	1174	367	31.26	807	68.74	-1.18		
Victor Harbor South	1795	642	35.77	1153	64.23	2.20		
Walker Flat	134	38	28.36	96	71.64	-3.56		
Wanbi	66	15	22.73	51	77.27	9.87		
Wellington West	178	54	30.34	124	69.66	1.51		
Western Flat	92	13	14.13	79	85.87	6.05		
Willalooka	159	22	13.84	137	86.16	1.34		
Wolseley	134	47	35.07	87	64.93	4.43		
Woods Point	144	34	23.61	110	76.39	-4.13		
Yahl	285	95	33.33	190	66.67	-8.36		
Yankalilla	1372	538	39.21	834	60.79	4.81		
ABSENT	3994	1394	34.90	2600	65.10	-		
POSTAL	3075	802	26.08	2273	73.92	-		
PRE POLL	2746	1055	38.42	1691	61.58	-		
PROVISIONAL	703	323	45.95	380	54.05	-		
Division Total	79907	27416	34.31	52491	65.69	-1.65		
								
								
Bonython								
								
Polling Place	Formal	EVANS		CHOMEL		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Bonython)	97	57	58.76	40	41.24	3.21		
Andrews Farm	1170	675	57.69	495	42.31	-1.71		
Angle Vale	1384	598	43.21	786	56.79	-3.63		
Brahma Lodge	1785	1051	58.88	734	41.12	-5.08		
Craigmore	2962	1608	54.29	1354	45.71	-2.87		
Craigmore South	2934	1608	54.81	1326	45.19	-4.44		
Davoren Park North	1590	1078	67.80	512	32.20	-4.77		
Davoren Park South	1306	867	66.39	439	33.61	-6.52		
Direk	709	483	68.12	226	31.88	0.16		
Elizabeth	718	382	53.20	336	46.80	-6.06		
Elizabeth Downs	2419	1575	65.11	844	34.89	-5.05		
Elizabeth East	2077	1313	63.22	764	36.78	-1.42		
Elizabeth Grove	1051	723	68.79	328	31.21	0.27		
Elizabeth North	1799	1178	65.48	621	34.52	-4.51		
Elizabeth Park	1842	1121	60.86	721	39.14	-5.01		
Elizabeth South	1826	1260	69.00	566	31.00	-4.14		
Elizabeth Vale	2501	1501	60.02	1000	39.98	-3.07		
Hillbank	1726	907	52.55	819	47.45	-1.84		
Munno Para	915	627	68.52	288	31.48	-2.06		
One Tree Hill (Bonython)	705	253	35.89	452	64.11	-1.26		
Parafield Gardens	1829	1192	65.17	637	34.83	-4.65		
Parafield Gardens Central	3852	2495	64.77	1357	35.23	-4.81		
Parafield Gardens North West	2796	1806	64.59	990	35.41	-2.18		
Paralowie	4301	2759	64.15	1542	35.85	-1.13		
Paralowie West	2779	1810	65.13	969	34.87	-1.05		
Salisbury	1746	1045	59.85	701	40.15	-0.51		
Salisbury Central	1458	816	55.97	642	44.03	-3.61		
Salisbury Downs	2726	1664	61.04	1062	38.96	-2.71		
Salisbury Heights (Bonython)	2256	973	43.13	1283	56.87	1.08		
Salisbury Heights South	843	446	52.91	397	47.09	10.90		
Salisbury North	2360	1584	67.12	776	32.88	-3.70		
Salisbury North West	2619	1745	66.63	874	33.37	-3.93		
Salisbury Park	1900	1059	55.74	841	44.26	-2.26		
Smithfield	1143	708	61.94	435	38.06	-3.93		
Smithfield Plains	1149	811	70.58	338	29.42	-2.03		
