Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate - 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Makin (88248)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Makin)		44	30.77		1	0.70		0	0.00		0	0.00		45	31.47		4	2.80		0	0.00		0	0.00		4	2.80		6	4.20		0	0.00		0	0.00		6	4.20		0	0.00		0	0.00		0	0.00		0	0.00		62	43.36		2	1.40		0	0.00		1	0.70		0	0.00		65	45.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.70		0	0.00		0	0.00		1	0.70		18	12.59		4	2.80		0	0.00		0	0.00		0	0.00		22	15.38		0	0.00		0	0.00		0	0.00		0	0.00		143	95.97		6	4.03		149	0.17																																																																																																											
Banksia Park		596	26.38		28	1.24		4	0.18		17	0.75		645	28.55		50	2.21		13	0.58		1	0.04		64	2.83		83	3.67		18	0.80		3	0.13		104	4.60		0	0.00		3	0.13		0	0.00		3	0.13		1056	46.75		41	1.81		1	0.04		8	0.35		2	0.09		1108	49.05		1	0.04		0	0.00		0	0.00		1	0.04		2	0.09		1	0.04		0	0.00		3	0.13		4	0.18		0	0.00		0	0.00		4	0.18		256	11.33		65	2.88		3	0.13		0	0.00		1	0.04		325	14.39		0	0.00		0	0.00		2	0.09		2	0.09		2259	97.20		65	2.80		2324	2.72																																																																																																											
Enfield North (Makin)		264	43.71		6	0.99		0	0.00		2	0.33		272	45.03		4	0.66		3	0.50		0	0.00		7	1.16		32	5.30		6	0.99		0	0.00		38	6.29		0	0.00		0	0.00		0	0.00		0	0.00		217	35.93		4	0.66		1	0.17		0	0.00		0	0.00		222	36.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.17		0	0.00		1	0.17		53	8.77		10	1.66		0	0.00		0	0.00		0	0.00		63	10.43		0	0.00		1	0.17		0	0.00		1	0.17		604	97.26		17	2.74		621	0.73																																																																																																											
Fairview Park		405	22.51		15	0.83		10	0.56		9	0.50		439	24.40		22	1.22		9	0.50		0	0.00		31	1.72		53	2.95		11	0.61		1	0.06		65	3.61		1	0.06		0	0.00		0	0.00		1	0.06		951	52.86		37	2.06		2	0.11		3	0.17		2	0.11		995	55.31		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		218	12.12		45	2.50		1	0.06		0	0.00		1	0.06		265	14.73		0	0.00		1	0.06		1	0.06		2	0.11		1799	97.24		51	2.76		1850	2.17																																																																																																											
Golden Grove		94	21.03		5	1.12		1	0.22		3	0.67		103	23.04		6	1.34		0	0.00		0	0.00		6	1.34		26	5.82		6	1.34		1	0.22		33	7.38		0	0.00		0	0.00		0	0.00		0	0.00		246	55.03		6	1.34		0	0.00		0	0.00		0	0.00		252	56.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		47	10.51		6	1.34		0	0.00		0	0.00		0	0.00		53	11.86		0	0.00		0	0.00		0	0.00		0	0.00		447	97.17		13	2.83		460	0.54																																																																																																											
Golden Grove Central		804	32.79		28	1.14		4	0.16		5	0.20		841	34.30		24	0.98		10	0.41		0	0.00		34	1.39		58	2.37		9	0.37		1	0.04		68	2.77		3	0.12		0	0.00		0	0.00		3	0.12		1147	46.78		35	1.43		0	0.00		2	0.08		1	0.04		1185	48.33		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		2	0.08		0	0.00		2	0.08		3	0.12		1	0.04		0	0.00		4	0.16		276	11.26		34	1.39		0	0.00		0	0.00		1	0.04		311	12.68		2	0.08		0	0.00		1	0.04		3	0.12		2452	97.42		65	2.58		2517	2.95																																																																																																											
Golden Grove East		586	30.14		18	0.93		2	0.10		6	0.31		612	31.48		17	0.87		8	0.41		0	0.00		25	1.29		47	2.42		12	0.62		0	0.00		59	3.03		1	0.05		0	0.00		0	0.00		1	0.05		977	50.26		23	1.18		1	0.05		1	0.05		1	0.05		1003	51.59		3	0.15		4	0.21		0	0.00		7	0.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		206	10.60		29	1.49		0	0.00		0	0.00		1	0.05		236	12.14		1	0.05		0	0.00		0	0.00		1	0.05		1944	98.83		23	1.17		1967	2.31																																																																																																											
Greenwith		1306	30.32		32	0.74		3	0.07		25	0.58		1366	31.71		66	1.53		7	0.16		1	0.02		74	1.72		98	2.27		14	0.32		0	0.00		112	2.60		3	0.07		0	0.00		1	0.02		4	0.09		2124	49.30		53	1.23		2	0.05		4	0.09		5	0.12		2188	50.79		6	0.14		5	0.12		0	0.00		11	0.26		1	0.02		0	0.00		0	0.00		1	0.02		6	0.14		3	0.07		0	0.00		9	0.21		464	10.77		77	1.79		0	0.00		1	0.02		0	0.00		542	12.58		0	0.00		0	0.00		1	0.02		1	0.02		4308	98.24		77	1.76		4385	5.14																																																																																																									
Holden Hill North		486	34.49		10	0.71		5	0.35		8	0.57		509	36.12		24	1.70		10	0.71		0	0.00		34	2.41		49	3.48		4	0.28		0	0.00		53	3.76		1	0.07		0	0.00		0	0.00		1	0.07		617	43.79		24	1.70		2	0.14		2	0.14		0	0.00		645	45.78		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		2	0.14		122	8.66		38	2.70		1	0.07		1	0.07		0	0.00		162	11.50		2	0.14		0	0.00		0	0.00		2	0.14		1409	95.92		60	4.08		1469	1.72																																																																																																									
Hope Valley		411	33.41		14	1.14		1	0.08		4	0.33		430	34.96		28	2.28		5	0.41		0	0.00		33	2.68		39	3.17		6	0.49		0	0.00		45	3.66		1	0.08		0	0.00		0	0.00		1	0.08		523	42.52		23	1.87		0	0.00		2	0.16		0	0.00		548	44.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.16		0	0.00		0	0.00		2	0.16		146	11.87		22	1.79		0	0.00		0	0.00		0	0.00		168	13.66		2	0.16		0	0.00		1	0.08		3	0.24		1230	96.09		50	3.91		1280	1.50																																																																																																									
